Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.489669	20.3264	3.66014	0.50281	0.231006	9.06954	8.8852	21.1001	0.897888	49.2931	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.453711	21.373	2.15341	0.93024	0.0686265	9.67913	7.15465	6.04542	0.595381	32.3614	35.8584	10.8967	250.036
2	197.743	13.8131	4.17762	7.16949	4.28582	18.0214	0.00208981	95.7851	6.50213	4.74372	1.64279	0.687719	0.734434	0.245048	19.2808	3.65755	0.524034	0.277744	6.85205	8.12573	26.9981	1.18966	33.0589	8.34213	9.1104	197.743
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.388128	20.8857	5.58232	0.198644	0.13848	10.2742	9.96297	26.8573	0.776302	45.5984	7.76425	9.04664	10.7521
4	1008.41	15.2149	3.36257	8.82767	2.82397	9.09086	0.0142191	98.3194	6.34134	6.18198	1.62728	0.461248	0.635823	0.807454	19.8116	3.94579	0.521736	0.24639	2.28453	2.16603	12.146	1.47843	44.0623	8.57277	10.0969	1008.41
5	5432.53	20.2661	3.4523	17.012	2.43101	8.44534	0.00831577	124.629	2.37503	3.99135	2.00037	0.370247	0.617261	0.370737	17.8137	2.9125	0.591746	0.150441	5.85435	5.57398	36.3188	0.996001	63.0533	20.0445	29.994	5432.53
6	96.2458	9.38134	3.47224	18.6798	5.29328	7.1468	0.00980589	100.581	4.96206	5.73628	1.12701	0.359429	0.600947	0.366079	21.8436	4.20127	0.700685	0.19116	7.05583	6.34715	41.1521	0.795488	58.2438	10.9017	14.4481	96.2458
7	717.54	20.0696	2.30194	12.2742	3.03417	12.6015	0.0099037	76.1763	8.85685	4.23734	1.69247	0.731628	0.868764	0.741513	19.3087	3.28556	0.266181	0.179355	6.86264	8.35229	39.3591	1.2474	51.3843	13.9716	13.9392	717.54
8	6.23713	12.4624	1.60101	13.5736	2.55826	7.04929	0.0105439	61.4536	6.80275	3.86476	1.71979	0.522957	0.689121	0.435505	21.6102	5.20296	0.866219	0.187135	2.3748	2.20595	29.7059	1.13466	30.0702	8.20848	10.8217	6.23713
9	64.921	18.8315	3.72798	9.2398	3.67005	10.2906	0.00565996	98.7884	6.57773	10.5254	1.82665	0.496793	0.822892	0.23435	22.1483	4.51739	0.0845113	0.18739	6.60215	5.62664	34.6315	0.830679	49.5961	29.2963	33.5401	64.921
10	280.308	14.2518	3.08296	12.4674	3.79935	8.44351	0.0164924	114.855	9.66206	6.12895	1.76725	0.692669	0.756963	0.765209	17.81	2.14383	0.226561	0.143436	11.9011	9.32795	31.2821	0.476151	47.2633	5.04435	11.3974	280.308
11	7176.77	8.01274	3.80651	18.1589	3.54807	8.87773	0.0130979	100.936	4.21393	8.81881	2.05346	0.777472	0.856287	0.556397	19.3818	1.86947	0.454275	0.448858	13.8074	10.1212	44.18	0.649434	49.2387	4.29175	32.1295	7176.77
12	5111.55	9.9638	3.57183	16.9932	3.2606	7.34407	0.0120135	79.2254	9.88166	10.8796	2.23605	0.613354	0.708305	0.792517	17.0895	5.57776	0.49344	0.052327	7.67083	7.74274	35.8271	1.18808	62.0109	10.3893	36.7472	5111.55
13	1849.54	12.9113	1.5264	10.8196	3.21769	12.311	0.0124619	81.5082	4.54212	9.76034	2.3646	0.449134	0.831858	0.504191	22.1521	3.58509	0.756423	0.076256	5.76534	3.25462	30.1592	1.22575	29.5049	12.2189	36.9125	1849.54
14	204.956	18.433	1.85091	7.94746	4.39219	7.87067	0.00865893	90.496	5.74689	3.54522	2.88018	0.643732	0.820532	0.395449	16.9639	2.66448	0.598683	0.71746	12.4331	7.03525	27.828	0.682673	59.9797	7.85031	19.0483	204.956
15	330.48	11.933	2.63362	13.1087	4.18426	11.0269	0.00705129	106.736	2.02689	5.83016	1.43935	0.468483	0.677499	0.541483	19.3671	3.55099	0.822671	0.39447	12.9896	9.73522	32.901	0.654357	51.2979	5.76787	19.8727	330.48
16	3432.51	19.5386	2.15472	9.49464	2.94794	5.43024	0.00284945	63.5708	1.98479	9.57198	2.02389	0.408792	0.671931	0.0359859	17.7054	4.22992	0.72792	0.0621013	2.96785	5.73465	9.73022	0.820137	56.7509	6.19692	12.5508	3432.51
17	70.1949	18.2703	2.61095	10.7539	3.37508	8.18067	0.0104158	114.801	7.60123	5.21619	2.87009	0.507083	0.706142	0.579897	21.653	4.61451	0.41193	0.527425	2.80247	5.66828	13.1305	0.618002	62.1727	34.278	10.8159	70.1949
18	2222.88	9.73236	2.18231	10.3487	4.42819	6.31059	0.00604745	113.856	11.4624	3.01707	2.07019	0.38489	0.692692	0.572626	17.6054	5.63397	0.393026	0.36702	13.4977	6.6254	10.4981	1.31768	60.137	29.0576	10.5464	2222.88
19	2216.32	13.5859	4.09223	13.27	2.42191	17.0463	0.0124735	125.864	3.15059	8.63741	2.17688	0.450498	0.601884	0.632743	19.8142	1.90862	0.711117	0.743732	1.10231	5.40654	19.5387	0.95443	31.7949	18.0839	17.1557	2216.32
20	4483.63	10.6773	4.25924	9.7484	5.59166	21.7845	0.0162853	121.966	6.13367	8.42634	2.55889	0.736409	0.676301	0.590152	21.0987	5.3475	0.685814	0.255628	4.53351	10.5029	39.9137	0.815162	44.0957	11.2376	30.7382	4483.63
