Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	324.007	8.43994	3.4769	12.2084	2.60514	9.43334	0.0100903	120.488	10.4355	5.63012	1.21164	0.112904	0.78471	0.807336	0.389058	16.9935	3.74292	0.0374047	0.355871	8.9938	6.56722	45.5048	1.05982	65.0309	0.118484	0.383857	0.106007	0.112524	0.666317	0.159011	0.0301903	16.9935	45.5048	1.05982	65.0309	0.946097	0.0222902	0.000412439	0.000227711	0.000593147	9.19799e-05	0.00101782	0.0196616	0.00934948	0.000202567	0.389058	0.965305	0.355752	0.112487	0.666094	0.158958	0.00175697	12.6472	0.0291429	1.21698	1.15138	227.415	3.07882	0.0100176	0.000191484
11	362.684	9.32523	3.58232	15.2461	3.33119	7.19038	0.00782034	120.424	10.7834	3.18084	2.45864	0.195146	0.543102	0.709984	0.494066	16.4299	3.24715	0.57386	0.194902	10.8268	7.65901	40.7895	0.935298	63.1017	0.107236	0.300193	0.139075	0.121224	0.288771	0.117958	0.0326779	16.4299	40.7895	0.935298	63.1017	0.929943	0.0259442	0.00090542	0.000219021	0.000809684	0.000127075	0.000888593	0.0306561	0.0100442	0.000209284	0.494066	0.66723	0.194818	0.121172	0.288647	0.117907	0.00215201	14.747	0.0218037	1.16396	1.08242	240.47	3.40762	0.010137	0.00019522
12	2615.08	14.9257	2.6194	14.0454	3.46661	5.80498	0.005099	117.723	9.23332	9.10381	2.04641	0.526505	0.751814	0.693367	0.501294	17.5918	3.69432	0.304908	0.175333	7.32143	8.84605	40.6274	0.582037	60.3969	0.0669985	0.288466	0.172266	0.0572599	0.338821	0.149839	0.0321268	17.5918	40.6274	0.582037	60.3969	0.808221	0.0547577	0.00157882	0.000335616	0.000945227	9.41124e-05	0.00049436	0.12307	0.00991582	0.000238503	0.501294	0.810132	0.175318	0.0572549	0.338792	0.149826	0.00272637	11.1178	0.0260269	1.22163	0.987347	167.222	2.62393	0.0102507	0.000226536
13	353.882	13.5226	3.20093	17.0555	3.74591	5.61992	0.00785949	126.077	9.7361	3.26793	1.37766	0.0570285	0.754972	0.77109	0.37587	18.6368	5.0478	0.142564	0.187657	4.95263	9.37459	32.0757	1.07197	87.5343	0.0739503	0.266958	0.177938	0.178141	0.55971	0.166159	0.033395	18.6368	32.0757	1.07197	87.5343	0.935294	0.0191741	0.000802579	0.000185283	0.000531886	6.22343e-05	0.000639528	0.0323615	0.010803	0.00025367	0.37587	0.869793	0.187594	0.178081	0.559523	0.166103	0.00257477	17.8216	0.0290467	1.24867	1.16788	230.108	2.67982	0.0112539	0.000239596
14	624.078	10.1345	2.70465	14.9502	3.59013	5.28983	0.00600186	115.29	9.2268	5.28729	2.36706	0.251361	0.789573	0.650924	0.565431	16.5938	4.03473	0.492037	0.128522	4.9597	7.27023	27.8469	0.648112	84.2105	0.0986729	0.278541	0.189042	0.0972052	0.274993	0.147472	0.0341997	16.5938	27.8469	0.648112	84.2105	0.917829	0.0187363	0.00122482	0.000180609	0.00087915	8.82744e-05	0.000558214	0.0493588	0.0107312	0.000227655	0.565431	0.755373	0.128513	0.0971987	0.274974	0.147463	0.0030371	12.664	0.0258335	1.12479	1.03236	208.638	3.17262	0.0110979	0.000215531
15	971.009	15.3312	3.3228	16.3282	4.24997	11.2744	0.0131071	127.498	10.1848	2.75861	1.80842	0.346257	0.782936	0.692943	0.425118	18.9046	7.04709	0.232437	0.117667	6.40628	5.00576	37.5393	0.907102	91.5072	0.0652265	0.235296	0.0886965	0.196668	0.383176	0.169793	0.0180498	18.9046	37.5393	0.907102	91.5072	0.937187	0.0253725	0.000869012	0.000115771	0.000448942	3.14619e-05	0.00102387	0.0255095	0.0088896	0.000233746	0.425118	0.819694	0.117603	0.19656	0.382967	0.1697	0.0017187	15.0885	0.0147953	1.22045	1.14379	182.438	3.2996	0.00960247	0.000225088
16	738.082	14.3544	2.53282	9.96173	4.46475	7.549	0.0122072	128.837	11.3946	2.1119	1.53688	0.487652	0.959846	0.834098	0.680248	18.2018	5.78628	0.675606	0.0999491	3.25698	4.48745	46.5867	0.690842	56.3446	0.0696651	0.223977	0.132468	0.379093	0.542722	0.107947	0.0336806	18.2018	46.5867	0.690842	56.3446	0.947368	0.0111461	0.000794689	8.80254e-05	0.000180791	1.57005e-05	0.000599373	0.0294418	0.00976844	0.000214197	0.680248	0.770813	0.0998128	0.378576	0.541982	0.1078	0.00219145	8.97697	0.0259615	0.982638	0.93092	151.742	2.6126	0.0103566	0.000208218
17	792.67	11.6373	3.51131	10.7166	3.46021	7.43748	0.0069189	120.009	9.05669	4.87099	1.50652	0.200921	0.366013	0.840987	0.408259	19.5577	6.43292	0.429544	0.190276	3.55983	7.88759	35.3274	0.694557	71.702	0.0859306	0.289	0.134454	0.0631929	0.558232	0.10555	0.0440541	19.5577	35.3274	0.694557	71.702	0.903106	0.0237982	0.000981936	0.000230701	0.0011068	7.9432e-05	0.00079386	0.05892	0.0106221	0.000273401	0.408259	0.680581	0.190258	0.063187	0.558179	0.10554	0.00225814	8.77965	0.0299824	1.18031	1.06595	217.545	3.27781	0.0114437	0.000259656
18	205.305	17.6545	3.80791	15.1883	5.04408	5.65134	0.00854811	119.759	13.6234	4.41251	1.1882	0.154808	0.723035	0.844904	0.386582	15.4909	3.33317	0.104343	0.244287	12.0854	5.69361	57.4266	0.709842	68.5446	0.0566428	0.198252	0.176949	0.138446	0.711079	0.13053	0.0443635	15.4909	57.4266	0.709842	68.5446	0.939285	0.0255662	0.00118266	0.000380756	0.000576377	7.33875e-05	0.000639151	0.0229425	0.00902848	0.000197391	0.386582	0.90559	0.243784	0.138161	0.709615	0.130261	0.00285937	12.485	0.0401752	1.34923	1.26731	215.353	3.08525	0.00904186	0.000187693
19	856.656	20.4276	2.46725	17.6745	3.27502	5.88734	0.0059732	115.342	10.0933	7.16964	2.1044	0.211712	0.680718	0.819824	0.503453	17.5292	3.05279	0.0903452	0.154068	9.49609	8.22735	40.8411	0.534355	59.131	0.0489534	0.305342	0.169856	0.0778378	0.389576	0.0856187	0.0237108	17.5292	40.8411	0.534355	59.131	0.896509	0.0442744	0.000925409	0.000168498	0.000891164	8.49748e-05	0.000585153	0.0460778	0.0103006	0.000215886	0.503453	0.939882	0.154044	0.0778259	0.389516	0.0856056	0.00262757	13.5879	0.0222854	1.13458	1.01716	194.946	2.9052	0.0104507	0.00020338
