"","GM_NInit.1.","GM_TIsolation.1.","GM_R0.1.","GM_c0.1.","GM_TLatent.1.","GM_TRecover.1.","GM_IFR.1.","GM_TStartTesting.1.","GM_TauTesting.1.","GM_TTestingRate.1.","GM_TContactsTestingRate.1.","GM_TestingCoverage.1.","GM_TestSensitivity.1.","GM_ThetaMin.1.","GM_TauTheta.1.","GM_PwrTheta.1.","GM_HygienePwr.1.","GM_FracTraced.1.","GM_TPosTest.1.","GM_TFatalDeath.1.","GM_TauS.1.","GM_rMax.1.","GM_TauR.1.","alpha_Pos.1.","alpha_Death.1.","LnPrior","LnData","LnPosterior"
"Min.",392.436,7.00098,2.20779,7.00163,2.00424,5.00071,0.00347155,116.28,10.0825,2.00382,1.00018,0.200799,0.600073,0.126405,15.506,2.77722,0.00330508,0.0502967,1.00048,8.56165,24.2008,0.280492,28.2011,5.35294,8.0002,-58.24868,-816.4526,-866.6861
"1st Qu.",2435.9425,9.8011625,3.2075275,10.661125,2.971265,5.6373375,0.0084835025,127.421,12.8973,4.45961,1.69903,0.44895875,0.667016,0.255647,17.1363,4.704535,0.32069275,0.15386975,1.9789925,11.207125,24.8805,0.55168775,32.69315,8.4886525,8.325335,-52.2649475,-804.883425,-856.506725
"Median",3716.49,12.67575,3.558665,13.39425,3.533725,6.33233,0.009945925,129.865,13.3431,5.98602,2.177685,0.5520975,0.7197455,0.2998665,17.8207,5.515295,0.4614265,0.2229395,2.5745,11.7359,25.73785,0.651692,37.01985,9.428715,8.78636,-51.24225,-802.85975,-854.2246
"Mean",4186.19517212859,13.1266860955056,3.5547410252809,13.3699871878901,3.60162922908864,6.59903374531835,0.0100339125078027,129.760186017478,13.2265879213483,6.15217694912609,2.11900963171036,0.546753347690387,0.72773298829588,0.304570701622971,17.8166876560549,5.48008892946317,0.477173154307116,0.240492120755306,2.70614769038702,11.7283605820849,26.2406984082397,0.65095086360799,38.0484076622971,9.53335204275905,9.1719643289638,-51.3558701935081,-803.152740839576,-854.508610939451
"3rd Qu.",5616.435,16.25035,3.9110875,15.994425,4.159695,7.28991,0.01147835,132.13025,13.695625,7.678165,2.566165,0.6513245,0.78023475,0.35090775,18.5339,6.32559,0.62874575,0.30800475,3.300355,12.2726,27.111275,0.75408475,42.239325,10.44825,9.5988925,-50.3343175,-801.043375,-852.234225
"Max.",9997.88,20.9974,4.49924,19.9928,6.89378,13.5464,0.0189309,142.528,13.9999,11.9821,2.99998,0.799552,0.949396,0.524563,19.7997,7.41983,0.995419,0.752943,7.27208,13.9976,39.7498,0.93299,56.0738,17.1976,20.1272,-46.52847,-796.1873,-846.4709
"rhat.vec",1.01474612677711,1.00081498235386,1.02547578005333,1.00064363951551,1.00504982359122,1.00822293630908,1.00418161879253,1.00215180546732,1.00187464802097,1.0014014618058,0.999890604069718,1.0006120382759,1.0000717967794,1.02237219213711,1.00078934500279,1.00001621547402,1.05502612697639,1.01118772487784,1.00056704698543,1.00122058432413,1.00091861131626,1.00325687988464,1.0011321669596,1.00053907806003,1.0003223304531,1.00451918169912,1.00127976960701,1.00410477865171
