Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	6634.23	10.5372	2.60328	16.1313	5.30344	7.30643	0.00635696	135.167	13.8964	6.3796	2.24053	0.478318	0.816667	0.382882	19.7215	4.5844	0.501914	0.100523	8.92255	11.7491	44.4219	0.79735	32.0421	0.0949019	0.188557	0.136866	0.0612306	0.364497	0.0818257	0.0220875	19.7215	44.4219	0.79735	32.0421	0.950709	0.00564116	0.000401355	3.98207e-05	0.000422067	1.84629e-05	0.000226227	0.0423873	0.00224094	0.000191385	0.382882	0.617639	0.0938929	0.0571921	0.340457	0.0764289	0.00257894	14.1139	0.0136421	0.899036	0.854722	97.9623	1.74209	0.00243491	0.000184225
11	2998	9.16349	2.79495	15.294	4.49294	6.49277	0.00571031	128.684	11.6811	6.18175	2.05737	0.649176	0.649578	0.472807	19.8284	6.08521	0.716819	0.134061	3.52015	8.65693	42.183	0.771905	50.9246	0.109129	0.222571	0.154017	0.0682154	0.315732	0.170325	0.0281464	19.8284	42.183	0.771905	50.9246	0.951243	0.00481286	0.000248126	3.66472e-05	0.000279617	1.7855e-05	0.000180072	0.040977	0.00306327	0.000170523	0.472807	0.584531	0.130852	0.0665827	0.308175	0.166249	0.00257447	13.3431	0.0164524	0.86492	0.82275	75.1854	1.66007	0.0033457	0.000166036
12	1433.32	17.6027	3.50917	18.5521	4.0795	7.13943	0.00620896	125.635	11.2556	7.02964	2.08738	0.692013	0.774612	0.264551	20.1005	3.17716	0.21332	0.0609949	5.93746	7.95907	43.3746	0.861691	47.7326	0.0568095	0.245128	0.140067	0.0762545	0.371093	0.107977	0.026494	20.1005	43.3746	0.861691	47.7326	0.955352	0.00773045	0.000814126	5.15881e-05	0.000787078	2.45434e-05	0.000393717	0.0320195	0.00316472	0.000154662	0.264551	0.753026	0.0600192	0.0750347	0.365157	0.106249	0.00236209	16.6729	0.0199507	1.45359	1.38869	167.64	2.25222	0.003398	0.000147939
13	681.18	12.6105	3.07143	12.6024	2.98628	5.76514	0.00700597	131.917	13.8455	6.48141	2.54337	0.766814	0.817837	0.32476	20.2142	5.26697	0.136696	0.205881	4.71841	10.8394	46.8514	0.848548	55.9714	0.079299	0.334865	0.173456	0.0967581	0.321556	0.0716227	0.0422744	20.2142	46.8514	0.848548	55.9714	0.958828	0.00553903	0.000224376	5.34711e-05	0.000280132	4.69124e-05	0.000223524	0.0314638	0.00340423	0.000170501	0.32476	0.857497	0.195093	0.0916879	0.304707	0.0678696	0.00282029	9.88972	0.0362502	1.08832	1.04351	116.773	1.89577	0.0036784	0.000163501
14	1940.69	17.9345	3.55566	15.6627	5.38794	7.15172	0.00724461	127.851	11.5991	5.49604	1.36255	0.625815	0.700533	0.378407	20.5374	3.20063	0.682572	0.115081	3.45698	9.46397	34.2607	0.861297	54.6371	0.0557585	0.1856	0.139827	0.0797673	0.514134	0.219784	0.0317426	20.5374	34.2607	0.861297	54.6371	0.95445	0.0101281	0.000411255	5.1063e-05	0.000367976	1.33012e-05	0.00026851	0.0315649	0.00323509	0.000175633	0.378407	0.515142	0.112578	0.0780325	0.502952	0.215004	0.0026009	14.3123	0.016352	0.953311	0.909888	106.5	2.28918	0.00357842	0.000168583
15	488.345	15.4474	3.50706	19.7109	3.02666	5.48018	0.00506494	122.821	10.5833	7.24638	1.32669	0.509055	0.795106	0.304131	20.8802	4.51549	0.232454	0.171933	3.32898	8.49833	42.0161	0.583922	48.3697	0.0647358	0.330397	0.182476	0.0558558	0.599316	0.15444	0.032467	20.8802	42.0161	0.583922	48.3697	0.936574	0.0140692	0.000384201	7.85243e-05	0.000501637	3.38302e-05	0.000243712	0.0444566	0.00366703	0.000158763	0.304131	0.75829	0.1703	0.0553252	0.593622	0.152973	0.00285808	14.01	0.0246194	1.20344	1.12711	136.035	1.94847	0.00397934	0.00015299
16	3649.02	10.8364	3.27188	11.9314	2.95731	8.81613	0.00520232	128.389	12.8276	7.15437	2.87229	0.307228	0.651645	0.346063	20.1603	4.14115	0.485072	0.186575	6.21679	9.78789	48.6339	0.638446	31.8248	0.0922816	0.338145	0.113428	0.0279834	0.226873	0.121281	0.0311048	20.1603	48.6339	0.638446	31.8248	0.928997	0.0126004	0.000304558	6.63133e-05	0.000778517	6.77647e-05	0.00031847	0.0552145	0.00273436	0.000170877	0.346063	0.597664	0.180548	0.0270795	0.219544	0.117364	0.00218245	9.11042	0.0185902	0.987747	0.917614	107.841	2.07112	0.00309058	0.000163911
17	3863.88	11.3572	2.83622	13.164	4.26116	6.53265	0.00668355	129.199	13.1285	6.58637	1.74494	0.597606	0.613648	0.430145	17.5691	5.13744	0.55017	0.219094	8.64947	11.2175	45.8766	0.813975	46.6533	0.0880499	0.234678	0.153077	0.0556786	0.351673	0.221413	0.0329809	17.5691	45.8766	0.813975	46.6533	0.945064	0.00912125	0.000268121	7.00671e-05	0.000327951	3.02714e-05	0.00019342	0.0431671	0.00288329	0.00020117	0.430145	0.628675	0.210996	0.0536205	0.338674	0.213229	0.00312422	11.7686	0.0207343	0.931448	0.880278	90.0054	2.0656	0.0031164	0.000193729
18	1790.42	10.5859	3.32868	12.371	4.87416	9.37808	0.00966238	131.596	12.2926	2.89643	2.309	0.642168	0.605975	0.207776	20.9907	5.2698	0.0485465	0.153928	5.70055	9.17883	44.541	0.7523	30.6263	0.0944653	0.205164	0.106632	0.134351	0.26244	0.170647	0.0286915	20.9907	44.541	0.7523	30.6263	0.976115	0.00302542	0.00023287	3.95206e-05	0.000209577	1.96018e-05	0.000300624	0.0178774	0.00265934	0.00013551	0.207776	0.926556	0.148383	0.129511	0.252986	0.1645	0.00188248	9.94339	0.0265843	0.9533	0.930531	96.9824	1.66172	0.00293882	0.000130254
19	1726.04	7.41651	3.87926	13.8654	3.25557	8.39452	0.00597799	123.117	10.9379	11.3629	2.4985	0.622644	0.678073	0.357639	21.1328	3.7468	0.778055	0.162016	3.97502	7.90963	37.8547	0.796208	38.8705	0.134834	0.307166	0.119125	0.0371558	0.271392	0.128848	0.0333289	21.1328	37.8547	0.796208	38.8705	0.942644	0.00842786	0.000291918	5.53539e-05	0.000609575	4.38211e-05	0.00029636	0.0450961	0.00295712	0.000170605	0.357639	0.44932	0.160181	0.036735	0.268318	0.127389	0.00236923	12.0503	0.0149753	0.972354	0.916584	101.775	2.14387	0.00333372	0.000164895
20	1993.16	10.7556	3.41644	12.9277	3.4643	5.39888	0.0039954	128.124	11.3649	6.52533	2.57652	0.644512	0.631185	0.417531	17.3528	4.69296	0.721176	0.0520195	6.70983	9.68722	44.6528	0.572493	35.2551	0.0929748	0.288659	0.185224	0.0623426	0.244976	0.143145	0.0489496	17.3528	44.6528	0.572493	35.2551	0.930334	0.00249837	0.000393179	2.09e-05	0.000485788	1.6347e-05	0.000187777	0.0635327	0.00302047	0.000194122	0.417531	0.53266	0.0509469	0.0610571	0.239924	0.140193	0.00280907	9.70858	0.0260735	0.975471	0.907514	105.302	1.6628	0.00319636	0.00018875
21	7864.87	7.1248	3.71412	12.415	5.20916	11.0034	0.00625037	138.884	13.7532	5.99333	2.64898	0.504337	0.643884	0.329987	19.5775	3.87104	0.768725	0.124911	7.90413	9.71997	45.9274	0.724835	51.3893	0.140355	0.19197	0.090881	0.0541827	0.243069	0.134435	0.0271883	19.5775	45.9274	0.724835	51.3893	0.944534	0.00320786	0.000220613	2.68801e-05	0.000397228	1.59094e-05	0.000333367	0.050971	0.00278367	0.000208682	0.329987	0.426439	0.114597	0.0497086	0.222997	0.123334	0.00149252	9.5519	0.0115941	0.697456	0.658771	87.0572	1.77403	0.00315064	0.000203175
22	7561.32	8.08548	2.75861	16.8403	6.45896	5.76241	0.00448211	126.464	11.2511	8.9925	1.51115	0.483869	0.780115	0.314234	19.2957	6.45613	0.23603	0.239524	4.70796	9.53296	43.3402	0.520886	47.1054	0.123678	0.154824	0.173539	0.0419765	0.516239	0.145508	0.0284273	19.2957	43.3402	0.520886	47.1054	0.923097	0.00739661	0.000430443	0.000128127	0.000342016	3.11579e-05	0.000187895	0.0674557	0.00336057	0.000166221	0.314234	0.760916	0.235411	0.0412557	0.507375	0.14301	0.00238579	11.3073	0.0216308	0.870636	0.803681	91.5379	1.551	0.00364518	0.000161529
23	1071.11	10.4991	3.63773	15.5804	3.47622	5.81307	0.00479204	125.401	11.4268	5.50576	2.9779	0.430711	0.768898	0.327862	19.1536	4.13091	0.418266	0.111814	3.19931	10.2905	41.4466	0.654455	50.7979	0.0952463	0.287669	0.172026	0.0601502	0.258201	0.0776057	0.0401649	19.1536	41.4466	0.654455	50.7979	0.941303	0.00574094	0.000428824	5.25711e-05	0.000512452	4.40558e-05	0.000230383	0.048596	0.00329101	0.000168386	0.327862	0.627235	0.109951	0.0591482	0.2539	0.0763129	0.00268103	11.9685	0.0251928	1.16089	1.09275	118.86	1.80491	0.00359431	0.000162031
24	1850.57	9.70395	3.2776	13.3825	2.38638	5.62364	0.00428653	123.545	10.563	7.11224	2.17714	0.481895	0.702651	0.473017	16.5411	3.69685	0.891313	0.12627	6.42918	8.34734	41.1576	0.61578	34.002	0.103051	0.419045	0.177821	0.0476086	0.32274	0.136578	0.0435513	16.5411	41.1576	0.61578	34.002	0.927685	0.00612805	0.000214779	3.05728e-05	0.000441473	2.9502e-05	0.000186198	0.0624584	0.00328092	0.000180832	0.473017	0.513113	0.124997	0.0471288	0.319488	0.135201	0.00285627	10.6728	0.0223468	0.927724	0.860636	96.7848	1.78615	0.0035053	0.000176032
25	745.48	12.1752	4.27385	19.7852	5.93215	5.6553	0.00906205	122.54	12.4266	6.7958	2.78107	0.662049	0.736451	0.382957	18.1221	4.1289	0.744647	0.326346	6.9035	8.32295	46.7749	0.84279	36.1691	0.0821342	0.168573	0.176825	0.0717453	0.264809	0.0947653	0.0381965	18.1221	46.7749	0.84279	36.1691	0.958374	0.0136964	0.000271237	0.000124662	0.000194754	6.10492e-05	0.000171111	0.0242305	0.00297566	0.000155934	0.382957	0.489321	0.320361	0.0704295	0.259952	0.0930273	0.00381106	17.8659	0.0186903	0.91786	0.879654	89.7231	2.02093	0.00320449	0.000150307
26	2494.55	15.6181	3.0829	9.11961	3.34851	8.5075	0.00677949	124.056	12.1138	7.97357	2.4087	0.528748	0.754215	0.459661	18.6266	6.0703	0.762949	0.135831	6.13415	8.70905	45.8084	0.756833	37.2409	0.0640283	0.29864	0.117543	0.0500139	0.313121	0.102041	0.0397357	18.6266	45.8084	0.756833	37.2409	0.957602	0.00736778	0.000218173	3.32631e-05	0.000429096	2.51934e-05	0.000267996	0.0317447	0.00301373	0.000154134	0.459661	0.552659	0.133285	0.0490763	0.307251	0.100128	0.00228315	7.92136	0.0219603	0.904875	0.86651	89.6622	1.98987	0.00330147	0.000148471
27	697.347	10.0171	3.65176	9.37415	4.53072	5.55682	0.00837867	115.894	11.7815	10.7711	1.64465	0.524725	0.917571	0.28102	17.8001	5.4411	0.172278	0.375132	9.61456	7.41602	37.4777	0.560353	53.0014	0.0998293	0.220715	0.179959	0.0447004	0.557913	0.0501195	0.0701042	17.8001	37.4777	0.560353	53.0014	0.968046	0.00475335	0.000216994	0.000127433	0.000216234	4.66516e-05	0.000195275	0.0230752	0.00343173	0.000130028	0.28102	0.803581	0.371953	0.0443216	0.553185	0.0496948	0.00329919	6.41101	0.0563344	1.01135	0.979031	104.865	1.93997	0.00366318	0.000125172
28	2434.35	17.894	3.35954	10.0383	2.93126	8.27585	0.00637351	128.561	12.6592	6.92266	2.7898	0.395045	0.764765	0.37179	18.7883	3.24969	0.540195	0.195911	7.19188	7.85753	46.1917	0.638618	47.4574	0.0558847	0.34115	0.120834	0.0436417	0.274129	0.0843197	0.0404396	18.7883	46.1917	0.638618	47.4574	0.948392	0.00940407	0.000146911	3.40007e-05	0.000345507	3.45343e-05	0.000224086	0.0393561	0.00273854	0.000159911	0.37179	0.585972	0.189774	0.0422745	0.265541	0.0816781	0.00220824	7.72775	0.0236965	0.909637	0.862692	76.4406	1.6635	0.00301056	0.000155696
29	1445.98	17.1577	2.77773	13.5175	2.10204	5.90957	0.00454442	127.463	12.4963	5.08612	2.42078	0.330253	0.667854	0.456903	20.0215	4.64446	0.552321	0.202255	5.61821	9.60141	40.4621	0.671846	50.0795	0.0582829	0.475728	0.169217	0.0433652	0.275884	0.137206	0.0347726	20.0215	40.4621	0.671846	50.0795	0.928986	0.0136289	0.000135027	3.28258e-05	0.000332058	4.02574e-05	0.000160452	0.0539094	0.00310953	0.000161725	0.456903	0.648804	0.196684	0.0421708	0.268285	0.133427	0.00267877	11.1089	0.0225606	0.952418	0.884783	77.2244	1.51345	0.00334914	0.000157146
30	3988.09	12.6535	2.60898	17.6447	3.76895	5.54993	0.00493037	127.877	11.2928	5.62776	2.60813	0.532593	0.70482	0.487623	18.1984	4.53498	0.663243	0.127051	4.57602	11.11	42.9595	0.550063	27.4958	0.0790295	0.265326	0.180182	0.0667019	0.27024	0.113177	0.0266421	18.1984	42.9595	0.550063	27.4958	0.933073	0.00816747	0.000236849	3.32519e-05	0.000297983	2.57048e-05	0.000171335	0.0557931	0.00337662	0.000193905	0.487623	0.621046	0.124548	0.0653878	0.264916	0.110947	0.00281165	13.5769	0.016546	0.80085	0.747252	86.3153	1.88327	0.00364566	0.000187578
31	3277.39	13.5179	3.71617	13.7043	3.37827	7.57182	0.00487715	125.053	11.7337	8.26305	2.98306	0.373372	0.711415	0.293644	17.0891	3.13854	0.360265	0.160326	4.47279	10.0656	41.698	0.407402	48.272	0.073976	0.296009	0.132069	0.0321458	0.238485	0.0967413	0.0358128	17.0891	41.698	0.407402	48.272	0.928697	0.00971833	0.00029102	5.38994e-05	0.000573882	5.00473e-05	0.000243997	0.0583223	0.00300144	0.0001735	0.293644	0.643094	0.157445	0.0315682	0.2342	0.095003	0.00238851	7.96788	0.023031	0.944872	0.877499	90.3191	1.94855	0.0033357	0.000167173
32	1729.74	16.6259	3.72803	10.9094	6.53486	6.30001	0.00518077	119.191	10.7612	5.55705	1.28106	0.384724	0.74146	0.374618	20.7752	4.23831	0.675592	0.192491	3.59096	6.25252	38.403	0.538288	47.7855	0.0601471	0.153025	0.15873	0.0513325	0.578786	0.201817	0.0542422	20.7752	38.403	0.538288	47.7855	0.952666	0.00824588	0.000352924	8.19563e-05	0.00028396	1.65376e-05	0.000168655	0.0352365	0.00341374	0.000127107	0.374618	0.515134	0.191079	0.0509559	0.574539	0.200336	0.00246896	7.75935	0.027942	0.836411	0.796821	72.9554	1.37488	0.00365573	0.000124331
33	2337.77	13.348	3.12205	11.4224	2.61628	7.87008	0.00388123	129.536	13.1511	5.34185	1.12372	0.325449	0.637815	0.3131	20.7156	2.99969	0.221748	0.102797	3.92837	8.29648	48.7428	0.643387	53.38	0.0749176	0.382222	0.127064	0.0388585	0.567592	0.322309	0.0347299	20.7156	48.7428	0.643387	53.38	0.936554	0.00644763	0.000351283	3.81623e-05	0.000803277	1.68187e-05	0.000302931	0.0529888	0.00315265	0.000147344	0.3131	0.772981	0.0988813	0.0373783	0.545972	0.310032	0.00186794	7.59943	0.0268455	1.11795	1.04702	114.232	1.6897	0.00348593	0.000142558
34	3278.32	20.5587	3.69643	18.0616	5.20432	7.67638	0.00688525	131.591	13.0883	7.07803	2.13739	0.698283	0.697283	0.243082	18.0412	6.18157	0.269573	0.112086	9.04101	12.5573	45.7705	0.737264	45.1909	0.0486412	0.192148	0.13027	0.0687904	0.326231	0.141629	0.0266606	18.0412	45.7705	0.737264	45.1909	0.943856	0.0113674	0.000586591	6.85588e-05	0.000543879	2.83229e-05	0.000310927	0.0413183	0.00283652	0.000208247	0.243082	0.682992	0.107196	0.0657892	0.311998	0.13545	0.002441	14.4697	0.018209	1.19982	1.13245	124.188	2.06528	0.00304998	0.000198961
35	747.739	16.2235	3.54728	12.3154	3.30412	6.42713	0.00544738	127.486	11.5751	6.58166	2.64765	0.706453	0.769062	0.341528	20.9374	3.7499	0.408081	0.0637012	4.05947	8.37506	42.142	0.525459	37.8625	0.061639	0.302652	0.15559	0.0825485	0.29047	0.0872238	0.0448157	20.9374	42.142	0.525459	37.8625	0.956299	0.00315852	0.000289418	1.90775e-05	0.000386496	1.59567e-05	0.000237592	0.0362682	0.00342505	0.000156933	0.341528	0.64506	0.0623683	0.0808212	0.284392	0.0853986	0.00233448	8.46718	0.0289088	0.970806	0.928381	107.831	1.72434	0.00369078	0.000152108
36	2275.93	13.2096	2.96274	14.0686	4.58918	5.71761	0.00530367	127.537	11.9785	5.25247	2.59629	0.534748	0.739727	0.473167	19.9041	3.32673	0.79725	0.103529	5.8533	10.083	46.4911	0.775681	36.854	0.0757025	0.217904	0.174898	0.0753108	0.284917	0.100248	0.0368322	19.9041	46.4911	0.775681	36.854	0.952451	0.0047986	0.000294333	3.2517e-05	0.000276156	1.95378e-05	0.000156873	0.039586	0.00300675	0.000159745	0.473167	0.550688	0.10106	0.0735147	0.278122	0.0978573	0.00276497	12.406	0.0202831	0.910587	0.867289	80.8341	1.46767	0.00319962	0.000154997
37	2452.62	20.7009	3.01147	7.99417	5.13084	5.8357	0.00676021	122.409	10.8618	8.04293	2.30877	0.671997	0.770071	0.340251	20.3474	4.16149	0.355286	0.196785	5.13971	8.21119	38.0053	0.524964	36.0321	0.0483071	0.1949	0.171359	0.0643404	0.333542	0.0995894	0.0645524	20.3474	38.0053	0.524964	36.0321	0.952434	0.00610613	0.000248895	5.93944e-05	0.000229792	2.84675e-05	0.000156056	0.038277	0.00312788	0.000174607	0.340251	0.681797	0.194759	0.0636779	0.330107	0.098564	0.00320556	5.48876	0.0440116	0.82762	0.788253	75.5572	1.71007	0.00337875	0.000170129
38	622.284	9.23641	3.74039	8.98981	4.3297	5.75042	0.00630282	125.584	10.588	2.91251	2.96938	0.615962	0.623693	0.430977	19.7896	3.33965	0.81742	0.0717459	2.73971	7.21552	35.9443	0.730292	39.8433	0.108267	0.230963	0.1739	0.131904	0.210041	0.126729	0.0723547	19.7896	35.9443	0.730292	39.8433	0.969294	0.0010464	0.000223648	1.6878e-05	0.000185063	1.25918e-05	0.000173367	0.0256494	0.00347377	0.000138219	0.430977	0.502569	0.0708617	0.130278	0.207453	0.125167	0.00251484	7.61014	0.0363632	0.845292	0.819337	82.8261	1.48331	0.00371706	0.000134802
39	1619.25	9.73862	3.94283	13.6462	3.46252	6.95217	0.00436491	125.225	11.116	9.44217	2.15761	0.451028	0.683035	0.369073	20.5413	4.74606	0.762538	0.142838	5.31486	10.2032	43.2989	0.832921	43.1731	0.102684	0.288807	0.14384	0.0326268	0.31657	0.146906	0.04156	20.5413	43.2989	0.832921	43.1731	0.913319	0.0116676	0.000536655	8.72642e-05	0.000851402	5.41422e-05	0.000291719	0.0703053	0.00325114	0.000191127	0.369073	0.467635	0.140744	0.0321485	0.311929	0.144752	0.0025242	12.2077	0.0194349	1.15839	1.05798	126.759	2.1197	0.00359127	0.000183663
