Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	7532.95	12.5246	3.26769	12.7368	5.63304	5.01193	0.00885737	104.91	13.3212	10.6381	1.29464	0.457517	0.382208	0.678577	0.341463	19.355	5.7936	0.166464	0.110175	9.78038	12.1245	57.8151	0.552459	37.8219	0.0798429	0.177524	0.199524	0.0243801	0.524143	0.248272	0.0511889	19.355	57.8151	0.552459	37.8219	0.824858	0.0501119	0.00968496	0.00119792	0.00366405	0.000143951	0.000679357	0.100268	0.00577615	0.000423194	0.341463	0.836216	0.11011	0.0243657	0.523835	0.248126	0.0108616	8.98298	0.042805	1.61372	1.33109	1638.35	56.7796	0.00612963	0.000349725
11	5993.56	10.8029	3.41917	14.0723	5.00305	7.47058	0.0185381	99.604	9.26677	5.05318	1.48959	0.376284	0.021663	0.799934	0.307345	19.6132	6.35102	0.0856384	0.439549	13.347	6.3641	39.7845	0.805075	60.7279	0.0925677	0.199878	0.133858	0.00342932	0.537016	0.134309	0.0325238	19.6132	39.7845	0.805075	60.7279	0.871108	0.0762708	0.0015243	0.00119542	0.00119118	0.000215208	0.000731408	0.0409903	0.00561836	0.000358054	0.307345	0.903902	0.439543	0.00342928	0.537009	0.134308	0.00714986	12.1723	0.0293983	1.47493	1.28483	1385.72	52.7155	0.00666094	0.000327121
12	862.319	10.3652	3.51456	14.5692	3.44204	5.56957	0.0176176	103.294	12.691	6.67075	2.30931	0.091085	0.198314	0.840826	0.340711	18.4518	4.13027	0.0773477	0.324505	6.12728	9.11626	44.6178	0.607565	65.4202	0.0964767	0.290525	0.179547	0.0249968	0.364103	0.0689271	0.0433125	18.4518	44.6178	0.607565	65.4202	0.929935	0.0366198	0.0012968	0.000622541	0.00141209	0.000349499	0.000713899	0.0228433	0.00568023	0.000366986	0.340711	0.920092	0.324389	0.0249879	0.363972	0.0689024	0.00936753	10.7997	0.0398515	1.43965	1.33878	1812.19	54.507	0.0065686	0.000315745
13	3289.39	7.37352	3.38081	15.8733	4.89614	6.15657	0.0101083	104.015	11.0541	6.38859	2.67969	0.246809	0.315164	0.61247	0.388575	21.2514	5.53537	0.316009	0.0866012	1.92143	9.01538	57.4234	0.609403	39.2745	0.13562	0.204243	0.162428	0.0302146	0.22856	0.144617	0.0345951	21.2514	57.4234	0.609403	39.2745	0.898701	0.0277743	0.00550195	0.000521543	0.0037265	0.000197066	0.000762279	0.0555615	0.00561074	0.000383959	0.388575	0.741772	0.086591	0.030211	0.228533	0.1446	0.00881906	12.0824	0.0256617	1.53763	1.38187	1757.18	56.5668	0.00654704	0.000332253
14	1975.29	18.8201	3.06169	9.00738	4.19433	5.5611	0.0131197	98.8681	10.5489	9.76502	1.26943	0.248282	0.181692	0.751315	0.4414	21.3365	6.81841	0.244877	0.237118	2.86294	7.98694	59.3816	0.640315	35.9069	0.0531347	0.238417	0.179821	0.0139793	0.591852	0.195903	0.0611226	21.3365	59.3816	0.640315	35.9069	0.893117	0.0504509	0.00263099	0.000817683	0.00211284	0.00017956	0.000615933	0.0432612	0.00561155	0.000396012	0.4414	0.818517	0.237107	0.0139786	0.591824	0.195894	0.0107212	7.19762	0.0500299	1.44488	1.29045	1559.15	60.2669	0.00654232	0.000349259
15	2963.36	8.04667	3.94191	16.2808	3.54227	7.75446	0.0125773	102.603	13.4887	9.40154	2.88582	0.422194	0.21453	0.774203	0.389942	19.3572	3.88917	0.41247	0.213846	6.00657	8.59425	61.721	0.653723	35.1299	0.124275	0.282305	0.128958	0.0176662	0.268278	0.0782436	0.0312233	19.3572	61.721	0.653723	35.1299	0.850566	0.077321	0.00302317	0.000821601	0.00282552	0.000359172	0.00088617	0.0555916	0.00559342	0.000349068	0.389942	0.678109	0.21373	0.0176566	0.268133	0.0782011	0.00655112	12.8415	0.0211728	1.54239	1.31191	1615.48	52.0164	0.00655367	0.00030518
16	1341.06	18.1689	3.42551	12.359	2.2856	8.06118	0.0136524	103.794	13.2595	6.66274	1.81155	0.221964	0.207248	0.77283	0.499008	20.6585	5.81785	0.628646	0.19765	4.44938	7.72912	57.2234	0.786986	34.8561	0.0550391	0.437522	0.124051	0.0240393	0.426613	0.125401	0.034383	20.6585	57.2234	0.786986	34.8561	0.882062	0.0736461	0.0011682	0.00028755	0.00232036	0.0001706	0.000829384	0.0329524	0.0053858	0.000335251	0.499008	0.645976	0.197547	0.0240267	0.42639	0.125335	0.00629072	11.0401	0.0222106	1.38593	1.22247	1435.93	50.0048	0.00631509	0.000298627
17	1303.63	12.2367	3.55417	19.6922	4.6357	5.6765	0.0169566	101.123	11.4336	8.94431	2.48099	0.161156	0.517603	0.679773	0.427589	20.8902	5.40447	0.456185	0.263013	3.3781	9.75315	38.2572	0.854675	52.4194	0.0817214	0.215717	0.176165	0.0393381	0.273993	0.129072	0.0317953	20.8902	38.2572	0.854675	52.4194	0.890937	0.069615	0.00190469	0.00067956	0.00144158	0.000288582	0.00064389	0.0280212	0.00573419	0.000397014	0.427589	0.678703	0.26298	0.0393333	0.273959	0.129056	0.0100804	18.0541	0.0215796	1.3804	1.22985	1535.17	58.9696	0.00659101	0.000340968
18	333.615	16.7647	3.881	8.60068	2.26837	5.86234	0.019175	105.25	13.9536	8.06482	2.40141	0.456297	0.78126	0.70293	0.403917	18.9026	4.76302	0.322195	0.214068	4.40482	9.60871	52.3263	0.440896	41.7088	0.0596491	0.440845	0.17058	0.0680946	0.292716	0.123706	0.0769733	18.9026	52.3263	0.440896	41.7088	0.920835	0.0316474	0.00129098	0.000351186	0.00117814	0.000191399	0.000664357	0.035972	0.00582173	0.000381751	0.403917	0.746705	0.213887	0.0680372	0.292469	0.123602	0.0092055	5.73431	0.0574763	1.28342	1.18182	1495.22	55.5737	0.00653317	0.000329709
19	1173.52	7.36351	2.84786	18.76	3.16952	6.56479	0.0211597	92.3862	8.74331	5.99734	2.27738	0.356245	0.513593	0.759605	0.606596	19.8983	4.21334	0.486832	0.181524	4.48652	6.49568	66.4991	0.750482	23.7874	0.135805	0.315505	0.152328	0.0650501	0.333543	0.105558	0.0231241	19.8983	66.4991	0.750482	23.7874	0.928861	0.0370394	0.00146407	0.000324704	0.00122044	0.000141836	0.000672522	0.0233133	0.00558571	0.000353009	0.606596	0.783986	0.181523	0.06505	0.333542	0.105557	0.00891241	16.9185	0.018129	1.33054	1.23589	1376.1	58.5153	0.00627565	0.000317392
20	911.36	19.2231	3.32798	13.1657	2.65224	6.17314	0.01244	103.174	12.5726	8.15247	2.18824	0.0286817	0.392752	0.65241	0.557667	20.5629	4.3655	0.880011	0.162688	3.9221	8.15429	55.2795	0.958024	40.3456	0.0520207	0.37704	0.161992	0.0314304	0.298144	0.158845	0.0409478	20.5629	55.2795	0.958024	40.3456	0.896625	0.0590683	0.00153547	0.000298194	0.0025269	0.000225116	0.000727972	0.0327183	0.00585664	0.00039283	0.557667	0.598146	0.162634	0.0314201	0.298046	0.158792	0.00877328	12.9212	0.0244928	1.37779	1.23536	1609.94	57.6325	0.00668402	0.000346883
21	783.894	7.07192	3.40403	13.2198	3.47669	5.83868	0.0158201	101.602	13.1886	9.20579	1.90619	0.0810654	0.240111	0.750122	0.397307	20.7525	3.53573	0.16511	0.342471	6.80146	7.58106	51.9109	0.652388	46.3427	0.141404	0.28763	0.171272	0.0195651	0.393519	0.131088	0.0441015	20.7525	51.9109	0.652388	46.3427	0.938293	0.0281774	0.00115564	0.000601399	0.00137357	0.000286163	0.000657209	0.0234081	0.00556551	0.000347571	0.397307	0.858641	0.342326	0.0195568	0.393352	0.131032	0.00878672	10.4502	0.0378674	1.37645	1.29151	1568.1	52.6641	0.00640623	0.000308774
22	449.199	18.6948	3.95611	12.3347	2.22887	5.82947	0.0205682	102.317	12.2739	5.79581	1.57926	0.526968	0.530248	0.722542	0.427016	16.5415	4.80952	0.386726	0.208954	5.48369	9.46847	57.1177	0.570768	62.1102	0.0534908	0.448658	0.171542	0.066104	0.457519	0.175689	0.0550187	16.5415	57.1177	0.570768	62.1102	0.886973	0.0598286	0.00175264	0.00046278	0.00134064	0.000146227	0.000698411	0.0403235	0.00564439	0.000393801	0.427016	0.719587	0.208901	0.0660874	0.457404	0.175644	0.0100698	9.30107	0.0395908	1.47478	1.30809	1607.02	55.6562	0.00630139	0.00033873
23	1300.73	10.8243	3.28571	10.8804	3.30562	5.85986	0.0159486	103.693	12.1463	9.83268	1.02601	0.445529	0.744706	0.603801	0.420963	19.6018	4.7632	0.19348	0.329842	2.11555	8.88107	42.1565	0.655479	55.0911	0.0923847	0.302515	0.170653	0.0457306	0.588494	0.386155	0.0515344	19.6018	42.1565	0.655479	55.0911	0.903505	0.0455396	0.00149045	0.000733196	0.00105065	0.00012357	0.000599658	0.0394158	0.005752	0.000344207	0.420963	0.84586	0.329757	0.0457187	0.588342	0.386055	0.00838005	8.70986	0.0435909	1.31647	1.18943	1385.92	47.771	0.0065963	0.000303839
24	4755.77	13.0891	3.19669	16.0554	3.25621	8.54114	0.0146553	104.601	11.9699	8.93665	2.11537	0.326775	0.17161	0.683621	0.324552	21.5596	4.50292	0.0431753	0.302078	4.25218	5.67293	49.4357	0.607332	40.5615	0.0763994	0.307105	0.11708	0.0131275	0.323169	0.149562	0.0233111	21.5596	49.4357	0.607332	40.5615	0.841459	0.100687	0.00156578	0.000677384	0.00215833	0.000285244	0.000833869	0.0454303	0.00529506	0.00037187	0.324552	0.952576	0.302003	0.0131243	0.323089	0.149525	0.00654512	11.7971	0.0222056	1.45575	1.22496	1380.8	56.4027	0.00638553	0.000342741
