Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	523.316	18.7519	4.20769	19.5871	4.00076	7.88467	0.0123385	126.147	13.3029	4.78904	1.48493	0.472362	0.67473	0.183666	18.5474	4.82335	0.494183	0.163223	3.21511	12.6094	24.0408	0.740952	23.6802	0.0533279	0.249953	0.126828	0.0665513	0.454385	0.219047	0.0272452	18.5474	24.0408	0.740952	23.6802	0.965652	0.0128202	0.000159853	2.95185e-05	0.000241871	1.17368e-05	0.000184139	0.0194235	0.00168342	0.000183012	0.183666	0.432808	0.158185	0.0644973	0.440361	0.212287	0.00413795	15.445	0.0117919	0.801341	0.773816	29.7423	1.21647	0.00199839	0.000172269
11	1938.6	14.4107	2.98057	17.4264	4.85507	10.6273	0.0155819	123.398	13.2421	7.60486	2.16354	0.441324	0.703446	0.0887936	18.791	4.91381	0.10098	0.465136	5.3689	11.4966	21.0312	0.645497	31.3163	0.0693929	0.20597	0.0940973	0.0408223	0.325137	0.137069	0.0160942	18.791	21.0312	0.645497	31.3163	0.966676	0.0168001	7.3436e-05	5.90236e-05	0.000156862	2.91677e-05	0.000210565	0.0157582	0.00153731	0.000141184	0.0887936	0.783083	0.453583	0.0398084	0.317061	0.133664	0.00314684	11.7972	0.0126031	0.60671	0.586493	22.6728	1.10549	0.00185213	0.000132507
12	241.045	8.94112	3.52777	17.2183	2.92577	7.81361	0.015006	102.309	11.8213	11.328	1.01982	0.44762	0.70235	0.255984	18.5974	5.04863	0.346875	0.252446	6.08263	11.1115	20.3989	0.595993	22.4403	0.111843	0.34179	0.127982	0.027753	0.6887	0.291865	0.0262215	18.5974	20.3989	0.595993	22.4403	0.977866	0.00909789	0.000141317	4.74882e-05	0.00032736	1.67344e-05	0.00016121	0.0107017	0.0016833	0.000135839	0.255984	0.623338	0.251753	0.0276768	0.68681	0.291064	0.00651336	12.0427	0.0163449	0.946188	0.925245	28.2405	1.51301	0.0019239	0.000123719
13	197.018	9.74303	3.68819	19.3058	3.21443	5.04989	0.0106788	119.036	12.3584	6.20508	1.04836	0.438082	0.771504	0.143882	19.1737	2.8873	0.129546	0.41079	4.12942	11.6351	23.1872	0.541436	27.9222	0.102637	0.311097	0.198024	0.0544686	0.735915	0.217956	0.0378306	19.1737	23.1872	0.541436	27.9222	0.973454	0.00581739	7.39796e-05	4.99488e-05	0.000103885	1.70374e-05	0.000101208	0.0185437	0.00185172	0.000133257	0.143882	0.777899	0.405212	0.053729	0.725923	0.214996	0.00493062	11.7266	0.0294284	0.815318	0.793675	25.1154	0.867469	0.00206168	0.000126535
14	850.32	8.5105	3.53172	17.4828	3.14028	8.02939	0.0148435	119.114	12.9469	3.16456	2.10548	0.236009	0.61466	0.214356	16.6101	4.65123	0.500979	0.443524	4.56317	13.5266	19.4127	1.12532	39.8398	0.117502	0.318443	0.124542	0.0458406	0.291933	0.183018	0.025159	16.6101	19.4127	1.12532	39.8398	0.970067	0.0114287	5.57508e-05	4.26758e-05	0.000130022	3.11868e-05	0.000142756	0.0169559	0.00161589	0.00016268	0.214356	0.462288	0.436185	0.045082	0.287103	0.179989	0.00458596	19.2041	0.0116307	0.742417	0.720194	21.1872	1.16094	0.00189253	0.000152259
15	210.687	14.7688	4.34308	16.3247	3.62719	6.10516	0.0115575	126.138	12.8022	6.39239	2.00961	0.666591	0.766141	0.115621	19.1884	3.71152	0.22018	0.410317	1.87951	9.82281	24.2108	0.591494	25.9648	0.0677103	0.275696	0.163796	0.0798923	0.381239	0.11637	0.0435768	19.1884	24.2108	0.591494	25.9648	0.972709	0.00709297	5.68026e-05	3.69466e-05	7.94392e-05	2.29892e-05	0.000110069	0.0182623	0.00164835	0.000137863	0.115621	0.62187	0.399215	0.0777306	0.370923	0.113222	0.00388204	10.427	0.0270991	0.702861	0.683679	20.4794	0.765284	0.00188423	0.000132914
16	7710.07	16.1415	2.42069	12.2541	4.66167	9.41397	0.00754678	134.161	13.4635	6.36423	2.74258	0.45284	0.784225	0.199429	17.7904	3.47818	0.407149	0.134633	1.4536	11.8051	23.4344	0.914736	31.329	0.0619521	0.214515	0.106225	0.0558007	0.285944	0.0786759	0.0209838	17.7904	23.4344	0.914736	31.329	0.952574	0.00833998	0.000166967	2.33489e-05	0.000290161	1.60118e-05	0.000224247	0.0421504	0.00174929	0.000201764	0.199429	0.518692	0.126991	0.0526334	0.269714	0.0742103	0.00210248	11.4176	0.0108841	0.682934	0.650545	27.3913	0.759662	0.0021531	0.000195443
17	465.189	13.534	2.89551	13.8068	3.63676	5.55656	0.0103097	120.955	13.7515	4.96516	1.78895	0.437971	0.776075	0.340027	19.1154	3.40356	0.502109	0.178473	4.79036	11.3907	24.1401	0.693497	23.1058	0.073888	0.27497	0.179967	0.0684567	0.433816	0.125171	0.0377421	19.1154	24.1401	0.693497	23.1058	0.978425	0.00439342	0.000106562	2.22209e-05	0.000134352	1.17844e-05	8.65383e-05	0.0155039	0.00153492	0.000127113	0.340027	0.581793	0.174217	0.0668242	0.423471	0.122186	0.00532408	11.0139	0.0219581	0.809229	0.791771	20.5393	0.786386	0.00170266	0.000121087
18	809.138	9.24426	2.77603	7.74656	2.45767	5.6489	0.00842046	121.271	13.7064	8.0819	1.36875	0.653935	0.611596	0.275211	18.1041	3.2974	0.343957	0.18233	3.30863	13.1232	20.2715	0.680955	30.5377	0.108175	0.406889	0.177026	0.0494864	0.446828	0.283765	0.0634383	18.1041	20.2715	0.680955	30.5377	0.969166	0.00268738	0.000127826	2.74819e-05	0.000255064	1.61476e-05	0.000116906	0.0263542	0.0016825	0.000168517	0.275211	0.641607	0.177936	0.0482937	0.436059	0.276927	0.00538912	5.95524	0.0407024	0.884356	0.857088	27.2276	1.00842	0.00192578	0.000159286
19	2530.15	19.2176	3.72112	9.42035	3.34495	12.3029	0.00990784	130.857	13.3294	4.95737	2.69031	0.307061	0.740556	0.212212	17.8717	4.13249	0.837254	0.209919	2.71435	9.427	24.4828	1.13241	21.2668	0.0520356	0.298958	0.0812816	0.0458703	0.275268	0.0964365	0.032107	17.8717	24.4828	1.13241	21.2668	0.959867	0.0146475	6.77131e-05	1.66485e-05	0.000247309	1.58066e-05	0.000261192	0.0249564	0.00165157	0.000151631	0.212212	0.273109	0.200754	0.0438675	0.263249	0.0922259	0.00192241	10.403	0.00876869	0.582567	0.559187	21.9899	0.82737	0.00203322	0.000146275
