"","GM_NInit.1.","GM_TIsolation.1.","GM_R0.1.","GM_c0.1.","GM_TLatent.1.","GM_TRecover.1.","GM_IFR.1.","GM_TStartTesting.1.","GM_TauTesting.1.","GM_TTestingRate.1.","GM_TContactsTestingRate.1.","GM_TestingCoverage.1.","GM_TestSensitivity.1.","GM_ThetaMin.1.","GM_TauTheta.1.","GM_PwrTheta.1.","GM_HygienePwr.1.","GM_FracTraced.1.","GM_TPosTest.1.","GM_TFatalDeath.1.","GM_TauS.1.","GM_rMax.1.","GM_TauR.1.","alpha_Pos.1.","alpha_Death.1.","LnPrior","LnData","LnPosterior"
"Min.",414.982,7.0032,3.30473,7.00327,2.00006,5.00038,0.00234319,117.552,11.2002,2.00598,1.00062,0.200249,0.6,0.0565405,16.0363,5.44097,0.000690951,0.0500468,1.01255,7.82037,29.9669,0.435483,37.8026,4.392,8.00002,-59.95687,-1062.5,-1114.719
"1st Qu.",1674.2525,9.8125825,4.15159,10.48955,2.3574775,5.3307675,0.0048000775,137.2085,13.5255,6.806045,1.6564075,0.32601675,0.6818835,0.13617525,18.091575,6.44925,0.036920325,0.1234615,3.4386425,12.629575,41.118175,0.58941425,44.0373,7.0659025,8.196395,-54.317375,-1046.27575,-1099.49825
"Median",2381.07,12.80735,4.31059,13.09755,2.71287,5.735685,0.005579855,139.7425,13.7622,8.29359,2.102915,0.419103,0.7364085,0.1515445,18.43725,7.24406,0.062218,0.1624075,4.23804,13.3584,43.37845,0.6244075,47.7422,7.7683,8.48488,-53.33131,-1043.4045,-1096.8595
"Mean",2712.1670093633,13.1418769194757,4.25934974406991,13.1683912265918,2.82146753121099,5.9665978386392,0.00568604950998752,139.367767322097,13.6579102059925,8.21924962390761,2.06888878433208,0.433837356429463,0.742146721441948,0.152271803667291,18.305911298377,7.28791868601748,0.0681069208444132,0.166598019007491,4.19632852059925,13.0366213888889,43.2698103776529,0.616474544787765,48.0841676810237,7.8470521551186,8.7342905696005,-53.3981827106742,-1043.81924968789,-1097.2174286829
"3rd Qu.",3395.855,16.257575,4.41592,15.757475,3.1730625,6.370505,0.0064631925,142.03125,13.899825,9.7540925,2.5037775,0.5298315,0.7956065,0.16821725,18.6492,8.0795525,0.091877875,0.2060535,4.992095,13.7827,45.6166,0.65043475,51.56815,8.5627525,9.00258,-52.39256,-1041.02775,-1094.5895
"Max.",9891.13,20.9929,4.49995,19.9948,5.8224,12.263,0.0104473,149.638,13.9999,11.995,2.99925,0.799824,0.949819,0.249219,18.7999,9.59824,0.250318,0.373324,8.00956,13.9998,53.4915,0.672992,67.3251,12.574,18.5582,-48.02892,-1033.992,-1087.108
"rhat.vec",1.00758328616249,1.00038450434382,1.00296793700528,1.00005803494472,1.00878422557359,1.00414855833712,1.00230004646584,1.00234549121706,1.0009073102341,1.00377246529547,1.00024665870436,1.00082156316572,1.0005453871875,1.00565906891429,1.00052463533538,1.00011631760599,1.0051593513863,1.00086901717237,1.00130845707293,1.00020479639027,1.01329954347124,1.00436135143838,1.01192962422501,1.00003867348637,1.00068191834867,1.00249334396964,0.999885585255631,1.00002109160636
