"","state","mu_C","mu_Lambda","DeltaDelta","scenarioname","scenariodesc","p95.cases.train","p95.deaths.train","p95.cases.valid","p95.deaths.valid"
"1","AL",1,1,0,"Prediction","Prediction",0.957446808510638,0.851063829787234,1,0.65625
"2","AK",1,1,0,"Prediction","Prediction",0.935483870967742,1,0.90625,1
"3","AZ",1,1,0,"Prediction","Prediction",0.968085106382979,0.819148936170213,0.84375,0.53125
"4","AR",1,1,0,"Prediction","Prediction",0.851063829787234,0.913978494623656,0.8125,0.5
"5","CA",1,1,0,"Prediction","Prediction",0.957446808510638,0.925531914893617,0.84375,0.65625
"6","CO",1,1,0,"Prediction","Prediction",0.924731182795699,0.659340659340659,0.71875,0.375
"7","CT",1,1,0,"Prediction","Prediction",0.89247311827957,0.872340425531915,0.65625,0.625
"8","DE",1,1,0,"Prediction","Prediction",0.925531914893617,0.946808510638298,0.53125,1
"9","DC",1,1,0,"Prediction","Prediction",0.946808510638298,0.956989247311828,0.75,1
"10","FL",1,1,0,"Prediction","Prediction",0.978723404255319,0.819148936170213,0.90625,0.5625
"11","GA",1,1,0,"Prediction","Prediction",0.925531914893617,0.829787234042553,0.34375,0.53125
"12","HI",1,1,0,"Prediction","Prediction",0.956521739130435,1,0.9375,1
"13","ID",1,1,0,"Prediction","Prediction",0.840425531914894,0.956989247311828,0.3125,1
"14","IL",1,1,0,"Prediction","Prediction",0.957446808510638,0.904255319148936,0.15625,0.90625
"15","IN",1,1,0,"Prediction","Prediction",0.946808510638298,0.904255319148936,0.71875,0.71875
"16","IA",1,1,0,"Prediction","Prediction",0.957446808510638,0.978723404255319,0.53125,0.84375
"17","KS",1,1,0,"Prediction","Prediction",0.638297872340426,0.946236559139785,0,0.90625
"18","KY",1,1,0,"Prediction","Prediction",0.829787234042553,0.829787234042553,0.78125,0.90625
"19","LA",1,1,0,"Prediction","Prediction",0.913978494623656,0.882978723404255,0.40625,0.71875
"20","ME",1,1,0,"Prediction","Prediction",0.946808510638298,0.968085106382979,0.8125,1
"21","MD",1,1,0,"Prediction","Prediction",0.957446808510638,0.968085106382979,0.53125,0.9375
"22","MA",1,1,0,"Prediction","Prediction",0.968085106382979,0.957446808510638,0.96875,0.903225806451613
"23","MI",1,1,0,"Prediction","Prediction",0.957446808510638,0.904255319148936,1,0.6875
"24","MN",1,1,0,"Prediction","Prediction",0.957446808510638,0.968085106382979,0.34375,0.9375
"25","MS",1,1,0,"Prediction","Prediction",0.904255319148936,0.872340425531915,0.15625,0.75
"26","MO",1,1,0,"Prediction","Prediction",0.968085106382979,0.74468085106383,0.6875,0.612903225806452
"27","MT",1,1,0,"Prediction","Prediction",0.945652173913043,0.978723404255319,0.96875,1
"28","NE",1,1,0,"Prediction","Prediction",0.968085106382979,0.934782608695652,0.875,0.964285714285714
"29","NV",1,1,0,"Prediction","Prediction",0.957446808510638,0.957446808510638,0.90625,0.65625
"30","NH",1,1,0,"Prediction","Prediction",0.819148936170213,0.861702127659574,0.84375,0.96875
"31","NJ",1,1,0,"Prediction","Prediction",0.968085106382979,0.904255319148936,0.903225806451613,0.774193548387097
"32","NM",1,1,0,"Prediction","Prediction",0.925531914893617,0.978723404255319,0.84375,0.875
"33","NY",1,1,0,"Prediction","Prediction",0.968085106382979,0.936170212765957,0.96875,0.4375
"34","NC",1,1,0,"Prediction","Prediction",0.968085106382979,0.851063829787234,1,0.5625
"35","ND",1,1,0,"Prediction","Prediction",0.956989247311828,0.978260869565217,0.46875,0.935483870967742
"36","OH",1,1,0,"Prediction","Prediction",0.946808510638298,0.872340425531915,0.40625,0.65625
"37","OK",1,1,0,"Prediction","Prediction",0.957446808510638,0.946808510638298,0.875,0.78125
"38","OR",1,1,0,"Prediction","Prediction",0.914893617021277,0.968085106382979,1,0.75
"39","PA",1,1,0,"Prediction","Prediction",0.957446808510638,0.698924731182796,0.4375,0.625
"40","RI",1,1,0,"Prediction","Prediction",0.98936170212766,0.870967741935484,0.78125,0.875
"41","SC",1,1,0,"Prediction","Prediction",0.787234042553192,0.74468085106383,1,0.65625
"42","SD",1,1,0,"Prediction","Prediction",0.957446808510638,0.957446808510638,1,0.9375
"43","TN",1,1,0,"Prediction","Prediction",0.968085106382979,0.880434782608696,0.84375,0.9375
"44","TX",1,1,0,"Prediction","Prediction",0.968085106382979,0.904255319148936,1,0.84375
"45","UT",1,1,0,"Prediction","Prediction",0.936170212765957,0.946808510638298,0.9375,0.78125
"46","VT",1,1,0,"Prediction","Prediction",0.967741935483871,0.98936170212766,0.8125,1
"47","VA",1,1,0,"Prediction","Prediction",0.978723404255319,0.870967741935484,0.625,0.6875
"48","WA",1,1,0,"Prediction","Prediction",0.957446808510638,0.935483870967742,0.129032258064516,0.870967741935484
"49","WV",1,1,0,"Prediction","Prediction",0.945652173913043,0.967391304347826,0.53125,1
"50","WI",1,1,0,"Prediction","Prediction",0.98936170212766,0.913978494623656,0.125,0.67741935483871
"51","WY",1,1,0,"Prediction","Prediction",0.819148936170213,0.978723404255319,0.875,1
