"","state","mu_C","mu_Lambda","DeltaDelta","scenarioname","scenariodesc","p95.cases.train","p95.deaths.train","p95.cases.valid","p95.deaths.valid"
"1","AL",1,1,0,"Validation","Validation",0.953488372093023,0.930232558139535,0.92156862745098,0.901960784313726
"2","AK",1,1,0,"Validation","Validation",0.976190476190476,1,0.411764705882353,0.96078431372549
"3","AZ",1,1,0,"Validation","Validation",0.953488372093023,0.953488372093023,1,0.764705882352941
"4","AR",1,1,0,"Validation","Validation",0.953488372093023,1,0.843137254901961,0.980392156862745
"5","CA",1,1,0,"Validation","Validation",0.930232558139535,0.976744186046512,1,0.803921568627451
"6","CO",1,1,0,"Validation","Validation",0.906976744186046,0.833333333333333,0.96,0.54
"7","CT",1,1,0,"Validation","Validation",0.837209302325581,0.813953488372093,0.96,0.980392156862745
"8","DE",1,1,0,"Validation","Validation",0.86046511627907,0.930232558139535,1,0.92156862745098
"9","DC",1,1,0,"Validation","Validation",0.930232558139535,0.976190476190476,0.96078431372549,0.882352941176471
"10","FL",1,1,0,"Validation","Validation",0.976744186046512,0.883720930232558,0.490196078431373,0.764705882352941
"11","GA",1,1,0,"Validation","Validation",0.930232558139535,0.906976744186046,1,0.901960784313726
"12","HI",1,1,0,"Validation","Validation",0.976190476190476,1,0.612244897959184,1
"13","ID",1,1,0,"Validation","Validation",0.883720930232558,0.976744186046512,0.333333333333333,0.96
"14","IL",1,1,0,"Validation","Validation",0.953488372093023,0.930232558139535,0.431372549019608,0.411764705882353
"15","IN",1,1,0,"Validation","Validation",0.883720930232558,0.930232558139535,0.392156862745098,0.372549019607843
"16","IA",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,0.529411764705882,0.431372549019608
"17","KS",1,1,0,"Validation","Validation",0.976744186046512,0.976190476190476,0.549019607843137,0.588235294117647
"18","KY",1,1,0,"Validation","Validation",0.930232558139535,0.906976744186046,0.784313725490196,0.823529411764706
"19","LA",1,1,0,"Validation","Validation",0.930232558139535,0.953488372093023,0.22,0.686274509803922
"20","ME",1,1,0,"Validation","Validation",0.930232558139535,1,0.745098039215686,0.980392156862745
"21","MD",1,1,0,"Validation","Validation",0.953488372093023,1,0.980392156862745,0.823529411764706
"22","MA",1,1,0,"Validation","Validation",0.930232558139535,0.953488372093023,0.647058823529412,0.862745098039216
"23","MI",1,1,0,"Validation","Validation",0.976744186046512,1,0.411764705882353,0.0588235294117647
"24","MN",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,0.274509803921569,0.156862745098039
"25","MS",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,0.843137254901961,0.843137254901961
"26","MO",1,1,0,"Validation","Validation",0.930232558139535,0.813953488372093,0.843137254901961,0.784313725490196
"27","MT",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,0.448979591836735,0.92156862745098
"28","NE",1,1,0,"Validation","Validation",0.976744186046512,0.976190476190476,0.980392156862745,0.7
"29","NV",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,0.823529411764706,1
"30","NH",1,1,0,"Validation","Validation",0.790697674418605,0.953488372093023,0.823529411764706,0.745098039215686
"31","NJ",1,1,0,"Validation","Validation",0.953488372093023,0.906976744186046,0.666666666666667,0.764705882352941
"32","NM",1,1,0,"Validation","Validation",0.906976744186046,1,0.980392156862745,0.980392156862745
"33","NY",1,1,0,"Validation","Validation",0.976744186046512,0.906976744186046,0.980392156862745,0.941176470588235
"34","NC",1,1,0,"Validation","Validation",0.976744186046512,0.930232558139535,0.96078431372549,0.686274509803922
"35","ND",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,0.98,0.96078431372549
"36","OH",1,1,0,"Validation","Validation",0.952380952380952,0.953488372093023,1,0.607843137254902
"37","OK",1,1,0,"Validation","Validation",0.953488372093023,0.883720930232558,0.901960784313726,0.941176470588235
"38","OR",1,1,0,"Validation","Validation",0.86046511627907,0.953488372093023,0.843137254901961,1
"39","PA",1,1,0,"Validation","Validation",0.953488372093023,0.785714285714286,0.92156862745098,0.647058823529412
"40","RI",1,1,0,"Validation","Validation",0.930232558139535,0.976190476190476,0.862745098039216,0.901960784313726
"41","SC",1,1,0,"Validation","Validation",0.720930232558139,0.790697674418605,0.882352941176471,0.803921568627451
"42","SD",1,1,0,"Validation","Validation",0.976744186046512,0.930232558139535,0.235294117647059,0.784313725490196
"43","TN",1,1,0,"Validation","Validation",0.976744186046512,0.904761904761905,0.941176470588235,1
"44","TX",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,1,0.901960784313726
"45","UT",1,1,0,"Validation","Validation",1,0.976744186046512,1,0.980392156862745
"46","VT",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,0.5,1
"47","VA",1,1,0,"Validation","Validation",0.953488372093023,0.952380952380952,0.980392156862745,0.588235294117647
"48","WA",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,0.92156862745098,0.88
"49","WV",1,1,0,"Validation","Validation",0.975609756097561,0.975609756097561,0.549019607843137,0.980392156862745
"50","WI",1,1,0,"Validation","Validation",0.930232558139535,0.976744186046512,0.980392156862745,0.74
"51","WY",1,1,0,"Validation","Validation",0.883720930232558,0.976744186046512,0.509803921568627,1
