state,fCreopencrit.2.5.,fCreopencrit.5.,fCreopencrit.25.,fCreopencrit.50.,fCreopencrit.75.,fCreopencrit.95.,fCreopencrit.97.5.,lambdareopencrit.2.5.,lambdareopencrit.5.,lambdareopencrit.25.,lambdareopencrit.50.,lambdareopencrit.75.,lambdareopencrit.95.,lambdareopencrit.97.5.,mubothreopencrit.2.5.,mubothreopencrit.5.,mubothreopencrit.25.,mubothreopencrit.50.,mubothreopencrit.75.,mubothreopencrit.95.,mubothreopencrit.97.5.
AK,0.408060054524297,0.418244667445027,0.484710675497283,0.52437632186024,0.576146985692638,0.636785238006713,0.658813615933302,0,0,0.197112948410431,0.331293026215926,0.61711771700211,Inf,Inf,0.159123780964179,0.174916008525045,0.234400479593645,0.291830946848949,0.356973318788062,0.464023601670106,0.484048619554756
AL,0.338799622929705,0.352038649606871,0.416386143987294,0.474904460823989,0.534256686587851,0.608785013304696,0.632373645259751,0,0.0958864080898644,0.146949108144242,0.198626138798813,0.303484406292297,0.945647670957333,Inf,0.117685795303128,0.133591124161179,0.171676328026828,0.214755978422987,0.278645399733193,0.367643161019656,0.414417992388611
AR,0.304636365281892,0.316952962135973,0.378667878407506,0.443937075103436,0.500069354511127,0.579337463996981,0.602890747754187,0,0,0.126692849048941,0.194643073414225,0.325682486195547,Inf,Inf,0.106685359112222,0.114294243918296,0.159030775908002,0.213119328376747,0.274732316658264,0.379619710656379,0.429221864469942
AZ,0.440148554152445,0.449073614062807,0.497578256802743,0.535664448351014,0.573457121976928,0.618087916573172,0.633558778878431,0,0,0,0.326958252224242,0.889005290939424,Inf,Inf,0.156885548855492,0.170693016474994,0.244859649726127,0.294348588646208,0.356381034370387,0.426238623209054,0.440440806204828
CA,0.36591104206169,0.376526569182093,0.428362399081215,0.473303066560379,0.513420264539084,0.568525934471151,0.587687320245323,0.0835134780558973,0.088245445660216,0.115119042069289,0.155317527710841,0.219397958268762,0.537056332473722,0.694680307247678,0.111010504586357,0.118459843535816,0.147971964542501,0.182508249738521,0.229857375159991,0.316370030957578,0.339922766631491
CO,0.25879782079618,0.282542093416915,0.367320904646526,0.425238582307929,0.484582526092109,0.564899147669623,0.587160810521073,0.0620701136330113,0.0686310956848924,0.106829602267014,0.156849721057712,0.238595901834022,0.652675969861087,Inf,0.0884717625205763,0.10019014216136,0.142754472326486,0.183890761038766,0.23264717020298,0.322695231760127,0.361462636663309
CT,0.116777133220072,0.186230536887971,0.353913082821828,0.452084039862496,0.52743472383277,0.615295969609666,0.634312827612586,0,0,0,0.00750375920119404,0.0337959368316534,0.0900495612592586,0.17813589288354,0.0731044453135328,0.0878144840715428,0.149778077610763,0.205329798762523,0.284665624896079,0.402468108590442,0.434360953418447
DC,0.296663982382497,0.322676511699961,0.400263701709681,0.451540312460542,0.493149487497802,0.551041219487806,0.567261338709811,0.0793382163226185,0.0956989375350208,0.144752669554718,0.199560796543835,0.325686539382932,0.889542855438415,Inf,0.11186189123698,0.124778993609692,0.162885724220166,0.201895750673293,0.250062683936908,0.328916704405412,0.35475664211683
DE,0.434471192214446,0.464504153106465,0.54849571668407,0.596155470766094,0.640125815458849,0.693861849443482,0.706511704888929,0.0642186897867408,0.0767988841326598,0.128748019299496,0.178908206347038,0.297904520099363,Inf,Inf,0.173797494012404,0.18998226216676,0.256522118163611,0.321764757936061,0.39898079843802,0.506025216171228,0.529311057210408
FL,0.464084691493688,0.476830416839011,0.520298754359284,0.550861811519166,0.581061348345218,0.628531475653253,0.640382357905743,0,0,0.193132012472654,0.279963265594349,0.565251250806164,Inf,Inf,0.149549081925622,0.156169323437133,0.199178363827112,0.251858261169609,0.316857415609301,0.400291750643093,0.426497692702679
