Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	75.8007	5.9088	3.99448	2.35718	0.0857998	0.178003	0.651506	0.392443	17.1894	4.47266	0.141873	0.51497	8.92788	5.47278	33.4473	0.129146	65.6193	2.69486	39.2822	16.6118
1	9.40867	8.52073	3.36704	11.9071	3.53608	19.2549	0.00526137	97.2581	5.83049	6.70874	2.09648	0.119204	0.779437	0.624828	0.768312	14.1054	3.77581	0.235905	0.0522454	8.00106	6.23936	36.0459	0.319296	27.5151	37.8771	0.119667	9.40867
2	8681.55	11.3583	3.16858	10.9843	4.15183	7.45121	0.0153161	96.1876	9.9813	6.45169	2.06519	0.258866	0.604873	0.697023	0.581423	14.6708	4.21678	0.254668	0.533463	1.74133	1.12833	33.591	0.232528	57.1185	6.91676	0.233337	8681.55
3	1430.61	13.7836	3.81686	11.3168	3.91394	11.4245	0.0156148	86.289	8.52766	7.23617	1.99127	0.294381	0.33567	0.646043	0.340042	14.9315	3.83258	0.383542	0.128717	2.40367	3.41723	37.5795	0.354646	52.0845	1.468	0.104744	1430.61
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	79.3577	12.2546	4.19639	1.82775	0.216999	0.450219	0.657889	0.625012	17.3722	4.18792	0.382236	0.095745	5.64847	3.76343	43.3721	0.0389465	34.8803	0.381171	2.28416	939.812
5	2902.69	8.44398	2.475	16.2831	3.20711	11.6617	0.0224668	89.8327	9.69023	8.67495	2.39504	0.166591	0.496354	0.617152	0.273807	14.4296	4.60918	0.467446	0.2198	4.92997	3.52304	42.4456	0.32046	49.048	0.543418	0.657234	2902.69
6	172.026	12.3157	3.90408	12.2938	5.05117	10.1394	0.0355334	80.5184	6.57761	9.64608	1.73457	0.412347	0.259303	0.601899	0.566463	17.1047	3.87913	0.611144	0.818217	5.2336	3.23598	65.8746	0.482311	75.4632	0.790183	2.32358	172.026
7	1078.86	9.22736	3.53543	10.1332	3.69386	6.558	0.0106246	82.426	11.0185	4.57473	2.76111	0.173113	0.866219	0.727251	0.475526	12.7821	5.50077	0.313194	0.109757	7.89793	12.9004	36.0466	0.158036	50.6292	0.565277	27.7432	1078.86
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	64.3219	10.9331	4.72553	1.03374	0.37637	0.621589	0.744092	0.345639	17.6046	4.76706	0.385891	0.419848	5.78107	13.1206	67.2867	0.302268	40.4743	7.97468	0.980993	150.961
9	2834.51	14.4643	2.71449	11.5834	4.62509	13.0039	0.0152153	63.7784	9.29702	8.24261	1.2545	0.522469	0.625066	0.81622	0.50596	15.5588	4.28086	0.334897	0.653998	9.69301	6.72173	23.3934	0.286032	40.9805	0.270266	37.9044	2834.51
10	1320.24	7.35828	1.77797	14.6146	4.65076	17.3857	0.0197249	96.5047	10.9594	8.79854	1.20551	0.472736	0.267178	0.688801	0.321222	15.6753	5.17431	0.1049	0.5626	8.27549	3.02371	44.7212	0.240397	31.1716	2.59313	0.139662	1320.24
11	616.043	13.4746	2.32519	14.1173	5.2303	16.4928	0.00497705	91.7463	8.80154	6.65575	1.55269	0.326485	0.684659	0.621769	0.392297	16.8207	4.28621	0.120241	0.473066	2.27943	7.81965	43.3285	0.0913608	77.2014	13.029	1.39331	616.043
12	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	85.5508	10.1724	3.45708	1.8225	0.346102	0.598247	0.6891	0.518511	16.0926	4.62878	0.532433	0.124208	5.95947	8.75391	52.8759	0.15829	35.9915	0.652468	0.73134	1822.9
13	27.1269	8.89351	2.64428	8.87706	3.74899	9.4944	0.0129062	98.3781	8.0323	3.71852	1.41512	0.565764	0.921078	0.695723	0.199822	15.861	4.31569	0.466883	0.332156	11.0452	12.9896	53.1144	0.247395	27.2871	18.0752	9.40504	27.1269
14	475.174	8.33564	2.87602	16.7376	3.04451	7.52571	0.00482277	79.9305	2.48221	9.46224	1.87749	0.0447411	0.393609	0.726597	0.253129	15.181	4.03473	0.238944	0.155589	6.55147	4.49632	60.8332	0.193983	24.2385	7.34539	12.1626	475.174
15	2289.95	11.0022	2.1049	11.2136	4.71952	9.38154	0.00394387	73.5917	7.69331	3.53892	1.29979	0.325451	0.541876	0.662943	0.287756	12.2589	4.4612	0.535779	0.369485	5.3534	3.03717	61.4708	0.0500484	44.1027	1.39417	0.481979	2289.95
16	139.616	16.0882	3.80846	14.7346	4.30946	23.34	0.00528466	64.5933	8.86617	5.02462	1.30729	0.147822	0.175762	0.687772	0.090205	15.3993	5.00478	0.219443	0.566742	11.5105	6.79869	45.0857	0.0726533	44.0557	0.781811	4.80405	139.616
17	4180.36	15.0209	3.30467	9.77343	6.07291	16.2289	0.00493097	83.9125	9.27507	10.9462	2.09293	0.223068	0.574248	0.731887	0.0651263	17.571	4.50902	0.67796	0.080505	1.10231	5.40654	40.674	0.241582	31.3632	5.06934	1.71161	4180.36
18	4483.63	10.6773	4.25924	9.7484	5.59166	21.7845	0.0162853	101.299	10.1966	9.51318	1.34205	0.425277	0.711029	0.627981	0.417581	16.5792	4.8112	0.452089	0.144641	1.9208	1.72866	52.45	0.307924	42.0099	1.69905	0.129611	4483.63
19	9.01796	15.3582	3.93831	15.367	5.75731	19.376	0.0520905	76.1818	8.44965	5.02687	2.11717	0.193042	0.342453	0.65015	0.191737	16.2068	4.34602	0.434221	0.282099	2.52003	2.91261	40.26	0.191126	31.6954	23.2832	38.3383	9.01796
20	33.8093	20.4878	2.02115	18.0606	3.01286	7.91822	0.01079	81.4706	3.17778	11.1003	2.32594	0.309478	0.220434	0.716073	0.23856	19.5043	3.68628	0.106348	0.123042	5.12442	2.8392	53.0478	0.151862	66.0352	6.69211	2.24778	33.8093
21	28.4336	18.5505	3.83877	11.8441	3.75829	9.36215	0.00874581	62.6377	10.5651	11.1198	2.01551	0.13241	0.47808	0.600003	0.301318	16.727	4.1492	0.409582	0.199954	2.34424	9.64254	74.8315	0.278698	55.816	5.52339	0.18479	28.4336
22	13.5171	12.196	2.97498	18.2114	4.42595	8.21724	0.00766937	83.9992	7.00773	6.07211	2.61406	0.296603	0.115911	0.735392	0.0514405	17.9805	4.061	0.25451	0.899186	5.18771	3.69753	69.3127	0.0279149	61.3994	37.179	15.956	13.5171
23	75.3249	19.5992	3.76305	19.3453	4.4182	8.3935	0.00595093	70.7543	7.44567	6.12776	2.50279	0.343737	0.424271	0.79884	0.283758	13.8484	4.60452	0.119554	0.170094	7.5487	5.83003	52.5104	0.271771	45.5468	0.181671	9.18124	75.3249
24	94.9802	14.1857	3.41424	13.0334	4.72352	7.53352	0.0029857	91.3246	7.69109	8.08002	1.82461	0.530981	0.662525	0.682091	0.165184	14.473	4.20321	0.175763	0.48205	5.43424	12.5446	32.8966	0.232334	56.4055	0.597974	5.88883	94.9802
25	1251.49	17.1915	3.73145	19.0644	3.55771	12.7266	0.00501516	74.0494	12.083	8.57096	2.36422	0.386261	0.118704	0.803758	0.385784	14.7672	4.62274	0.362947	0.166384	4.50908	4.17126	45.9811	0.207188	57.2473	24.0812	2.34389	1251.49
26	3567.35	13.3031	2.65111	11.418	3.63309	19.0922	0.0121551	97.5979	9.39151	10.1954	1.60958	0.129422	0.69351	0.761361	0.394673	20.8264	4.96541	0.0794579	0.132641	6.45002	13.9814	39.9293	0.386867	42.772	21.4345	25.8058	3567.35
27	1301.71	12.8784	3.10495	16.2998	5.14711	11.3954	0.0139145	94.8969	8.44253	7.7122	1.57341	0.480439	0.633015	0.606788	0.412122	18.0722	4.53477	0.158181	0.271218	7.56769	4.01012	58.9249	0.209301	56.6163	18.7879	0.419632	1301.71
28	1403.35	8.52027	3.34638	16.4707	3.10199	6.59898	0.029005	71.5775	11.0988	6.5845	2.79988	0.503312	0.0421955	0.70564	0.515228	15.8711	4.62813	0.208742	0.151454	1.90496	5.25353	43.176	0.323146	72.6164	6.2792	18.0366	1403.35
29	4495.36	16.0601	2.92739	11.1812	5.27633	8.18993	0.0105626	86.3802	8.13774	5.02105	2.23523	0.1533	0.809997	0.726435	0.284094	16.0564	3.78027	0.102738	0.14092	3.05384	4.34163	31.8032	0.243638	68.9132	0.285709	18.1781	4495.36
30	3354.1	14.6821	3.23668	16.6951	4.93108	15.4539	0.0188829	73.2132	7.62143	11.0322	1.17865	0.18178	0.678572	0.693461	0.153416	17.3346	4.58243	0.189605	0.476308	8.1173	3.96892	45.1839	0.287264	44.0075	0.323438	11.8125	3354.1
31	1014.77	11.9132	2.5431	14.8671	4.05148	10.0653	0.0198385	90.1126	13.9182	9.05964	1.91412	0.535984	0.616466	0.630656	0.510493	14.6096	4.91628	0.660044	0.06471	2.02906	6.0238	43.9444	0.182214	54.439	2.39142	21.1084	1014.77
32	1645.1	20.4255	3.32465	8.33446	3.82249	10.0497	0.00726321	91.8228	3.88934	6.43882	2.44104	0.0706262	0.374956	0.772737	0.313643	14.0475	4.67299	0.415352	0.510307	8.12031	7.65815	40.7579	0.298133	68.3049	0.793166	0.175226	1645.1
33	745.142	11.2012	2.01204	17.6173	2.92972	11.5944	0.019687	97.3351	10.5661	6.01112	2.50058	0.244104	0.228806	0.719916	0.380697	18.3338	4.18945	0.570513	0.22071	12.0371	2.58903	52.5998	0.344976	95.9284	23.2612	0.799054	745.142
34	2243.52	17.4339	3.76169	14.6311	3.9788	7.10719	0.0250511	72.2674	5.53478	7.26976	1.93657	0.231505	0.519881	0.695202	0.530358	17.3493	4.03241	0.105245	0.0935141	3.56719	2.65302	47.4815	0.116916	32.5664	37.7417	35.3218	2243.52
35	339.522	7.7838	2.8758	15.0064	5.59012	8.42417	0.0159378	62.5912	12.0833	4.7221	1.1424	0.344937	0.605109	0.782357	0.0502332	19.5404	4.00664	0.388666	0.712871	4.82312	2.7536	47.87	0.492246	49.6564	13.7409	6.12664	339.522
36	5791.96	18.2464	2.77297	19.9315	4.24534	8.12018	0.00997306	82.6126	4.18871	7.3614	1.43665	0.260228	0.0958557	0.602297	0.59045	12.6452	4.65455	0.419361	0.25554	5.30276	4.48676	48.2723	0.33519	52.4078	5.31047	14.2184	5791.96
37	1155.09	12.1142	2.82474	10.5246	3.41391	7.60381	0.0185321	101.795	4.19781	5.98872	1.08167	0.274341	0.395917	0.654999	0.279044	14.7665	3.85658	0.537947	0.336208	5.6845	11.0187	54.3907	0.226581	46.6336	0.159453	14.5566	1155.09
38	90.081	11.5488	3.15377	12.8951	4.97022	12.6108	0.0124767	62.8842	8.46908	9.69953	2.31871	0.276802	0.329587	0.777627	0.57627	16.1357	5.15722	0.289967	0.213361	11.711	3.99327	32.2873	0.0495192	56.126	1.27985	0.483167	90.081
39	535.216	14.5	3.5507	10.7251	3.42163	8.54144	0.00433136	94.6552	7.33981	6.61279	1.89619	0.0560414	0.0861092	0.817279	0.512579	17.7059	4.2885	0.522328	0.644623	4.89738	3.43623	54.721	0.207019	58.8338	0.937427	16.615	535.216
40	493.4	20.9605	3.38095	8.37432	4.5036	6.87639	0.0191778	81.5246	9.75143	9.9555	2.26403	0.0671632	0.226136	0.784038	0.218574	16.7309	4.84125	0.228796	0.400278	10.7773	7.16719	29.0015	0.0516954	25.5662	1.49046	3.80065	493.4
41	93.5685	11.8248	2.56651	13.5982	3.86232	12.3362	0.00443026	93.6794	13.2999	11.4962	1.28716	0.243196	0.359801	0.610963	0.246167	17.206	4.41872	0.717385	0.123084	5.83702	7.41306	74.1387	0.16079	64.1986	0.474079	1.06389	93.5685
42	556.855	17.8603	1.80613	9.9912	3.90187	5.94264	0.014497	81.1867	5.27048	6.31521	1.41571	0.291406	0.662274	0.807897	0.260361	16.6969	4.74088	0.0321769	0.0746789	4.40532	7.93916	21.8214	0.149512	35.6566	34.3126	10.8265	556.855
43	1927.11	20.627	3.71456	19.5534	4.53269	7.36328	0.00754702	63.7798	6.27182	8.05304	2.72906	0.548674	0.79439	0.805097	0.305376	14.4595	4.93757	0.674731	0.282487	2.5386	3.43761	53.7122	0.25526	44.902	1.5028	8.74624	1927.11
44	40.7283	11.4201	3.1474	15.4827	3.77996	6.45033	0.0110853	97.5327	13.2965	11.6144	2.55426	0.132152	0.186717	0.648784	0.627663	13.3968	4.92358	0.0761091	0.284192	13.8032	7.28709	51.1889	0.417508	58.8175	1.372	0.593525	40.7283
45	7621.11	14.894	3.83204	11.35	3.46943	8.00313	0.0143446	62.5218	4.54751	6.26273	1.16557	0.511884	0.17698	0.684094	0.241125	17.1698	4.52514	0.633401	0.193977	10.4903	3.26436	22.165	0.253407	73.7321	27.5342	1.17374	7621.11
46	170.94	11.7953	2.53847	12.0222	2.68095	12.7927	0.0144695	87.6915	6.76729	6.54921	1.83915	0.296986	0.259855	0.728847	0.262984	17.5667	4.44312	0.0998985	0.175057	13.3797	4.51527	45.6341	0.181083	47.8622	2.85045	1.45339	170.94
47	551.126	14.8329	2.95679	8.45445	2.46887	7.88311	0.00218951	61.2192	8.5352	7.44519	1.22564	0.26041	0.472441	0.809765	0.291529	14.7393	4.98497	0.617712	0.169586	6.43488	4.92164	39.4313	0.00456465	47.8454	13.7258	3.80387	551.126
48	728.922	9.91184	3.01148	11.4185	2.93804	6.56277	0.016834	96.1366	8.12058	7.44406	1.76132	0.302071	0.874558	0.653988	0.360876	16.2263	4.2805	0.282498	0.136588	12.2598	4.33638	29.0273	0.0945078	50.5038	0.812766	3.0459	728.922
49	873.463	20.6443	3.57066	16.6301	3.35091	16.5935	0.0115977	95.4743	6.70116	8.00722	1.96023	0.497798	0.940936	0.847197	0.309768	17.2131	3.94901	0.0823862	0.0828929	1.99198	3.90157	38.0625	0.225586	41.8382	0.216548	0.961409	873.463
50	7288.32	11.8507	3.99321	10.8304	4.2513	12.1774	0.00958481	95.5665	7.25927	8.67842	1.2309	0.460624	0.314335	0.783024	0.028235	13.9968	4.49101	0.294755	0.521963	9.7832	8.00046	67.3668	0.0916814	18.3209	11.6071	0.565574	7288.32
51	241.617	9.07227	3.09097	7.61234	2.70716	13.2756	0.0123194	81.3703	6.1823	6.25735	2.10559	0.462033	0.801574	0.640664	0.605726	17.6961	4.71656	0.143583	0.255413	4.05765	7.92599	45.4071	0.168225	71.7781	1.92625	0.183673	241.617
52	1.98801	8.74985	2.71137	12.3834	6.56998	16.7891	0.0108284	81.5995	10.0095	8.74154	1.25515	0.174369	0.666	0.758101	0.525884	14.2707	4.64459	0.20372	0.0987535	5.61565	6.13158	55.1986	0.0322613	26.7452	19.1585	0.121343	1.98801
53	467.067	14.3295	1.90523	7.92865	2.75909	8.14584	0.00455676	63.6998	9.62286	5.99879	2.42759	0.258634	0.437341	0.844156	0.306537	19.398	4.61738	0.371981	0.175903	10.3244	3.02019	72.3485	0.0890622	64.0584	18.2436	9.87998	467.067
