"","GM_NInit.1.","GM_TIsolation.1.","GM_R0.1.","GM_c0.1.","GM_TLatent.1.","GM_TRecover.1.","GM_IFR.1.","GM_T50Testing.1.","GM_TauTesting.1.","GM_TTestingRate.1.","GM_TContactsTestingRate.1.","GM_FAsymp.1.","GM_TestingCoverage.1.","GM_TestSensitivity.1.","GM_ThetaMin.1.","GM_TauTheta.1.","GM_PwrTheta.1.","GM_HygienePwr.1.","GM_FracTraced.1.","GM_TPosTest.1.","GM_TFatalDeath.1.","GM_TauS.1.","GM_rMax.1.","GM_TauR.1.","alpha_Pos.1.","alpha_Death.1.","LnPrior","LnData","LnPosterior"
"Min.",69.6722,7.00183,2.13968,7.00531,2.00471,5.00058,0.00209828,72.4843,1.02742,2.03972,1.00003,0.0202715,0.000201714,0.600037,0.157048,11.6422,1.00117,0.00156571,0.0505441,1.0042,1.07089,21.0004,0.00250316,16.3054,5.6442,0.896673,-59.13959,-1291.108,-1340.043
"1st Qu.",421.267,9.9425675,2.9067475,10.836475,3.365805,5.90603,0.0068763375,80.02725,4.3245175,6.4270125,1.5121875,0.1935545,0.11256625,0.664724,0.390971,18.11775,3.4410325,0.19126475,0.21262175,3.3213825,4.2394375,24.0945,0.36916,38.955575,9.1441375,1.459995,-48.6824375,-1280.41725,-1326.726
"Median",830.1415,12.831,3.29082,13.4552,3.974595,6.89832,0.008841405,83.38595,7.132,8.055905,1.92723,0.317232,0.2659815,0.7187765,0.5837025,19.52645,4.278915,0.312402,0.284558,5.158495,6.29084,27.33555,0.522067,44.6526,10.06175,1.612965,-46.722685,-1278.1585,-1324.3035
"Mean",1344.95386819601,13.1948335533708,3.29467224094881,13.4903852137953,4.01714841292135,7.17986595037453,0.00907452170724095,89.7826926810237,8.03334632490637,7.95378938670412,1.94662638420724,0.310482573907615,0.315188786083645,0.726248288077403,0.570858111891386,19.4180131086142,4.29678389669164,0.322640427874532,0.285976255789638,5.86091746254682,6.69127649500624,29.3617798689139,0.514177316373283,45.1708294163546,10.1198380664794,1.63559905040574,-46.9459345146692,-1277.51544756554,-1324.46138171036
"3rd Qu.",1637.36,16.353,3.6296425,16.204675,4.620055,8.09232,0.0109855,102.659,12.10275,9.6830525,2.3662375,0.429444,0.4802645,0.777915,0.73610525,20.840375,5.1322775,0.43587525,0.35734775,7.8831875,9.14396,32.514,0.65722975,50.9053,11.0005,1.788595,-44.981575,-1274.662,-1322.049
"Max.",9993.42,20.9941,4.49946,20,6.99476,16.2326,0.02342,105.999,13.9992,11.999,2.99839,0.569716,0.982489,0.949976,0.998721,26.4882,8.70475,0.943195,0.57203,13.992,13.879,74.5234,1.17395,87.4302,15.3478,2.97864,-40.21268,-1263.754,-1313.528
"rhat.vec",1.14805095600021,1.00463627672297,1.33087920604364,1.00334415207198,1.00933631463654,1.07020946038669,1.13539059244995,1.90872861334813,1.6770038370934,1.00902422389357,1.00835506181309,1.0170288002775,1.1655813547447,1.01099801292106,1.88743002118253,1.04650174530373,1.00683663097017,1.01916244450542,1.05054131067984,1.07612005720337,1.47526832180766,1.10386790845514,1.08350361679178,1.04549021827998,1.00063911726123,1.04826266375659,1.1826662678912,1.42788085035958,1.13857762672517
