"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"log10ys","AR",  0.005108567, 0.03555450,-5.320265e-02,-4.846814e-02,-1.465334e-02, 1.153450e-02, 1.892138e-02, 5.787814e-02, 6.428075e-02
"thetamin","AR",  0.544618053, 0.27179588, 1.888405e-03, 5.531649e-02, 4.715846e-01, 6.161409e-01, 7.132322e-01, 8.314074e-01, 8.535532e-01
"tautheta","AR", 17.419568919, 1.86044482, 1.484814e+01, 1.502962e+01, 1.646118e+01, 1.723442e+01, 1.796328e+01, 2.054980e+01, 2.087623e+01
"ntheta","AR",  4.318342295, 1.17753009, 2.449871e+00, 2.585497e+00, 3.456419e+00, 4.418425e+00, 5.320832e+00, 5.706751e+00, 5.755356e+00
"taus","AR", 32.876372781,13.45088145, 1.938444e+01, 1.943043e+01, 1.969589e+01, 3.193450e+01, 4.014433e+01, 5.316285e+01, 5.397128e+01
"taur","AR", 39.852414157,20.77820604, 1.851112e+00, 6.179679e+00, 2.695109e+01, 4.364320e+01, 5.237090e+01, 6.394961e+01, 6.413038e+01
"rmax","AR",  0.572029410, 0.24733449, 1.741584e-01, 2.139163e-01, 4.145165e-01, 5.372734e-01, 8.102748e-01, 8.718371e-01, 8.840409e-01
"treopen","AR",110.295941699,12.22889829, 9.673725e+01, 9.679915e+01, 9.946825e+01, 1.102470e+02, 1.163463e+02, 1.288666e+02, 1.298565e+02
"log10ys","AZ", -0.025385435, 0.09417239,-2.534767e-01,-2.129811e-01,-1.689719e-02, 6.133606e-03, 1.612278e-02, 3.276561e-02, 3.310877e-02
"thetamin","AZ",  0.458308295, 0.26068532,-5.392273e-04, 3.152780e-02, 3.393067e-01, 5.369937e-01, 5.904955e-01, 7.854347e-01, 8.216371e-01
"tautheta","AZ", 18.759768038, 1.49283946, 1.641566e+01, 1.646306e+01, 1.819794e+01, 1.904133e+01, 1.973210e+01, 2.049598e+01, 2.062565e+01
"ntheta","AZ",  4.300128329, 1.80775915, 2.310038e+00, 2.366176e+00, 3.036566e+00, 3.732485e+00, 5.618011e+00, 7.160250e+00, 7.440740e+00
"taus","AZ", 34.350806858, 7.96698664, 2.363972e+01, 2.455749e+01, 2.949844e+01, 3.413653e+01, 3.633756e+01, 4.835703e+01, 5.056847e+01
"taur","AZ", 27.645623107, 7.20102151, 1.842519e+01, 1.895714e+01, 2.323760e+01, 2.567225e+01, 3.213048e+01, 3.842248e+01, 3.878471e+01
"rmax","AZ",  0.341536852, 0.12425239, 1.555937e-01, 1.699627e-01, 2.622163e-01, 3.282002e-01, 4.560792e-01, 4.916094e-01, 4.987232e-01
"treopen","AZ",113.110574897, 7.51751319, 1.035244e+02, 1.040258e+02, 1.072868e+02, 1.131779e+02, 1.162549e+02, 1.255094e+02, 1.269841e+02
"log10ys","CA",  0.020651286, 0.07186672,-2.487358e-02,-2.479113e-02,-1.163136e-02,-1.858424e-03, 1.299660e-02, 1.639293e-01, 1.942471e-01
"thetamin","CA",  0.388472422, 0.27077410,-4.287277e-03,-3.778843e-03, 2.592437e-01, 4.612432e-01, 5.154390e-01, 7.383886e-01, 7.724816e-01
"tautheta","CA", 17.297652416, 1.13624260, 1.501845e+01, 1.527502e+01, 1.684631e+01, 1.755762e+01, 1.810109e+01, 1.839809e+01, 1.839911e+01
"ntheta","CA",  3.850825727, 0.72977744, 2.680134e+00, 2.772084e+00, 3.296688e+00, 3.998963e+00, 4.325007e+00, 4.801685e+00, 4.882681e+00
