"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"log10ys","AK", -0.303427861, 0.87977439,-2.479996e+00,-2.050573e+00,-1.654787e-02, 3.102847e-03, 1.341813e-02, 4.491813e-02, 4.813379e-02
"thetamin","AK",  0.438644122, 0.25047135, 1.897177e-03, 2.970740e-02, 3.957133e-01, 4.953649e-01, 5.280772e-01, 7.713247e-01, 8.216987e-01
"tautheta","AK", 19.545734741, 2.02308152, 1.588513e+01, 1.633781e+01, 1.867838e+01, 1.922933e+01, 2.129282e+01, 2.203602e+01, 2.218262e+01
"ntheta","AK",  4.227687855, 1.42297656, 1.856192e+00, 2.053270e+00, 3.209317e+00, 4.473075e+00, 5.239582e+00, 6.002596e+00, 6.113942e+00
"taus","AK", 25.719785315,14.68857291, 3.083820e+00, 5.525544e+00, 1.778025e+01, 2.624235e+01, 2.936674e+01, 5.030665e+01, 5.398164e+01
"taur","AK", 46.097277528,13.76577620, 2.451295e+01, 2.604999e+01, 3.852052e+01, 4.574192e+01, 5.564849e+01, 6.399546e+01, 6.475785e+01
"rmax","AK",  0.782070233, 0.39496696, 3.673206e-01, 3.859122e-01, 6.125724e-01, 7.104902e-01, 8.057322e-01, 1.531617e+00, 1.667517e+00
"treopen","AK",105.265520057,12.96468999, 8.526644e+01, 8.710697e+01, 9.847573e+01, 1.063967e+02, 1.085538e+02, 1.266445e+02, 1.298668e+02
"log10ys","AL",  0.040811792, 0.11128100,-5.894817e-02,-5.131753e-02,-3.953446e-04, 9.008403e-03, 3.419441e-02, 2.592370e-01, 3.056571e-01
"thetamin","AL",  0.515137764, 0.26649490,-3.715221e-04, 4.798088e-02, 4.168106e-01, 5.906852e-01, 6.702661e-01, 8.135088e-01, 8.364372e-01
"tautheta","AL", 19.205421810, 2.23628559, 1.586443e+01, 1.603502e+01, 1.803368e+01, 1.913173e+01, 2.061479e+01, 2.233541e+01, 2.255364e+01
"ntheta","AL",  5.547648504, 1.39065129, 4.267093e+00, 4.267096e+00, 4.417908e+00, 5.097193e+00, 6.434281e+00, 7.866046e+00, 8.101570e+00
"taus","AL", 32.682773871,11.17691258, 2.091067e+01, 2.118409e+01, 2.438731e+01, 3.022362e+01, 3.808154e+01, 4.968450e+01, 5.014045e+01
"taur","AL", 30.213450707,15.58107929, 3.786080e+00, 6.101809e+00, 2.177802e+01, 3.075256e+01, 4.200017e+01, 4.870424e+01, 4.923661e+01
"rmax","AL",  0.630427175, 0.20214843, 2.958130e-01, 3.185821e-01, 5.396289e-01, 6.376791e-01, 7.645608e-01, 8.799347e-01, 8.879517e-01
"treopen","AL",111.888195681, 9.63464031, 1.009049e+02, 1.013528e+02, 1.044020e+02, 1.097029e+02, 1.180276e+02, 1.263531e+02, 1.269797e+02
"log10ys","AR",  0.005151951, 0.03556657,-5.320094e-02,-4.846677e-02,-1.465914e-02, 1.169173e-02, 1.895056e-02, 5.787792e-02, 6.428040e-02
"thetamin","AR",  0.543825760, 0.27124297, 1.897177e-03, 5.531624e-02, 4.717360e-01, 6.155342e-01, 7.119160e-01, 8.304445e-01, 8.534989e-01
"tautheta","AR", 17.457905522, 1.85061135, 1.484855e+01, 1.502995e+01, 1.666644e+01, 1.723630e+01, 1.796890e+01, 2.055557e+01, 2.087651e+01
"ntheta","AR",  4.305245389, 1.19617542, 2.368957e+00, 2.518721e+00, 3.454464e+00, 4.405866e+00, 5.320375e+00, 5.710489e+00, 5.759874e+00
"taus","AR", 33.059445099,13.78988722, 1.939331e+01, 1.943839e+01, 1.974006e+01, 3.076989e+01, 4.294803e+01, 5.316483e+01, 5.398164e+01
"taur","AR", 37.951707545,21.61413062, 2.049123e+00, 5.585275e+00, 2.419091e+01, 4.037789e+01, 4.787132e+01, 6.685717e+01, 6.757582e+01
"rmax","AR",  0.554187602, 0.21045709, 2.121609e-01, 2.393138e-01, 4.257059e-01, 5.495865e-01, 7.272593e-01, 8.127262e-01, 8.195134e-01
"treopen","AR",110.517350621,12.52885186, 9.667585e+01, 9.677063e+01, 9.950673e+01, 1.090967e+02, 1.193553e+02, 1.288686e+02, 1.298668e+02
"log10ys","AZ", -0.025370245, 0.09417496,-2.534697e-01,-2.129754e-01,-1.686008e-02, 6.132745e-03, 1.616314e-02, 3.277067e-02, 3.311153e-02
"thetamin","AZ",  0.458114596, 0.26068897,-5.213538e-04, 3.153094e-02, 3.387470e-01, 5.366190e-01, 5.904596e-01, 7.854511e-01, 8.216568e-01
"tautheta","AZ", 18.764064368, 1.49478899, 1.641558e+01, 1.646321e+01, 1.819897e+01, 1.904616e+01, 1.974627e+01, 2.049693e+01, 2.062563e+01
"ntheta","AZ",  4.295954422, 1.80601858, 2.309573e+00, 2.364668e+00, 3.032630e+00, 3.732926e+00, 5.611059e+00, 7.156440e+00, 7.440971e+00
"taus","AZ", 33.934470871, 7.86315979, 2.384078e+01, 2.458306e+01, 2.918496e+01, 3.386900e+01, 3.515264e+01, 4.797167e+01, 5.010006e+01
"taur","AZ", 32.721589442, 8.05171192, 2.141607e+01, 2.164424e+01, 2.791603e+01, 3.276448e+01, 3.904967e+01, 4.322199e+01, 4.398880e+01
"rmax","AZ",  0.385819998, 0.12746010, 2.142011e-01, 2.201761e-01, 2.822521e-01, 3.886286e-01, 5.044360e-01, 5.301014e-01, 5.314458e-01
"treopen","AZ",112.698535239, 7.40058406, 1.037310e+02, 1.041701e+02, 1.066489e+02, 1.131519e+02, 1.147277e+02, 1.251240e+02, 1.265156e+02
"log10ys","CA",  0.020713642, 0.07180716,-2.487355e-02,-2.474163e-02,-1.157284e-02,-1.871142e-03, 1.308606e-02, 1.639057e-01, 1.941406e-01
"thetamin","CA",  0.388131267, 0.27029213,-1.647989e-03,-1.601492e-03, 2.563217e-01, 4.613298e-01, 5.138512e-01, 7.386937e-01, 7.728038e-01
"tautheta","CA", 17.305678338, 1.14586455, 1.501846e+01, 1.527164e+01, 1.683986e+01, 1.757900e+01, 1.809093e+01, 1.844511e+01, 1.845636e+01
"ntheta","CA",  3.837242023, 0.72300859, 2.692598e+00, 2.782609e+00, 3.299783e+00, 3.963009e+00, 4.283756e+00, 4.801869e+00, 4.882670e+00
"taus","CA", 29.356309518,23.80368185,-1.675534e+01,-9.953458e+00, 2.213586e+01, 2.858137e+01, 3.978941e+01, 6.248027e+01, 6.574669e+01
"taur","CA", 50.147324373,20.05695647, 2.598486e+01, 2.606998e+01, 3.583561e+01, 4.968205e+01, 6.385458e+01, 7.852288e+01, 8.114070e+01
"rmax","CA",  0.325365018, 0.07702513, 2.233979e-01, 2.324812e-01, 2.773139e-01, 3.151342e-01, 3.560643e-01, 4.587208e-01, 4.789369e-01
"treopen","CA",106.661987856,23.66104453, 5.970988e+01, 6.660461e+01, 9.985443e+01, 1.065248e+02, 1.176510e+02, 1.381004e+02, 1.407651e+02
"log10ys","CO", -0.040473142, 0.13572405,-3.737790e-01,-3.130618e-01,-6.191276e-03, 7.554073e-03, 1.266487e-02, 3.033215e-02, 3.332680e-02
"thetamin","CO",  0.399896010, 0.23666673,-6.939665e-04, 2.887202e-02, 2.987587e-01, 4.396393e-01, 5.102455e-01, 7.351365e-01, 7.796967e-01
"tautheta","CO", 17.576899563, 1.46807330, 1.537931e+01, 1.538876e+01, 1.686555e+01, 1.792873e+01, 1.862555e+01, 1.915081e+01, 1.922079e+01
