Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.520886	20.6246	3.92823	0.50281	0.231006	9.06954	8.8852	28.0246	0.526008	47.274	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.484064	21.7955	5.82226	0.136359	0.37813	7.15465	2.77081	25.488	0.332668	28.3812	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.270393	19.4548	3.92577	0.524034	0.277744	6.85205	8.12573	34.4041	0.636807	23.5108	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.416908	21.2503	5.75565	0.198644	0.13848	10.2742	9.96297	34.2517	0.306186	42.3086	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.0742183	17.362	3.60362	0.441853	0.170077	3.66117	2.28453	61.0334	0.459852	57.447	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.147035	19.8879	3.71054	0.599002	0.3503	13.033	10.3079	44.6648	0.542739	65.5463	12.2988	17.2965	5105.93
6	148.428	13.5836	2.87794	9.60343	3.57876	7.52027	0.00879199	74.8268	4.0284	6.12495	1.98755	0.305843	0.623559	0.798545	18.825	4.48547	0.422443	0.460089	6.33437	1.76629	20.8088	0.460226	23.0902	4.24766	17.4799	148.428
7	3717.8	8.67197	2.07638	10.4605	5.15814	19.8234	0.0231346	87.159	5.00471	5.56267	2.64386	0.516371	0.727415	0.46168	20.2759	5.72441	0.696876	0.565742	2.91334	7.47599	34.8241	0.265739	25.1803	5.07228	18.83	3717.8
8	859.508	10.3947	2.08484	13.5739	3.89121	9.94347	0.0206291	110.556	5.74644	6.87515	1.93967	0.604187	0.727251	0.697559	17.0748	5.91704	0.573719	0.282069	12.9004	4.15634	27.7539	0.492596	26.0131	7.78327	36.2556	859.508
9	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	93.7764	6.74674	6.05476	2.53972	0.621516	0.712324	0.533855	18.4517	6.04396	0.809036	0.376036	12.9485	5.72393	57.0629	0.268249	62.0596	8.99581	25.9377	297.646
