Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.44763	17.0313	4.31154	0.349452	0.16471	4.67467	6.85137	37.3509	0.330798	55.2736	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.415535	15.2212	3.53818	0.190331	0.125386	2.76861	2.86709	25.8333	0.114982	57.975	2.14616	0.875481	116.788
2	682.408	9.96419	2.31337	17.693	4.34434	7.30107	0.0092755	140.188	10.8415	8.84514	2.56389	0.547946	0.418255	0.605499	0.275672	16.8466	3.73322	0.420458	0.230808	3.58255	6.07915	42.2983	0.711754	50.6914	21.771	4.02549	682.408
3	1260.55	15.251	3.3318	15.5461	4.07872	6.21734	0.00990051	119.865	15.1767	6.3756	2.91581	0.408671	0.792948	0.727731	0.355527	16.7964	3.7929	0.541171	0.694389	7.79006	6.09323	36.0134	0.542336	54.9887	0.147824	1.12572	1260.55
4	4309.16	8.53286	1.52616	8.38981	5.7631	9.41888	0.016644	99.7273	30.913	9.40721	1.86717	0.483687	0.400297	0.635124	0.210253	19.6085	3.72043	0.294634	0.140165	4.73968	9.8084	33.9078	0.490144	60.6859	3.77252	4.6474	4309.16
5	3481.57	15.1026	2.10704	16.6682	4.40493	5.09423	0.0219764	118.536	39.1059	4.51455	2.2069	0.26839	0.858747	0.697172	0.685283	17.1701	3.0827	0.332824	0.113702	6.34715	7.16766	52.4614	0.699238	55.3048	1.35841	0.90302	3481.57
6	171.103	14.8669	2.78678	12.9302	3.53921	12.8526	0.00528185	101.548	37.2139	10.6302	1.50588	0.472062	0.594615	0.69053	0.630077	18.9438	4.31999	0.24767	0.0542206	2.20684	7.57937	23.3829	0.397811	56.6745	0.206013	1.73351	171.103
7	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	68.3552	15.1501	6.87515	1.93967	0.245616	0.447232	0.752094	0.130383	18.7864	3.0889	0.369044	0.167274	7.35128	3.96197	38.8043	0.522649	63.4976	0.354495	39.0199	111.803
8	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	63.5655	22.7623	8.82275	1.1712	0.375937	0.809036	0.712324	0.620078	16.7703	5.35324	0.415483	0.0931046	2.52839	4.0162	38.4006	0.657533	62.7733	12.0746	0.144763	297.646
9	203.055	15.0514	3.19619	9.12849	4.0843	14.1489	0.00881927	74.7593	17.3825	10.4866	1.49338	0.0205589	0.789229	0.803178	0.774655	17.4209	5.23805	0.334292	0.738601	2.21148	12.568	31.8983	0.567873	57.0171	3.98365	1.08885	203.055
10	373.792	18.6613	3.96393	17.9001	4.53195	16.6484	0.00792448	153.952	24.1842	5.52067	1.49477	0.255987	0.775738	0.679512	0.543458	17.3229	5.26246	0.451831	0.109326	7.67083	7.74274	42.3245	0.724851	63.3599	1.19846	29.1697	373.792
11	1849.54	12.9113	1.5264	10.8196	3.21769	12.311	0.0124619	169.791	17.0372	4.54212	1.63457	0.395264	0.285169	0.83129	0.299455	17.7548	3.95357	0.379504	0.205905	3.25462	8.63804	46.1872	0.33896	51.9254	1.82781	29.661	1849.54
