Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	6964.61	17.1707	3.39999	8.65269	3.88255	8.72318	0.00668997	142.322	21.9221	11.6441	2.11073	0.247445	0.471241	0.614337	0.29695	18.1853	6.60322	0.265352	0.241715	8.42983	13.3491	34.1564	0.763812	50.4587	0.0582387	0.257563	0.114637	0.0248624	0.291054	0.182715	0.0450455	18.1853	34.1564	0.763812	50.4587	0.732062	0.144015	0.00437553	0.00127295	0.00606319	0.000550318	0.00230655	0.0973503	0.00992679	0.000401114	0.29695	0.724562	0.228034	0.0234553	0.274581	0.172374	0.00289929	7.21589	0.0326383	1.38323	1.01261	1486.72	28.2812	0.011466	0.000317777
11	1085.63	7.70866	3.21586	14.8937	3.57789	6.31937	0.00653176	177.335	32.1995	6.27962	1.72169	0.340953	0.754853	0.699868	0.369516	21.8315	8.95592	0.154638	0.318443	3.89167	13.0532	45.7153	0.640441	53.955	0.129724	0.279494	0.158244	0.0841289	0.406501	0.174324	0.0341681	21.8315	45.7153	0.640441	53.955	0.743026	0.119532	0.00663328	0.00180598	0.00559943	0.000812825	0.00307413	0.10089	0.0136133	0.00039876	0.369516	0.857314	0.221623	0.0585501	0.282907	0.121322	0.00288079	11.5174	0.0292928	1.36412	1.01358	2847.37	30.867	0.0158418	0.000296545
12	1196.94	14.1839	3.18577	7.88781	3.41784	7.23136	0.00638547	158.996	39.4524	3.85331	2.20737	0.277546	0.47255	0.650643	0.483715	21.7053	9.33612	0.518633	0.110379	2.39546	10.6494	40.6423	0.765592	56.0893	0.0705025	0.292582	0.138287	0.0797915	0.294759	0.158268	0.0558519	21.7053	40.6423	0.765592	56.0893	0.837728	0.0498229	0.00687526	0.000613479	0.00677854	0.000359443	0.00292132	0.0780325	0.012883	0.000355115	0.483715	0.686148	0.0836464	0.0604669	0.223372	0.119938	0.00270186	6.93322	0.0383227	1.37367	1.15077	2441.92	29.2619	0.0152053	0.000281318
13	2080.03	9.6508	3.66686	12.8021	2.74577	9.14956	0.00970939	152.246	30.1974	7.30744	1.5715	0.480992	0.525945	0.824844	0.348562	21.0889	2.25504	0.41339	0.163537	5.99995	11.7662	37.7137	0.876675	52.1122	0.103618	0.364197	0.109295	0.0593672	0.524877	0.111458	0.0313049	21.0889	37.7137	0.876675	52.1122	0.720885	0.151606	0.00646951	0.00102344	0.00714106	0.000351879	0.0037667	0.0873092	0.0109958	0.000397696	0.348562	0.64682	0.138571	0.050304	0.444747	0.0944422	0.00282153	11.7736	0.0202486	1.57162	1.13295	2499.32	37.7039	0.013124	0.000289596
14	1171.29	9.85367	3.45985	15.4295	5.08025	10.4356	0.0167732	102.671	30.4477	8.07353	2.35643	0.177086	0.670269	0.819677	0.326379	24.1009	2.7372	0.0743786	0.168106	3.55635	8.21117	36.8	0.869682	27.5897	0.101485	0.196841	0.0958258	0.06805	0.347847	0.0765238	0.0214876	24.1009	36.8	0.869682	27.5897	0.826399	0.113492	0.00689528	0.00132643	0.00594809	0.000493751	0.00424875	0.027456	0.0112129	0.000450125	0.326379	0.920092	0.162285	0.0656939	0.335803	0.0738742	0.00351734	14.075	0.0197706	1.61845	1.33749	2679.55	58.2169	0.0145921	0.000342514
15	1736.54	8.18169	3.52541	10.2781	4.5716	8.95503	0.00638985	151.031	41.057	9.53218	1.75601	0.128083	0.440416	0.797272	0.446925	19.9076	6.75541	0.488128	0.177552	3.2158	10.6224	36.5391	0.626297	47.5147	0.122224	0.218742	0.111669	0.0368364	0.454025	0.115448	0.0383027	19.9076	36.5391	0.626297	47.5147	0.851567	0.0603305	0.00606798	0.00095418	0.00760953	0.000396732	0.00266782	0.0586317	0.0102325	0.000315204	0.446925	0.674947	0.139231	0.028886	0.356032	0.0905309	0.00253467	8.15376	0.0258523	1.33369	1.13572	1815.35	26.9678	0.0125279	0.000250042
16	2580.62	9.90728	3.6743	13.6297	2.60208	11.6389	0.00745194	147.339	39.5759	6.59709	2.33103	0.407853	0.145237	0.77439	0.329811	22.3266	8.3666	0.1706	0.284739	2.65419	10.0404	48.1967	0.931119	51.1152	0.100936	0.384308	0.0859188	0.0170484	0.332209	0.0967855	0.023162	22.3266	48.1967	0.931119	51.1152	0.518551	0.321802	0.00616788	0.00180918	0.0132579	0.00118788	0.0046044	0.108402	0.0112209	0.000407383	0.329811	0.827592	0.229832	0.0137609	0.268148	0.0781221	0.00231266	13.0005	0.0191687	2.05122	1.06366	2559.98	41.2403	0.0157562	0.000311039
17	5308.55	9.56375	3.73395	15.1291	6.12435	9.55933	0.00684743	161.409	37.7784	11.3874	2.59257	0.363863	0.446077	0.628513	0.26257	23.9222	6.41805	0.184677	0.428443	3.21723	11.0522	34.6634	0.874306	54.658	0.104561	0.163283	0.10461	0.0246207	0.242429	0.143289	0.0258183	23.9222	34.6634	0.874306	54.658	0.613016	0.251218	0.00768762	0.00345628	0.00642447	0.0012221	0.00278023	0.0989699	0.00992439	0.000353223	0.26257	0.781174	0.323627	0.0185974	0.18312	0.108234	0.00239848	13.7268	0.0201686	1.61814	0.991946	1762.74	26.8559	0.0126788	0.00028515
18	474.069	7.44498	3.80111	9.15258	2.59248	6.08519	0.0115441	136.081	24.0454	7.18141	1.51196	0.493254	0.542438	0.639454	0.364633	19.5139	10.1082	0.351676	0.444659	4.91377	12.8875	44.253	0.967694	50.5625	0.134319	0.385731	0.164333	0.0483003	0.422931	0.238463	0.0682484	19.5139	44.253	0.967694	50.5625	0.782831	0.109818	0.00287763	0.00205844	0.0025908	0.000636869	0.0020175	0.0807815	0.0106734	0.000448027	0.364633	0.701318	0.419754	0.0455951	0.399243	0.225107	0.00495457	8.96471	0.0478639	1.34831	1.0555	1890.3	38.4658	0.0125741	0.000333049
19	2696.11	16.3479	3.70958	17.2717	3.68737	11.968	0.0140318	171.855	35.7517	7.31085	1.70085	0.176024	0.467605	0.771061	0.241769	20.8095	4.69874	0.169489	0.439825	6.62669	13.3404	32.902	0.738683	41.7257	0.0611699	0.271196	0.0835561	0.0493174	0.453339	0.134603	0.017946	20.8095	32.902	0.738683	41.7257	0.731398	0.212645	0.00180034	0.00078144	0.00366234	0.000424802	0.00275026	0.0372156	0.00796591	0.0003996	0.241769	0.786128	0.312614	0.0350532	0.322219	0.0956713	0.0027256	13.8495	0.0141079	1.21596	0.889351	1393.73	30.8143	0.0102689	0.00030502
