Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	3121.2	9.27046	2.51942	12.7845	3.03366	10.44	0.00993179	104.672	10.0189	10.3513	1.73442	0.36654	0.60256	0.684257	0.279543	19.252	4.45135	0.150258	0.123012	2.36979	6.75507	33.9789	1.05003	39.4021	0.10787	0.329635	0.0957854	0.0398313	0.394516	0.182045	0.0188763	19.252	33.9789	1.05003	39.4021	0.929323	0.0414585	0.00183045	0.000256731	0.00224904	8.78956e-05	0.000925785	0.0197756	0.00279358	0.000106285	0.279543	0.825704	0.123006	0.0398293	0.394497	0.182036	0.00286711	13.2453	0.0155862	1.53851	1.42978	494.229	8.77076	0.00362112	9.03932e-05
11	1757.16	19.6101	3.27699	12.0058	3.84629	6.70654	0.00612321	97.2989	10.7302	2.95512	1.81975	0.55152	0.0393643	0.867613	0.29826	18.2233	5.38683	0.263659	0.267205	4.50735	9.01802	32.6285	0.786737	45.0347	0.0509941	0.259991	0.149108	0.0115572	0.476776	0.0727501	0.0406992	18.2233	32.6285	0.786737	45.0347	0.863851	0.090293	0.00200792	0.000732092	0.00127608	0.000149484	0.000488488	0.0362405	0.00301459	7.95229e-05	0.29826	0.726896	0.267192	0.0115567	0.476753	0.0727466	0.00327944	10.2091	0.0295841	1.43645	1.24088	356.52	5.38679	0.00351968	6.65874e-05
12	107.39	13.9504	3.30933	16.7906	2.58841	6.46767	0.0136834	90.795	12.9974	9.71756	1.54788	0.165436	0.947092	0.798704	0.441211	17.2736	4.653	0.148873	0.339185	6.73858	2.30322	31.7016	0.948817	54.0446	0.0716825	0.386338	0.154615	0.0778432	0.515999	0.130046	0.0304738	17.2736	31.7016	0.948817	54.0446	0.948	0.0400963	0.000559878	0.000287288	0.000670494	0.000135797	0.000621071	0.00622296	0.00305509	9.45637e-05	0.441211	0.885314	0.339129	0.0778304	0.515914	0.130025	0.0044218	16.3104	0.0269789	1.35526	1.28479	466.271	10.6045	0.0034604	8.84666e-05
13	2308.86	19.0656	2.25872	14.008	4.0146	7.02044	0.0124827	104.928	10.6256	9.59149	1.45506	0.242529	0.887661	0.878086	0.302744	17.1306	3.08546	0.0525073	0.135709	1.53805	10.8301	30.2756	1.0077	40.1584	0.0524505	0.249091	0.142441	0.081264	0.603471	0.0837862	0.0229679	17.1306	30.2756	1.0077	40.1584	0.959828	0.0237585	0.000981566	0.000154099	0.00073383	4.06319e-05	0.000478369	0.0114582	0.00260644	0.000107146	0.302744	0.939188	0.135697	0.0812567	0.603417	0.0837788	0.00422718	14.0832	0.0215712	1.33616	1.28248	343.334	6.17981	0.00309578	8.84328e-05
14	1002.65	11.7434	3.61564	9.83849	4.91208	8.61625	0.00713897	99.0374	10.661	4.63995	1.68752	0.145298	0.204158	0.736778	0.290375	16.2019	4.2173	0.168578	0.183184	4.57523	6.00109	50.9619	0.656661	16.6786	0.0851542	0.20358	0.11606	0.0324183	0.436604	0.155982	0.0426519	16.2019	50.9619	0.656661	16.6786	0.953695	0.0238243	0.00189337	0.000424574	0.00183101	0.000118479	0.00073686	0.0141072	0.00305964	8.24611e-05	0.290375	0.811833	0.183174	0.0324165	0.436581	0.155973	0.00270629	7.44142	0.0346262	1.47506	1.40676	434.726	6.93188	0.00362648	7.16042e-05
15	3042.97	18.7234	2.56024	10.7938	4.44464	5.54734	0.00524429	96.5555	12.4656	9.56318	1.81968	0.554076	0.212319	0.768411	0.435747	16.889	2.90052	0.314161	0.230169	5.90651	5.32413	45.8137	0.971086	30.0897	0.0534091	0.22499	0.180267	0.01706	0.422278	0.127269	0.0427584	16.889	45.8137	0.971086	30.0897	0.869098	0.0808857	0.0029388	0.000878358	0.001328	0.000153756	0.000417084	0.0396284	0.00299394	7.95325e-05	0.435747	0.770303	0.230127	0.017057	0.422202	0.127246	0.00396986	10.6177	0.0329369	1.43597	1.248	355.85	6.05969	0.00336653	7.13111e-05
16	1597	10.1667	3.16426	7.03517	5.72098	8.71677	0.0071198	105.958	12.8918	9.38361	1.39457	0.359756	0.639284	0.633374	0.2904	20.3805	5.09302	0.260378	0.174531	1.6744	5.22414	33.9368	0.982597	45.2293	0.0983603	0.174795	0.114721	0.0431503	0.454172	0.262895	0.0515991	20.3805	33.9368	0.982597	45.2293	0.952377	0.0213944	0.00248875	0.000525696	0.00146109	7.85389e-05	0.000655058	0.0173762	0.00266683	7.20366e-05	0.2904	0.72473	0.174444	0.0431289	0.453945	0.262765	0.00248317	6.94829	0.0373954	1.54272	1.46925	401	5.75501	0.00328396	6.42579e-05
17	1992.69	7.87182	3.77996	13.2837	3.63668	9.10891	0.00866792	104.827	9.17966	5.85858	1.5828	0.30049	0.281796	0.840333	0.12387	18.6873	5.54531	0.21636	0.212343	2.96539	8.38374	21.6429	0.900413	52.0392	0.127035	0.274976	0.109783	0.0404198	0.530915	0.100876	0.0312393	18.6873	21.6429	0.900413	52.0392	0.943183	0.0292735	0.00112549	0.000303405	0.00121884	8.86011e-05	0.00068652	0.0206134	0.00302336	9.69518e-05	0.12387	0.636435	0.212339	0.040419	0.530905	0.100874	0.00249286	12.1247	0.0198818	1.40398	1.32421	389.901	5.68764	0.00366708	8.41954e-05
18	983.908	7.41207	3.46194	9.9915	3.77193	9.00413	0.00639884	105.024	13.3017	2.91345	2.95545	0.147049	0.133728	0.7747	0.331382	18.4383	4.14129	0.447736	0.096281	3.91875	4.68647	33.1606	0.858803	34.694	0.134915	0.265116	0.11106	0.0355589	0.262126	0.076232	0.0384811	18.4383	33.1606	0.858803	34.694	0.963501	0.0127583	0.0015996	0.00017027	0.00207745	0.000105355	0.000716006	0.0157582	0.00296925	8.04823e-05	0.331382	0.609865	0.0962245	0.035538	0.261972	0.0761873	0.0024741	9.04823	0.0234683	1.37071	1.32068	395.891	6.54533	0.00349265	7.27297e-05
19	354.322	15.5543	3.60099	10.8912	3.61649	7.47496	0.0105569	103.731	12.2365	5.63466	1.3263	0.463444	0.446101	0.892925	0.269665	20.5255	3.73863	0.145519	0.156227	1.0358	6.14079	30.8961	0.569614	46.8509	0.0642909	0.276511	0.13378	0.0706937	0.673245	0.0807321	0.0442321	20.5255	30.8961	0.569614	46.8509	0.952503	0.0242254	0.00155561	0.000287897	0.000977419	5.44117e-05	0.000623445	0.015402	0.00294244	8.71236e-05	0.269665	0.826369	0.156184	0.0706741	0.673059	0.0807098	0.00335793	7.46781	0.036552	1.40239	1.33578	436.036	7.21925	0.00357955	7.54882e-05
20	862.376	11.3912	3.35231	11.1898	4.16674	8.72472	0.00933555	88.9017	8.88234	6.58307	1.68824	0.420645	0.275283	0.659401	0.325095	20.2536	2.85568	0.179702	0.475708	5.39803	3.01089	29.9844	1.17937	44.2858	0.0877871	0.239996	0.114617	0.027574	0.390585	0.201748	0.0343376	20.2536	29.9844	1.17937	44.2858	0.924632	0.0556147	0.000756445	0.000686343	0.000627419	0.000154664	0.00054237	0.0132683	0.00281354	7.04737e-05	0.325095	0.81716	0.475707	0.027574	0.390584	0.201747	0.00263538	12.5444	0.0280594	1.42921	1.32149	318.252	5.57144	0.00333941	6.63507e-05
