Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.442723	17.7705	3.54985	0.50281	0.231006	9.06954	8.8852	21.9525	0.347591	54.7508	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.403888	18.3663	2.78269	0.93024	0.0686265	9.67913	7.15465	18.1556	0.248343	35.9516	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.178531	17.1752	3.54853	0.524034	0.277744	6.85205	8.12573	31.5017	0.404468	31.1053	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.333059	18.0889	4.52854	0.198644	0.13848	10.2742	9.96297	31.2737	0.234749	49.81	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.108678	16.562	3.95154	0.521736	0.0815904	2.16603	3.69434	25.8858	0.381595	32.3287	37.1262	29.0473	383.748
5	379.906	16.5196	1.67619	10.9163	3.73392	15.9684	0.0034349	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.0484273	17.3956	3.43327	0.599002	0.3503	13.033	10.3079	5.20449	0.38149	58.239	19.1056	23.0427	379.906
6	21.7039	11.963	2.25378	12.8586	2.85951	11.5374	0.00240016	69.6206	5.73628	4.89144	1.12701	0.301893	0.670832	0.701248	17.2767	3.13812	0.480111	0.113702	7.16766	12.8825	25.9691	0.250582	34.6885	19.3945	10.7856	21.7039
7	715.882	7.20354	3.38278	8.39557	2.94408	8.13888	0.0223169	140.629	10.6302	6.7159	1.50588	0.403873	0.751046	0.4101	17.6153	3.81933	0.390284	0.298296	1.68865	10.4034	31.6588	0.333834	32.7665	5.07228	18.83	715.882
8	859.508	10.3947	2.08484	13.5739	3.89121	9.94347	0.0206291	110.556	5.74644	6.87515	1.93967	0.604187	0.727251	0.629059	15.9642	4.61497	0.573719	0.282069	12.9004	4.15634	21.5473	0.330439	33.5952	7.78327	36.2556	859.508
9	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	93.7764	6.74674	6.05476	2.53972	0.621516	0.712324	0.456401	16.6648	4.68295	0.809036	0.376036	12.9485	5.72393	65.4186	0.399178	61.5496	8.99581	25.9377	297.646
10	33.9519	19.1193	2.27481	18.2925	3.30761	13.6404	0.0133256	101.392	4.6771	7.2529	1.20149	0.671186	0.81622	0.666581	16.7803	3.62774	0.789229	0.724029	7.76293	9.69301	64.7273	0.320494	67.0711	16.4337	8.58843	33.9519
11	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.332683	18.2184	3.30541	0.453184	0.116351	9.16549	10.3684	31.3767	0.433883	26.1148	9.97724	19.1811	1353.87
12	20.3091	18.1395	3.43735	18.1402	5.15297	12.7569	0.00923542	98.0119	1.71692	10.2931	1.8959	0.343538	0.751277	0.473732	16.9745	3.24765	0.767869	0.209594	8.38679	5.10953	38.3223	0.323616	80.2593	25.4736	13.6565	20.3091
13	3256.17	12.7469	2.68164	7.47567	4.30335	15.7697	0.00434509	69.3498	8.93951	6.93525	2.76265	0.231004	0.930143	0.115163	17.751	3.41304	0.15724	0.216473	2.93193	3.26001	14.5287	0.266103	36.041	16.4082	24.9764	3256.17
14	1016.83	11.9543	3.01291	18.0289	3.51915	11.4972	0.00281951	88.7168	5.97545	2.8537	2.9846	0.548217	0.649596	0.538626	15.3936	3.55807	0.640847	0.224131	6.68802	5.02519	28.2269	0.232877	55.1415	4.68829	35.1385	1016.83
15	4549.74	7.27295	3.59571	15.3793	4.48987	5.97329	0.00799324	101.3	8.60684	7.68183	2.86868	0.2628	0.604451	0.198711	16.0901	2.75121	0.510818	0.452919	5.1029	1.89723	32.0123	0.303387	32.2431	10.8839	16.2061	4549.74
16	999.871	11.0345	3.46562	8.34942	3.61593	17.0018	0.00423978	135.017	6.13705	3.74086	2.85298	0.378711	0.61465	0.0765025	16.8738	4.07323	0.809783	0.338012	8.04318	4.63559	25.1014	0.356452	50.8118	36.3698	19.3871	999.871
17	3.43494	13.3991	2.41716	11.0655	2.79537	15.4759	0.00400353	80.8667	4.43481	2.08818	2.19734	0.416963	0.730946	0.139568	16.6902	4.14958	0.175193	0.433831	2.78893	4.69721	41.7146	0.319373	60.8436	19.0251	29.7667	3.43494
