"","GM_NInit.1.","GM_TIsolation.1.","GM_R0.1.","GM_c0.1.","GM_TLatent.1.","GM_TRecover.1.","GM_IFR.1.","GM_TStartTesting.1.","GM_TauTesting.1.","GM_TTestingRate.1.","GM_TContactsTestingRate.1.","GM_TestingCoverage.1.","GM_TestSensitivity.1.","GM_ThetaMin.1.","GM_TauTheta.1.","GM_PwrTheta.1.","GM_HygienePwr.1.","GM_FracTraced.1.","GM_TPosTest.1.","GM_TFatalDeath.1.","GM_TauS.1.","GM_rMax.1.","GM_TauR.1.","alpha_Pos.1.","alpha_Death.1.","LnPrior","LnData","LnPosterior"
"Min.",25.0608,7.00094,2.35546,7.00086,2.00271,5.00155,0.00139937,60.1888,1.03974,2.00225,1.00004,0.200138,0.600007,0.259373,16.2002,3.08006,0.00261698,0.050065,1.03087,1.00607,25.407,0.202397,26.1131,5.81727,8.0002,-50.90606,-669.2835,-713.8509
"1st Qu.",132.97675,9.547945,3.2954625,10.453525,3.3844275,6.6126325,0.0036878925,76.889825,5.324275,5.87507,1.620085,0.38030875,0.66664875,0.509546,17.234225,3.814485,0.19129725,0.1043925,4.192935,4.2928925,30.789325,0.49642425,35.617975,10.3237,8.634955,-44.31185,-658.59945,-702.29265
"Median",214.195,12.33935,3.60519,13.061,3.994165,7.92927,0.004364915,79.41725,7.06444,7.51368,2.052445,0.489061,0.7212395,0.564574,17.76825,4.367525,0.308523,0.148485,6.157585,6.014085,34.3319,0.5764255,39.95645,11.51975,9.69663,-43.124365,-656.9546,-700.25725
"Mean",267.273199438202,12.8447049890762,3.60682573657928,13.12711306804,4.00968427434457,8.3495456741573,0.00443068896379526,79.6078644662921,7.26706683832709,7.48913981741573,2.04755428370787,0.489099577091136,0.727850024500624,0.562003315543071,17.7162675405743,4.39033735642946,0.342542700591448,0.16260965713171,6.46519444912609,6.25307427590512,34.4023308676654,0.566401156679151,39.6100768726592,11.630739113608,11.4136851186017,-43.2402739263421,-657.280696301498,-700.520969553683
"3rd Qu.",348.496,15.824,3.922595,15.6182,4.6124075,9.7632775,0.0051072275,81.844025,9.099185,9.1300125,2.4889875,0.59575825,0.77935625,0.61996675,18.2591,4.97017,0.47309625,0.20503975,8.4947225,7.933345,37.9013,0.650304,43.93455,12.823175,12.0914,-42.0012,-655.664475,-698.4425
"Max.",1844.73,20.9968,4.49979,19.9963,6.90037,20.5421,0.00885294,112.197,13.993,11.9885,3,0.799739,0.94987,0.803922,18.7999,5.8175,0.988618,0.500828,13.99,13.9868,44.0414,0.734939,49.5961,20.4404,39.9472,-38.85067,-652.0242,-693.0566
"rhat.vec",1.05017116245243,1.00027434101842,1.00851459985511,0.999935808096223,1.00343650579973,1.01203130434495,1.00152155164465,1.00389756137734,1.00412903312504,1.00000853326174,1.00013957165117,1.00416410906221,1.00047966421067,1.01115453721458,1.00045923522252,1.00004848882488,1.0102624944866,1.00762752091431,0.99992401257961,1.00200223430175,1.00010044714062,1.01036003946935,1.00021899344395,1.00023027541579,1.00013431022069,1.0048642199978,1.00106189875227,1.00212214523356
