Results of Simulation 1

Time	S	S_C	E	E_C	I_U	I_C	A_U	A_C	R_U	I_T	R_T	F_T	CumInfected	CumPosTest	CumDeath	ThetaFit	HygieneFit	FTraced	lambda	lambda_C	rho_C	delta	c	beta	Rt	Refft	dtCumInfected	dtCumPosTest	dtCumDeath	N_pos	D_pos	p_N_pos	p_D_pos	Tot	NInit	TIsolation	R0	c0	TLatent	TRecover	IFR	T50Testing	TauTesting	TTestingRate	TContactsTestingRate	FAsymp	TestingCoverage	TestSensitivity	ThetaMin	TauTheta	PwrTheta	HygienePwr	FTraced0	TPosTest	TFatalDeath	alpha	kappa	rho	lambda0	lambda0_C	rho0_C	beta0	TauS	rMax	TauR
70	0.999683	0.000112243	9.00534e-05	2.37789e-06	6.7891e-05	1.22517e-06	2.3632e-05	4.56063e-07	5.14026e-05	1.34562e-06	4.49669e-07	9.65419e-08	0.000112016	1.30577e-07	0	0.993509	0.998373	0.0337591	0.00675182	0.0472627	0.0202555	0.013379	12.9156	0.0307192	3.66269	3.66153	2.31078e-05	5.79048e-08	0	1.67924	1e-15	0.29568	2.5e-16	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
71	0.99961	0.000147157	0.000103369	3.09512e-06	7.71514e-05	1.60345e-06	2.81693e-05	6.04074e-07	6.13122e-05	1.76354e-06	6.04166e-07	1.15886e-07	0.000136841	2.01517e-07	0	0.988551	0.997125	0.0381522	0.00763043	0.053413	0.0228913	0.0117791	12.8512	0.0306808	3.60286	3.60146	2.66162e-05	8.56452e-08	0	2.48371	1e-15	0.383069	2.5e-16	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
72	0.99952	0.000192016	0.000118232	4.01082e-06	8.77549e-05	2.07757e-06	3.32644e-05	7.95214e-07	7.27271e-05	2.31134e-06	8.06703e-07	1.38276e-07	0.000165393	3.05769e-07	0	0.980839	0.995175	0.0430032	0.00860064	0.0602045	0.0258019	0.0104284	12.7509	0.0306208	3.5279	3.52621	3.05606e-05	1.25079e-07	0	3.62729	1e-15	0.475567	2.5e-16	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
73	0.999413	0.000249143	0.000134622	5.16534e-06	9.97944e-05	2.66639e-06	3.89726e-05	1.04073e-06	8.58552e-05	3.027e-06	1.07212e-06	1.64333e-07	0.00019811	4.57073e-07	0	0.969354	0.992249	0.0483303	0.00966607	0.0676625	0.0289982	0.00928399	12.6016	0.0305307	3.4339	3.43188	3.49469e-05	1.80415e-07	0	5.23203	1e-15	0.566726	2.5e-16	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
74	0.999285	0.000321066	0.000152398	6.59801e-06	0.000113334	3.38914e-06	4.53384e-05	1.3536e-06	0.000100921	3.95734e-06	1.41941e-06	1.9476e-07	0.000235425	6.73818e-07	0	0.952933	0.98802	0.0541448	0.010829	0.0758027	0.0324869	0.0083112	12.3881	0.0304006	3.31678	3.3144	3.9749e-05	2.56906e-07	0	7.45026	1e-15	0.650663	2.5e-16	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
75	0.999132	0.000410335	0.00017123	8.34058e-06	0.00012838	4.26311e-06	5.23852e-05	1.74816e-06	0.00011816	5.15922e-06	1.87297e-06	2.30466e-07	0.000277717	2.01798e-06	6.48492e-08	0.930353	0.982114	0.060449	0.0120898	0.0846287	0.0362694	0.00748208	12.0946	0.0302189	3.17281	3.17005	4.48927e-05	1.00111e-06	5.85506e-09	29.0321	0.169797	0.878905	0.0407206	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
76	0.998955	0.000519199	0.000190586	1.04083e-05	0.000144867	5.3009e-06	6.01067e-05	2.23903e-06	0.000137812	6.69817e-06	2.46279e-06	2.72369e-07	0.000325276	2.76218e-06	7.96652e-08	0.900504	0.97414	0.0672354	0.0134471	0.0941295	0.0403412	0.00677383	11.7065	0.0299735	2.99944	2.99631	5.02486e-05	1.30396e-06	6.95369e-09	37.8148	0.201657	0.90434	0.0479946	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
77	0.99875	0.000649142	0.000209643	1.27858e-05	0.0001626	6.50477e-06	6.84451e-05	2.83973e-06	0.000160106	8.65004e-06	3.22725e-06	3.21647e-07	0.000378212	3.75419e-06	9.65419e-08	0.862632	0.963732	0.0744842	0.0148968	0.104278	0.0446905	0.00616767	11.2142	0.0296533	2.79638	2.79288	5.56072e-05	1.68966e-06	8.29935e-09	49.0002	0.240681	0.924529	0.0567553	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
78	0.998521	0.000800256	0.000227362	1.54158e-05	0.000181239	7.86093e-06	7.72805e-05	3.55956e-06	0.000185238	1.10933e-05	4.21231e-06	3.796e-07	0.00043638	5.06433e-06	1.15886e-07	0.816669	0.95063	0.0821631	0.0164326	0.115028	0.0492979	0.00564805	10.6167	0.0292502	2.56665	2.56286	6.06944e-05	2.17203e-06	9.96056e-09	62.9889	0.288856	0.940289	0.0673504	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
79	0.998269	0.000970946	0.000242617	1.81999e-05	0.000200305	9.33707e-06	8.64344e-05	4.40131e-06	0.000213343	1.41014e-05	5.46981e-06	4.47563e-07	0.000499357	6.77277e-06	1.38276e-07	0.763565	0.934784	0.0902268	0.0180454	0.126318	0.0541361	0.00520199	9.92634	0.0287626	2.31754	2.31352	6.52042e-05	2.763e-06	1.20236e-08	80.1271	0.348683	0.952453	0.0801813	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
