Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.464845	18.8733	2.94712	0.50281	0.231006	9.06954	8.8852	18.4654	0.612785	70.3945	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.430181	19.8524	4.32064	0.136359	0.37813	7.15465	2.77081	14.8281	0.336953	43.7389	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.22903	17.8949	2.94533	0.524034	0.277744	6.85205	8.12573	27.6134	0.770858	36.8672	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.36696	19.3965	4.27234	0.198644	0.13848	10.2742	9.96297	27.3949	0.299172	63.3889	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.04435	16.1447	2.71171	0.441853	0.170077	3.66117	2.28453	65.7988	0.518402	84.7476	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.1129	18.2572	2.78925	0.599002	0.3503	13.033	10.3079	42.3269	0.636654	96.1748	12.2988	17.2965	5105.93
6	148.428	13.5836	2.87794	9.60343	3.57876	7.52027	0.00879199	74.8268	4.0284	6.12495	1.98755	0.305843	0.623559	0.726236	17.3683	3.35122	0.422443	0.460089	6.33437	1.76629	8.11828	0.518936	36.2738	4.24766	17.4799	148.428
7	3717.8	8.67197	2.07638	10.4605	5.15814	19.8234	0.0231346	87.159	5.00471	5.56267	2.64386	0.516371	0.727415	0.409109	18.5816	4.24968	0.696876	0.565742	2.91334	7.47599	28.2157	0.365454	65.9777	5.28072	17.2144	3717.8
8	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	77.4644	6.87515	8.56281	1.93967	0.554502	0.789281	0.13606	20.1259	2.39624	0.409986	0.167274	4.15634	5.56897	27.2106	0.374277	72.149	16.8014	20.24	111.803
9	723.177	11.0231	2.88749	19.1446	3.1814	17.0161	0.011506	77.5234	13.6059	7.37764	1.05942	0.621516	0.712324	0.477055	17.056	4.48142	0.809036	0.376036	12.9485	5.72393	60.1052	0.756156	80.0344	8.99581	25.9377	723.177
10	33.9519	19.1193	2.27481	18.2925	3.30761	13.6404	0.0133256	101.392	4.6771	7.2529	1.20149	0.671186	0.81622	0.66466	17.2459	3.05258	0.789229	0.724029	7.76293	9.69301	59.4429	0.537476	87.8634	16.4337	8.58843	33.9519
11	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.366624	19.6094	2.61613	0.453184	0.116351	9.16549	10.3684	27.4936	0.852611	29.7912	9.97724	19.1811	1353.87
12	20.3091	18.1395	3.43735	18.1402	5.15297	12.7569	0.00923542	98.0119	1.71692	10.2931	1.8959	0.343538	0.751277	0.492524	17.565	2.53791	0.767869	0.209594	8.38679	5.10953	34.1474	0.546154	78.4121	25.4736	13.6565	20.3091
13	19.364	8.25153	3.13661	18.6171	2.79746	7.56466	0.0156537	89.3525	6.30244	9.86959	2.14612	0.297898	0.739219	0.273681	17.7074	3.35619	0.15724	0.187154	2.93193	3.26001	11.3535	0.386313	43.8657	16.4082	24.9764	19.364
14	1016.83	11.9543	3.01291	18.0289	3.51915	11.4972	0.00281951	88.7168	5.97545	2.8537	2.9846	0.548217	0.649596	0.550448	17.363	3.18572	0.640847	0.238858	5.02519	6.76489	31.3187	0.847915	82.5526	4.33389	10.8061	1016.83
15	7797.05	17.7086	3.27117	15.4493	2.72915	8.77196	0.0129833	106.068	7.68183	3.442	2.86868	0.308902	0.629893	0.162452	15.2538	2.47753	0.571007	0.2058	2.28992	3.78148	25.5987	0.705182	37.2917	25.3138	15.5161	7797.05
16	57.8177	8.2316	4.07045	13.4827	4.7718	7.82007	0.00553441	78.8828	7.96778	8.30544	1.29979	0.400948	0.705877	0.124279	19.6625	3.5362	0.203898	0.165557	7.30443	10.3456	49.9009	0.607947	46.1579	6.06764	15.1688	57.8177
17	31.5768	9.8676	2.66253	8.72468	2.36273	8.45064	0.0224185	100.408	7.92838	4.23965	1.1597	0.393948	0.742819	0.142374	16.7286	4.1185	0.412133	0.700982	1.59065	10.0197	23.9338	0.664384	37.0692	19.0251	29.7667	31.5768
18	153.151	12.5108	2.4935	17.7365	3.92065	6.57501	0.00407129	130.684	10.0515	6.37377	2.52788	0.545932	0.858768	0.615011	18.2021	4.62778	0.411009	0.311838	10.2188	5.89644	48.0368	0.599393	35.837	7.0537	18.5971	153.151
19	5956.22	8.17167	2.72042	10.8089	4.62506	8.82432	0.0118745	137.186	5.88205	5.74258	1.18566	0.587306	0.664494	0.573043	16.0021	2.96444	0.427594	0.407132	5.73017	9.73244	12.2746	0.656242	57.0459	25.8299	26.1901	5956.22
20	6123.11	16.0961	2.92505	14.9271	2.89958	7.27852	0.0166068	71.1982	8.75608	9.90076	2.76622	0.516791	0.822658	0.370839	20.4408	3.94128	0.391508	0.906284	6.96502	8.7862	50.533	0.40925	49.5926	28.712	31.546	6123.11
21	52.7613	9.89034	3.08092	9.64475	4.56873	7.806	0.00770792	77.9092	6.82955	6.50408	2.01836	0.534855	0.655108	0.409645	16.1769	2.23693	0.159157	0.504217	1.43584	10.3036	49.7322	0.782322	66.651	9.50799	34.9184	52.7613
22	6185.56	8.49893	3.3429	17.7275	3.67265	12.7553	0.00828695	92.3871	4.74208	5.9444	2.91747	0.375341	0.884419	0.549325	18.9511	2.97876	0.882765	0.28172	4.50899	12.199	18.4683	0.469391	66.9363	26.6328	10.1621	6185.56
23	1082.55	8.76219	3.30761	11.0962	4.8882	5.65539	0.00757578	62.24	4.00008	7.29203	1.17596	0.673382	0.701699	0.314625	18.5602	4.10459	0.693998	0.35684	11.9953	9.03853	9.58358	0.614119	66.5396	12.8063	23.0539	1082.55
24	2666.58	12.1676	2.52228	16.2717	4.01616	8.24615	0.00597832	105.426	5.43577	7.04311	1.9686	0.790696	0.933709	0.528308	19.5976	3.07146	0.368921	0.124969	2.16933	2.73118	37.3307	0.624016	84.2223	18.3577	10.5484	2666.58
25	1348.04	7.61	2.3749	11.5463	4.9884	13.8927	0.0216682	128.147	8.08852	11.4261	1.4281	0.529361	0.734355	0.381526	18.8056	4.43246	0.219806	0.462714	11.4784	6.00392	31.2145	0.467057	34.6625	17.5786	21.6626	1348.04
26	4563.38	9.01535	2.90522	14.1518	4.71354	11.367	0.00904727	111.245	8.79463	7.60287	2.28021	0.715166	0.837409	0.388265	18.3719	4.31383	0.954727	0.186641	6.71028	12.4032	46.9339	0.690772	88.1895	5.53338	21.4447	4563.38
27	9424.88	15.0267	3.33092	7.24491	4.76852	13.521	0.00441674	68	8.57096	10.1127	2.36422	0.254484	0.79063	0.402691	16.1817	2.92172	0.634978	0.399276	13.9398	4.50908	8.57135	0.542011	67.2482	27.7412	28.0043	9424.88
28	1133.78	13.3031	3.56702	11.4045	2.59285	8.79598	0.00775443	137.848	7.84467	3.6878	2.27128	0.717714	0.738444	0.406968	19.1754	3.56124	0.329059	0.149333	13.4194	3.93448	6.20538	0.530314	52.5858	11.1242	28.84	1133.78
29	1255.55	12.0717	3.49918	17.9636	5.70721	11.6669	0.0132438	107.467	9.16465	7.7122	1.57341	0.313577	0.725821	0.528461	17.4828	3.66396	0.633015	0.379796	8.07572	7.5941	33.9922	0.655337	67.0062	14.6309	34.192	1255.55
30	157.141	14.4433	2.62844	15.4972	4.56401	7.07346	0.0148687	110.824	4.30598	3.9245	2.23099	0.579209	0.815781	0.468757	18.6206	2.75399	0.851245	0.436925	6.20655	1.53224	24.8011	0.465937	88.1233	37.7987	30.9265	157.141
