iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_T50Testing(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_FAsymp(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
0	20.8115	15.3107	2.41794	16.6515	5.01765	16.9432	0.0123947	67.5034	10.9186	10.4156	2.75039	0.222472	0.286811	0.707533	0.28288	21.929	4.22671	0.0890697	0.418625	4.32322	1.68118	22.5837	0.556984	76.7197	28.5973	5.80652	-5.092723e+01	-6.050869e+05	-6.051378e+05
10	3105.85	11.5301	3.45053	11.3715	6.19752	7.44522	0.0281872	90.2063	7.66023	8.56632	1.61806	0.173085	0.105203	0.883561	0.401402	18.1402	3.5901	0.0845807	0.474684	4.10123	7.49702	22.5262	0.650243	54.101	5.28341	2.47451	-5.084210e+01	-1.086287e+03	-1.137129e+03
20	2976.69	15.6444	3.45885	15.7026	5.51753	7.44522	0.0181551	92.8003	7.9355	10.2819	1.27949	0.215813	0.292868	0.909051	0.373155	17.8531	4.59614	0.041472	0.461093	3.17283	5.64169	22.8506	0.703664	52.974	5.34778	2.47451	-5.004481e+01	-1.055888e+03	-1.105933e+03
30	2748.94	8.79149	3.46613	18.5626	5.49117	7.44522	0.0149329	89.6253	6.47887	9.41157	1.27419	0.252239	0.225811	0.889672	0.37816	17.8531	2.34591	0.041472	0.448049	4.8573	4.95681	22.0722	0.727452	49.7203	6.90021	2.83167	-5.017364e+01	-1.045736e+03	-1.095909e+03
40	2411.39	8.76734	3.50991	10.1809	5.60731	7.41587	0.0120597	89.2283	7.64012	6.92851	1.93272	0.100321	0.233093	0.766236	0.402044	17.8531	5.44356	0.054874	0.425453	10.7244	5.47319	21.5822	0.704666	56.1873	7.20537	2.83167	-4.799259e+01	-1.045652e+03	-1.093645e+03
50	2411.39	9.79619	3.50991	9.86014	5.4721	7.41587	0.00968266	87.1403	6.89604	9.90845	2.6272	0.107136	0.266913	0.798371	0.402044	18.7937	4.43746	0.0724911	0.397889	10.0993	5.37355	21.7855	0.678979	55.128	7.3296	2.51094	-4.676664e+01	-1.046886e+03	-1.093653e+03
60	1821.75	13.1193	3.50991	10.9921	5.4535	7.31252	0.00987563	88.4435	6.6618	9.0715	2.23993	0.0426959	0.307905	0.719179	0.397353	21.6241	2.20994	0.0472953	0.381926	4.11388	3.63552	22.9732	0.678702	54.0396	7.4028	4.36276	-4.783572e+01	-1.042147e+03	-1.089982e+03
70	1470.18	17.7616	3.56401	13.2137	5.43759	7.31252	0.00996729	89.3113	7.41081	10.2122	2.04502	0.111822	0.383839	0.694928	0.393315	24.0424	2.95818	0.0752286	0.402391	5.15397	3.77938	21.3229	0.824122	52.376	5.35209	2.55215	-5.095755e+01	-1.042486e+03	-1.093443e+03
80	1703.09	20.0418	3.56596	13.8316	4.99604	7.37034	0.0103068	89.9063	7.0431	9.02936	2.21913	0.0993623	0.43795	0.603935	0.410186	22.2303	2.73869	0.117393	0.421602	3.67314	3.96212	21.3827	0.851983	48.5178	8.19165	3.84268	-4.989542e+01	-1.042594e+03	-1.092489e+03
90	1699.53	17.4834	3.49523	12.2165	4.73552	7.71427	0.0103068	91.5212	6.89824	10.0405	1.57099	0.0307493	0.455912	0.684037	0.425698	20.1936	3.85293	0.0983309	0.427534	4.21574	2.39022	21.3827	0.816052	51.894	6.36111	3.82032	-4.721390e+01	-1.043026e+03	-1.090240e+03
100	1681.85	19.8176	3.46944	9.98895	4.60368	7.71427	0.0100026	90.316	5.94298	10.9766	1.53706	0.0784802	0.485996	0.692412	0.423426	20.2682	3.49834	0.115261	0.378652	2.19289	2.57304	21.5079	0.711422	46.4036	7.07158	2.63531	-4.581124e+01	-1.041469e+03	-1.087281e+03
110	1903.55	10.5026	3.44368	11.9356	4.48261	7.73591	0.0108257	90.9913	4.69546	10.843	1.05757	0.294056	0.538188	0.81062	0.418403	20.8835	3.87008	0.12568	0.378652	1.30232	1.72207	21.8701	0.766107	52.4045	5.79171	3.31426	-4.873241e+01	-1.043303e+03	-1.092036e+03
120	2157.46	7.91027	3.45522	14.0938	4.59376	7.61487	0.0109643	88.4205	6.58122	11.2477	1.07465	0.387066	0.381189	0.765789	0.425118	21.8302	5.28958	0.104857	0.403954	10.7446	4.28732	21.8036	0.645072	48.2576	7.08133	3.89765	-4.720061e+01	-1.044495e+03	-1.091696e+03
130	2370.8	7.38136	3.46862	11.4942	4.70555	8.2062	0.0135917	88.3838	5.50286	8.67281	1.57041	0.48891	0.620941	0.791986	0.44654	20.535	2.56237	0.0990007	0.396253	6.6128	2.07903	21.3231	0.691391	45.8376	7.11181	3.60177	-4.650493e+01	-1.043357e+03	-1.089862e+03
140	2303.44	11.6043	3.42296	11.5132	4.29256	8.3459	0.0122772	86.3344	7.10804	11.3565	2.09286	0.406504	0.488315	0.651231	0.435251	21.538	5.0603	0.0736336	0.378002	8.59863	4.84489	22.3755	0.633419	49.9144	6.26865	2.53793	-4.553550e+01	-1.048080e+03	-1.093616e+03
