iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_T50Testing(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_FAsymp(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
0	51.1024	12.6815	2.57407	10.8252	3.53993	12.3989	0.00958914	62.076	7.71535	5.89043	1.83098	0.476346	0.849683	0.746596	0.368744	19.0833	3.22347	0.191888	0.312058	8.07113	12.1881	40.3686	0.635451	44.3264	34.7175	6.12959	-4.480921e+01	-5.753975e+05	-5.754423e+05
10	5901.43	12.2978	2.57407	14.189	2.59687	7.3037	0.0158391	86.1824	4.49917	10.1275	1.41209	0.52426	0.653074	0.639568	0.457496	19.0833	5.30364	0.191888	0.105977	13.797	7.59905	22.4415	0.55418	15.4373	13.8461	0.619498	-4.851906e+01	-1.103507e+03	-1.152026e+03
20	5901.43	7.6073	2.57407	14.0687	2.79417	7.3037	0.0128986	86.3649	4.05091	9.27291	1.3243	0.495662	0.660259	0.752924	0.457496	17.6368	1.76537	0.191888	0.148523	11.1987	4.42681	21.8209	0.55418	15.3258	4.97587	2.34474	-4.808476e+01	-1.058511e+03	-1.106596e+03
30	6995.34	11.6942	2.58344	9.45023	2.71727	7.38863	0.0104259	87.6106	3.62306	9.74724	1.7771	0.546467	0.798304	0.74697	0.457496	18.1939	1.18075	0.189079	0.183048	7.60086	2.49603	24.083	0.55418	17.6537	6.61989	3.41999	-4.971016e+01	-1.050680e+03	-1.100390e+03
40	8792.24	15.0678	2.60111	10.5505	3.03187	6.90868	0.00860346	87.7997	4.57426	8.42933	2.37034	0.444161	0.536833	0.655075	0.460375	16.7943	1.12453	0.221168	0.175908	9.49061	4.1193	26.741	0.55418	17.6537	6.6449	3.28285	-4.869206e+01	-1.050437e+03	-1.099129e+03
50	8968.62	9.66676	2.59673	11.2836	3.09735	6.86715	0.00860346	87.7944	3.57977	9.39718	2.20967	0.389382	0.595216	0.638402	0.460375	15.0541	1.12453	0.187862	0.155816	5.29577	3.00983	28.7098	0.486127	17.6537	8.11188	2.13881	-4.912591e+01	-1.052872e+03	-1.101998e+03
60	9866.35	8.21864	2.60872	11.4717	2.66581	7.21203	0.00761418	87.7358	5.18805	11.9661	2.33303	0.410911	0.521227	0.687935	0.458819	15.0768	1.01574	0.162234	0.169632	12.0202	5.07848	27.6537	0.519675	40.8466	5.22644	3.50938	-4.938640e+01	-1.049224e+03	-1.098611e+03
70	9547.3	11.7719	2.64438	10.7897	2.84398	7.03414	0.00908052	92.8584	6.68833	11.9074	2.23872	0.458498	0.457537	0.747044	0.460212	16.7703	2.49595	0.167431	0.152939	8.26717	6.85064	27.8128	0.465851	46.9926	4.65739	2.40981	-4.512490e+01	-1.055282e+03	-1.100407e+03
80	8779.36	9.35066	2.6527	12.2455	2.89298	7.38665	0.0073603	90.1086	5.60929	10.8545	1.44643	0.374105	0.396925	0.710934	0.466797	14.566	3.62419	0.123205	0.166215	7.42982	4.84416	30.9407	0.526184	38.6058	7.07213	2.01851	-4.532867e+01	-1.048420e+03	-1.093748e+03
90	7706.02	13.5194	2.73675	11.5888	3.84579	7.38665	0.00680144	90.0408	4.12227	6.42452	1.67319	0.148082	0.333317	0.71051	0.477126	14.566	2.70576	0.113119	0.137282	7.70066	3.88785	34.0555	0.558768	39.2475	5.39785	2.80941	-4.529706e+01	-1.051720e+03	-1.097018e+03
100	7635.28	10.682	2.71665	7.26771	3.97088	7.68421	0.00668634	88.7253	4.60343	7.75128	2.90016	0.136927	0.380636	0.68332	0.486565	14.9123	3.6458	0.105512	0.0947116	2.91784	2.04786	39.0227	0.494227	42.1875	5.61359	2.42979	-4.598992e+01	-1.048886e+03	-1.094876e+03
110	7939.96	14.5396	2.69668	12.6179	4.52438	7.3101	0.0066692	89.879	5.24693	8.12925	1.01527	0.10574	0.358435	0.647402	0.477978	16.363	4.5367	0.111308	0.127092	5.27494	4.94132	35.8883	0.529408	37.5344	5.84532	3.38359	-4.420046e+01	-1.045987e+03	-1.090187e+03
120	9642.32	11.3626	2.63877	10.8838	5.28339	6.87758	0.00659797	89.8946	5.12855	8.17726	2.15748	0.100157	0.355087	0.6864	0.487128	15.0981	3.10814	0.133593	0.0731229	1.99184	6.60718	29.2855	0.468679	49.4953	7.80013	3.03392	-4.646671e+01	-1.050984e+03	-1.097451e+03
130	8704.9	19.7779	2.63877	11.9604	5.44678	6.95229	0.00659797	90.6154	4.40071	9.94591	2.61936	0.0728913	0.508634	0.695394	0.483394	15.6523	4.75895	0.133783	0.0731229	2.73962	2.8688	28.5807	0.503798	41.8762	6.64964	2.80793	-4.660509e+01	-1.044629e+03	-1.091234e+03
140	8308.52	15.5684	2.69234	17.9244	5.47121	7.02264	0.0081102	89.562	4.66859	6.7859	2.9674	0.291342	0.503293	0.629015	0.487132	15.486	2.39437	0.117794	0.0651449	1.74544	4.76919	31.5156	0.478775	39.7835	9.0238	2.24583	-4.803006e+01	-1.047517e+03	-1.095547e+03
150	8931.15	11.1006	2.67657	10.1854	5.0043	6.96315	0.00943525	91.4637	4.67962	6.26466	2.60253	0.398512	0.531419	0.70873	0.481976	15.3466	3.94703	0.129769	0.0678578	3.51565	4.39049	34.7965	0.505318	38.8407	7.64836	2.39061	-4.518401e+01	-1.044708e+03	-1.089892e+03
160	8849.56	13.4529	2.71524	12.4046	5.59763	6.78817	0.00958446	90.1027	4.8726	7.72079	1.78536	0.517438	0.637996	0.709391	0.473912	16.8252	3.81629	0.0930659	0.114336	3.79108	4.73028	32.4595	0.513045	45.5918	5.83192	2.24106	-4.419746e+01	-1.045842e+03	-1.090040e+03
170	9055.68	19.1522	2.70217	16.9755	5.50669	6.71049	0.00887964	89.4304	3.91654	6.80885	1.1268	0.548941	0.477801	0.843028	0.481723	16.5626	5.42498	0.078397	0.151679	3.83532	3.05469	34.8437	0.525317	39.5955	6.85099	2.38084	-4.785072e+01	-1.044156e+03	-1.092007e+03
180	8519.17	16.6999	2.70771	12.9164	5.61129	6.86835	0.01107	89.5605	4.04874	7.19396	2.84684	0.499092	0.638616	0.766245	0.463968	18.5215	2.20361	0.0669772	0.149661	3.31537	3.79097	34.7375	0.664527	45.2796	5.85873	3.44445	-4.763945e+01	-1.044641e+03	-1.092281e+03
190	9165.67	11.5151	2.74969	12.4305	6.60484	6.5437	0.0101064	89.5605	4.01131	6.74098	2.50852	0.52913	0.846093	0.650974	0.492648	16.3968	4.0712	0.113614	0.133398	 2.29	4.2812	33.7132	0.691069	53.1682	7.09121	2.5492	-4.970649e+01	-1.042879e+03	-1.092586e+03
200	8707.61	7.82503	2.78833	12.2229	6.48596	6.68864	0.0113269	90.3738	3.8705	7.01629	2.63175	0.558655	0.772843	0.629577	0.492648	17.3109	3.45005	0.108416	0.144003	4.38727	3.49878	36.9312	0.691069	54.1328	6.8203	2.32276	-4.897795e+01	-1.047735e+03	-1.096713e+03
210	9643.69	8.63105	2.83777	9.20656	6.90927	6.51875	0.0109623	90.2482	4.56212	8.57645	2.29766	0.502131	0.565544	0.768804	0.485114	16.5017	4.55121	0.131072	0.133778	3.78716	2.2306	31.2043	0.687129	67.7463	6.90222	1.17168	-5.062644e+01	-1.059848e+03	-1.110475e+03
220	7413.51	13.9298	2.85445	12.481	5.96845	7.04524	0.0120246	90.2482	4.15178	5.58602	2.98124	0.433794	0.392993	0.854843	0.489993	15.3952	3.93647	0.132434	0.202303	3.94202	2.43566	33.5863	0.737769	48.5556	8.10868	2.31221	-4.982645e+01	-1.045357e+03	-1.095183e+03
230	7563.04	7.05988	2.79163	13.9606	6.29415	7.14865	0.00880053	87.848	3.66769	8.10931	2.24301	0.327408	0.383285	0.793991	0.49318	19.0668	2.55317	0.130143	0.157389	5.35979	2.61529	28.7782	0.600897	64.0251	7.20265	3.15163	-4.787225e+01	-1.045882e+03	-1.093754e+03
240	 7371	11.0608	2.76991	7.36724	6.2013	6.97713	0.00799243	86.3907	3.28067	10.7353	1.94307	0.365603	0.417766	0.828501	0.494391	19.3742	2.50406	0.131825	0.145734	3.7532	2.52495	31.026	0.685937	64.8632	5.94909	3.15163	-5.030905e+01	-1.041305e+03	-1.091614e+03
250	8031.48	12.7256	2.75464	16.4995	6.55903	6.84673	0.00871209	86.3907	3.04241	9.49456	1.71211	0.516565	0.504867	0.814321	0.501662	20.0576	2.6108	0.118692	0.145734	2.48334	1.88821	34.772	0.679229	46.8368	7.65906	2.97507	-5.084472e+01	-1.040388e+03	-1.091233e+03
260	9999.21	15.6427	2.73206	14.678	6.57163	6.61156	0.00813794	86.5996	3.08042	9.74025	2.81283	0.554433	0.506443	0.791308	0.49332	19.0097	3.32333	0.0587119	0.182685	2.21384	2.68907	44.462	0.660976	33.6763	7.99271	2.58086	-5.235096e+01	-1.041495e+03	-1.093846e+03
270	9676.52	8.57015	2.73206	9.4676	5.60861	6.19893	0.00627814	85.5988	3.71491	11.5452	2.67888	0.494215	0.252966	0.716968	0.492746	19.0531	3.67223	0.102113	0.21155	3.20188	3.2317	44.462	0.573407	37.6121	7.41707	3.0317	-4.850197e+01	-1.042972e+03	-1.091474e+03
280	8042.89	10.3191	2.72452	8.79867	5.39501	5.86027	0.00603898	85.919	5.56124	10.2272	1.22992	0.522649	0.355766	0.692326	0.50221	19.6674	1.45852	0.126789	0.189432	2.66259	4.93064	41.0988	0.695163	47.8112	6.98269	 2.98	-4.933778e+01	-1.043453e+03	-1.092791e+03
290	7552.51	11.4152	2.80147	12.4667	4.9475	5.85064	0.00603898	85.9475	4.91236	9.90074	2.04758	0.5679	0.35034	0.621093	0.508766	19.475	2.76531	0.145124	0.174397	7.85165	4.7798	43.2622	0.653231	52.7188	7.35001	3.16029	-4.729674e+01	-1.042006e+03	-1.089303e+03
300	7233.31	11.0805	2.83236	8.70389	5.13931	5.83378	0.00603898	85.0512	4.44113	7.26326	2.27594	0.52943	0.397319	0.607982	0.503083	19.475	2.78121	0.203379	0.162346	9.14773	5.09209	45.7332	0.75082	38.1489	5.80096	3.08694	-4.875707e+01	-1.041572e+03	-1.090329e+03
310	7266.27	8.54452	2.75564	14.8537	4.49209	5.66813	0.00564052	85.4451	4.77207	11.9009	2.05828	0.548818	0.447993	0.654978	0.507113	19.475	2.71665	0.174169	0.194606	8.74916	3.93275	45.7332	0.75722	39.0444	5.91698	3.99886	-4.929221e+01	-1.041835e+03	-1.091127e+03
320	6597.87	10.2177	2.74244	11.6635	4.53211	5.56668	0.00609269	86.4916	4.35724	9.80997	1.63407	0.499066	0.286449	0.706837	0.500602	19.6534	2.91722	0.175651	0.179571	10.4887	3.74345	45.7332	0.67659	30.321	5.94121	3.39033	-4.786565e+01	-1.043650e+03	-1.091516e+03
