iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_TStartTesting(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
740	1896.39	15.875	3.71206	16.1961	2.55337	10.6334	0.0074043	88.7237	4.7554	10.0577	1.85505	0.303728	0.766171	0.556687	19.5637	3.88252	0.655039	0.174849	3.70033	1.52613	37.9208	0.615955	52.2995	6.75268	8.07498	-4.663879e+01	-1.058596e+03	-1.105235e+03
750	1995.52	10.7554	3.70574	16.1627	2.73134	10.6334	0.00714049	88.1952	4.95764	11.6883	1.73629	0.282044	0.738742	0.565885	19.4192	4.56626	0.706333	0.191264	4.42024	1.1757	37.9815	0.640429	54.6003	7.31473	8.77125	-4.806513e+01	-1.061249e+03	-1.109314e+03
760	2224.73	14.8822	3.74788	13.6874	2.73776	10.8672	0.00712057	85.7369	4.63557	8.71024	2.11715	0.26333	0.669147	0.576192	18.6218	3.8413	0.742769	0.17097	6.1846	2.13884	39.6698	0.575004	39.4119	5.88552	8.01039	-4.530011e+01	-1.059103e+03	-1.104403e+03
770	2341.42	16.5659	3.78418	15.3302	3.23811	10.654	0.00741781	84.3428	2.79245	7.16388	1.24347	0.26333	0.650455	0.580338	18.6253	3.1273	0.742769	0.160241	6.42587	1.44148	35.4502	0.428888	29.8657	4.51747	8.33954	-4.644906e+01	-1.064204e+03	-1.110653e+03
780	2439.92	18.2733	3.80837	18.2024	3.16901	10.6014	0.00652788	86.1386	3.72877	6.76481	1.11425	0.275053	0.614505	0.585859	18.4531	4.8244	0.787122	0.161332	9.32531	2.20341	38.6652	0.405799	29.8686	5.75368	8.76011	-4.755704e+01	-1.064719e+03	-1.112277e+03
790	2184.6	13.3884	3.76502	18.761	3.19886	10.6014	0.00805199	85.6083	4.69206	6.74325	1.52458	0.305274	0.651426	0.591913	18.5409	3.33933	0.752718	0.147253	11.01	2.80562	37.4829	0.508544	40.2344	6.35008	8.71584	-4.537736e+01	-1.062148e+03	-1.107525e+03
800	1891.32	13.811	3.83978	16.7724	3.934	10.7946	0.0102083	87.1115	4.85982	7.01983	1.39517	0.3739	0.767075	0.587801	19.9233	5.06421	0.755261	0.129674	7.73683	2.39565	32.8509	0.643605	48.2348	5.03433	8.18889	-4.489953e+01	-1.061412e+03	-1.106311e+03
810	2089.85	12.1534	3.86346	14.9121	3.99054	10.8302	0.010811	84.1706	4.49145	7.01983	2.05255	0.380881	0.778158	0.579732	19.4411	3.64746	0.717063	0.124959	4.71914	4.17526	31.224	0.640315	53.1081	4.54935	8.10279	-4.346572e+01	-1.069112e+03	-1.112578e+03
820	1949.61	20.4416	3.87733	8.58867	4.12424	10.7582	0.00931457	85.1987	3.69907	6.52718	1.84048	0.401412	0.715151	0.59067	18.7089	4.03967	0.714877	0.12486	7.86409	2.91193	30.3039	0.634553	44.5711	7.5565	8.2425	-4.471246e+01	-1.063575e+03	-1.108287e+03
830	1740.63	13.5577	3.9258	9.06329	4.19624	9.92473	0.00858664	83.4556	3.72705	6.95696	1.29113	0.401412	0.646643	0.589569	18.7882	2.83357	0.734974	0.138493	8.50811	2.7598	35.3704	0.540003	41.6107	5.03804	8.22905	-4.418834e+01	-1.062037e+03	-1.106226e+03
840	1698.72	16.1175	3.9058	7.13149	4.27685	9.55548	0.00987029	84.5636	5.17211	7.07045	1.8499	0.373613	0.802608	0.588267	18.5164	2.72352	0.745777	0.133958	13.1423	2.82293	34.7171	0.680437	41.4333	6.74947	8.04941	-4.673521e+01	-1.062538e+03	-1.109273e+03
850	1657.83	13.1403	3.87061	10.4069	3.61701	9.61002	0.00858559	84.8815	4.59588	6.81995	1.02678	0.373613	0.778316	0.588475	18.2702	2.81817	0.699917	0.141985	12.2934	2.67812	38.6753	0.53709	39.3809	4.47877	8.04941	-4.495288e+01	-1.060102e+03	-1.105055e+03
860	1372.88	12.2016	3.85648	17.5436	3.75222	9.49506	0.0102785	84.6142	5.40822	6.81995	2.0606	0.375027	0.878867	0.59561	19.2173	3.36436	0.692002	0.182624	13.0553	3.5394	32.1189	0.666342	41.7692	7.07267	8.06848	-4.604504e+01	-1.058952e+03	-1.104997e+03
870	1456.88	10.7211	3.91164	9.73171	3.88335	9.70011	0.0106221	83.5371	4.16224	7.76653	2.83891	0.375027	0.907186	0.594784	18.617	4.39743	0.713151	0.153362	10.8848	3.27269	32.8988	0.669648	55.3813	7.25638	8.03147	-4.724663e+01	-1.061194e+03	-1.108441e+03
880	1556.32	9.71567	3.88825	10.9896	4.25671	9.68364	0.0106638	86.0207	5.87866	7.56043	2.34531	0.375027	0.932267	0.589341	18.6393	4.27226	0.672519	0.184546	11.6186	2.06488	27.5997	0.592059	50.7387	5.99884	8.03147	-4.622932e+01	-1.062095e+03	-1.108324e+03
890	1623.41	18.4031	3.8635	11.6493	3.89854	9.66626	0.0106398	82.7907	5.07194	7.81377	2.56156	0.314547	0.867562	0.588416	18.8849	3.90156	0.733225	0.186752	11.0479	4.9997	27.3441	0.573451	54.1545	4.65558	8.03741	-4.523167e+01	-1.062972e+03	-1.108204e+03
900	1677.81	7.5235	3.88013	13.6522	3.9659	10.0394	0.00872104	82.6042	4.26436	9.65785	2.68509	0.372794	0.726678	0.591435	19.6901	4.52256	0.765125	0.194923	13.0198	2.41293	31.6075	0.577425	44.3981	5.63298	8.06755	-4.463955e+01	-1.059327e+03	-1.103966e+03
910	1769.69	10.6466	3.84105	11.208	3.70116	10.1735	0.00872104	83.8506	5.33685	9.53582	2.43244	0.400156	0.83099	0.595185	19.1958	5.36385	0.717843	0.169901	13.9968	3.13866	40.2824	0.580455	46.7356	5.3361	8.06755	-4.616340e+01	-1.058589e+03	-1.104753e+03
920	1763.95	7.01324	3.78889	13.1002	3.64885	10.1735	0.00885839	82.9188	3.95407	8.35263	1.53877	0.400156	0.837592	0.614555	17.0964	2.81523	0.709024	0.145082	13.5847	2.31694	32.8399	0.541075	50.5707	6.3582	8.06549	-4.577094e+01	-1.060168e+03	-1.105939e+03
930	1603.71	11.8028	3.72709	14.2714	3.24898	9.85684	0.00861101	81.82	4.86009	8.35263	2.3981	0.398366	0.810969	0.617168	17.6008	4.89515	0.713616	0.120477	13.2345	3.56721	38.9373	0.276973	47.8797	4.45347	8.51761	-4.560971e+01	-1.064590e+03	-1.110199e+03
940	1484.8	15.8248	3.77095	9.71656	3.42935	9.56713	0.00851923	81.9804	3.30508	7.92259	2.98331	0.417161	0.728954	0.607415	18.3879	5.87145	0.71537	0.142248	13.173	2.69565	35.2963	0.378947	43.6331	4.83477	8.36149	-4.583020e+01	-1.060036e+03	-1.105866e+03
950	1385.26	15.011	3.76483	14.4698	3.01407	9.56513	0.00769436	82.1139	3.94769	8.94861	2.65992	0.470401	0.716153	0.6136	17.9254	5.02287	0.768182	0.119272	11.6996	2.7417	37.1488	0.338553	45.3133	6.54284	8.21218	-4.524977e+01	-1.060052e+03	-1.105302e+03
960	1340.2	15.0967	3.79739	19.7328	2.9683	9.78612	0.00863714	81.5828	4.15796	8.69487	2.59915	0.456881	0.734416	0.61796	17.0898	5.02679	0.779112	0.121776	12.0262	3.48792	33.0684	0.324057	43.4726	6.29563	8.14622	-4.595079e+01	-1.063431e+03	-1.109382e+03
970	1320.82	7.76697	3.8587	18.7139	3.09806	9.68241	0.00825794	82.5838	3.41459	9.08445	1.44719	0.44933	0.835079	0.618955	16.9389	3.29706	0.779112	0.121776	13.2531	2.70971	38.0427	0.482957	48.022	7.5079	8.45755	-4.701265e+01	-1.060705e+03	-1.107718e+03
980	1252.38	9.78199	3.94698	15.8031	2.91888	9.26143	0.00798251	83.1907	3.95119	9.19991	2.58278	0.441664	0.762993	0.621935	16.4814	3.85508	0.85293	0.198825	13.2065	3.05328	35.9559	0.632173	53.177	6.45264	8.21719	-4.663883e+01	-1.060186e+03	-1.106825e+03
990	1252.38	10.4743	3.9439	16.8187	2.91888	9.58009	0.00791927	83.7727	4.45503	9.28886	2.90056	0.394262	0.763226	0.619256	16.8202	5.81656	0.863016	0.18922	11.3177	1.74236	40.4694	0.616407	47.1542	7.92264	8.2873	-4.879673e+01	-1.061478e+03	-1.110275e+03
1000	1260.63	7.39085	3.98567	17.2639	3.2614	9.57854	0.00864772	83.0434	3.53428	8.6887	2.80068	0.430187	0.679721	0.618772	17.2011	5.06744	0.857891	0.194537	12.6469	2.45712	33.2897	0.438349	55.6708	6.20451	8.13263	-4.608870e+01	-1.059369e+03	-1.105458e+03
1010	1396.19	8.42453	3.87857	17.1407	3.2694	9.32489	0.00822113	82.9588	3.64592	9.46659	1.8793	0.431293	0.708701	0.615716	18.9074	3.54266	0.823236	0.214858	11.8064	4.58362	32.6285	0.453712	48.2567	4.85654	8.24601	-4.393841e+01	-1.065517e+03	-1.109455e+03
1020	1442.73	8.86103	3.9264	12.3364	3.2413	9.61297	0.00872944	85.7898	5.99923	7.9846	1.27977	0.388925	0.695826	0.611575	18.4708	3.26677	0.872559	0.214858	13.0042	4.82843	32.9845	0.557928	50.3769	4.27501	8.5162	-4.403709e+01	-1.065224e+03	-1.109261e+03
1030	1468.05	7.28256	3.98339	17.2215	3.58024	9.3897	0.00821279	87.3458	5.12702	9.17949	1.80306	0.404227	0.721107	0.607991	18.126	3.6625	0.923254	0.214937	7.09762	1.64789	 39.3	0.591351	33.0425	5.32608	8.18242	-4.588296e+01	-1.059220e+03	-1.105103e+03
1040	1444.44	7.04475	3.88649	17.3463	3.34795	9.0872	0.0074413	86.9918	4.2281	9.0359	1.35888	0.430801	0.70272	0.61134	18.1775	2.78894	0.930994	0.205003	3.94763	1.57437	39.889	0.624447	32.9199	6.21366	8.12571	-4.692284e+01	-1.059255e+03	-1.106178e+03
1050	1508.15	11.0435	3.87632	8.27303	3.27789	9.14266	0.00739129	83.7156	3.86916	9.44949	1.84087	0.300294	0.748929	0.611133	18.5145	5.10153	0.961107	0.198489	11.0329	3.35467	40.2059	0.607894	52.1984	5.54386	8.01131	-4.775568e+01	-1.057243e+03	-1.104999e+03
1060	1304.84	9.16184	3.93659	13.2976	3.23661	9.1565	0.00646379	84.794	3.72222	9.74751	1.12591	0.292459	0.817805	0.60348	19.1135	5.05559	0.975132	0.16828	9.63294	2.40017	37.258	0.494486	48.6841	5.54386	8.05025	-4.768498e+01	-1.059062e+03	-1.106747e+03
1070	1283.33	9.24444	3.87785	12.4471	3.23661	9.1982	0.00679321	83.2487	4.70584	9.02446	2.11774	0.383947	0.652881	0.62282	18.9508	4.42681	0.937697	0.168856	11.436	2.02346	36.2282	0.48901	51.7288	7.01078	8.05988	-4.540657e+01	-1.058831e+03	-1.104238e+03
1080	1275.42	8.15966	3.89872	15.0966	3.41561	9.16309	0.00679958	83.8475	4.86505	8.96217	2.51499	0.425431	0.682537	0.623515	18.7911	4.46408	0.888134	0.16374	11.1694	2.57373	40.4902	0.410145	50.0683	7.17575	8.04729	-4.497123e+01	-1.060816e+03	-1.105787e+03
1090	1371.49	12.1148	3.90147	15.3988	3.32442	9.33953	0.00690142	81.5005	4.55365	8.35482	2.30651	0.409519	0.673317	0.626671	18.2826	5.31309	0.907863	0.149782	13.431	4.05679	36.4333	0.492231	42.9167	7.87468	8.01513	-4.532589e+01	-1.063960e+03	-1.109286e+03
1100	1442.78	15.076	3.8975	12.389	3.58497	9.20842	0.00762533	80.9681	3.08818	8.35482	2.90779	0.406605	0.644732	0.627646	18.9844	3.42018	0.971684	0.172428	12.9556	3.48055	33.5648	0.609654	42.7695	4.81393	8.3953	-4.679387e+01	-1.061082e+03	-1.107876e+03
1110	1442.78	14.2796	3.97226	7.14294	3.58497	9.05423	0.00737725	83.8088	4.17288	7.8964	2.68605	0.460847	0.690739	0.614495	19.0999	3.24352	0.983477	0.144106	11.8293	3.75351	39.2139	0.64328	38.8724	6.48822	8.81024	-4.828291e+01	-1.060445e+03	-1.108728e+03
1120	1442.78	7.23345	3.96176	12.6952	3.65724	9.29569	0.0087825	82.9794	3.68724	9.10816	2.42944	0.420177	0.794224	0.604207	19.4876	2.58022	0.918633	0.144106	11.8974	3.41639	37.7696	0.614209	41.4167	6.68377	8.32541	-4.666812e+01	-1.056808e+03	-1.103476e+03
1130	1438.9	9.21976	3.98894	18.0512	3.87281	9.37755	0.00941818	82.6798	4.15176	10.2097	1.6611	0.470396	0.871234	0.605867	19.2595	3.31761	0.936867	0.127761	12.49	4.06721	40.0673	0.637404	44.6338	5.86504	8.0096	-4.842775e+01	-1.059901e+03	-1.108329e+03
1140	1192.02	14.4061	4.09301	15.0987	3.81718	9.53151	0.00903193	83.5365	4.19202	8.86737	1.00277	0.465227	0.797908	0.613683	19.9597	4.20173	0.958971	0.122904	13.6906	3.94499	37.2002	0.633877	44.9947	6.27881	8.4837	-4.774288e+01	-1.059387e+03	-1.107130e+03
1150	1184.87	11.0519	4.1349	18.7394	3.70161	9.5419	0.00827634	83.1956	2.88674	8.21408	2.10614	0.302519	0.920095	0.606627	18.5662	4.17816	0.94666	0.135441	8.12642	2.08164	33.9958	0.439384	45.8546	4.27073	8.26142	-4.803969e+01	-1.064244e+03	-1.112284e+03
1160	1184.87	11.907	4.05378	13.4944	3.56093	9.75929	0.0090124	83.4219	2.84433	6.96112	1.02546	0.320182	0.924646	0.613653	18.8476	4.30188	0.902536	0.134172	11.2167	3.37326	33.8951	0.500551	38.6383	4.6616	8.04748	-4.747207e+01	-1.063795e+03	-1.111267e+03
1170	1106.12	10.7919	4.06847	9.61266	3.629	9.34647	0.00891838	85.5119	3.71215	6.34349	2.29405	0.305126	0.852792	0.612092	19.1348	3.16048	0.960333	0.121183	5.58777	2.68719	38.4852	0.453103	37.0214	6.60169	8.4554	-4.679143e+01	-1.060248e+03	-1.107039e+03
1180	1089.57	19.8072	4.02338	16.0893	3.66846	9.02136	0.00827077	85.7497	3.42548	6.13856	2.12865	0.289125	0.766415	0.613458	18.4078	4.06229	0.967663	0.121183	2.19692	1.69597	38.3702	0.444915	45.0181	6.12382	8.11501	-4.725026e+01	-1.057169e+03	-1.104419e+03
1190	1110.52	13.0071	4.0219	18.6352	3.91193	9.20045	0.00810823	85.708	3.39717	6.35752	1.62141	0.333174	0.711942	0.617524	18.3078	4.07618	0.927388	0.137632	5.24753	2.04572	30.4718	0.484315	53.3851	7.26372	8.24364	-4.493987e+01	-1.064326e+03	-1.109266e+03
1200	1110.52	19.9169	4.03705	19.6231	3.84939	9.58617	0.0106622	85.8139	3.63531	6.13742	2.13715	0.344987	0.776111	0.619018	18.1741	4.97228	0.908448	0.142289	4.10243	1.77581	28.7727	0.579161	48.008	6.88174	8.16645	-4.640215e+01	-1.064056e+03	-1.110458e+03
1210	1170.88	16.944	3.92456	12.1211	3.77889	9.63376	0.010449	85.974	4.40193	6.13742	2.11939	0.377813	0.770546	0.613259	18.9791	5.63591	0.871912	0.143321	3.13871	2.93259	30.2256	0.582513	41.9884	5.47874	8.25521	-4.420533e+01	-1.061976e+03	-1.106182e+03
1220	1064.44	12.1861	3.99912	12.6388	3.70518	9.63007	0.0102883	85.7965	3.38699	5.52044	2.54075	0.333353	0.791074	0.621092	18.1533	5.37379	0.867418	0.127349	4.97035	2.10362	36.9253	0.498178	43.6745	5.75894	8.13825	-4.507883e+01	-1.058317e+03	-1.103396e+03
1230	1064.44	12.526	4.01011	15.1374	3.7856	9.17477	0.0100798	86.0793	3.74822	5.68983	2.45926	0.32758	0.87018	0.617952	18.0874	4.92654	0.914713	0.130428	1.71309	2.3238	34.4642	0.527297	47.1423	4.48861	8.20662	-4.637788e+01	-1.060273e+03	-1.106651e+03
1240	1064.44	8.32407	4.00002	13.4869	3.80857	8.02331	0.0090963	87.1177	6.10087	5.84084	2.14491	0.424336	0.873172	0.618856	16.1647	3.2979	0.933634	0.132587	8.45495	2.94882	26.0443	0.49627	39.4068	6.25162	8.25184	-4.516123e+01	-1.066466e+03	-1.111627e+03
1250	999.84	11.2676	4.0187	16.9155	3.75721	7.91599	0.00954476	87.1195	4.599	5.94134	2.46062	0.412908	0.789624	0.609513	16.4322	3.01035	0.909044	0.134612	5.44216	4.14001	38.6996	0.588802	43.4692	6.15025	8.372	-4.508311e+01	-1.059810e+03	-1.104893e+03
1260	954.688	11.4988	4.036	8.45755	3.75684	8.01157	0.0088358	88.1939	3.7973	6.29005	2.48574	0.413808	0.832871	0.608951	17.3225	2.42578	0.937963	0.127488	3.52364	2.04196	37.6596	0.562334	38.2366	5.32904	8.33443	-4.650001e+01	-1.060229e+03	-1.106729e+03
1270	954.688	9.27236	4.01764	12.1452	3.73362	7.72436	0.00865736	87.7388	3.91562	6.29005	2.17772	0.408948	0.835847	0.608951	16.4176	3.44904	0.943198	0.127488	4.05042	2.37223	33.1507	0.476074	45.1068	6.17221	8.58383	-4.486297e+01	-1.059110e+03	-1.103973e+03
1280	953.609	10.0066	4.02845	7.83673	3.93887	7.60665	0.0098046	86.3032	3.41467	6.29582	1.91353	0.375375	0.943899	0.608951	15.8262	3.27262	0.908743	0.129112	3.91003	2.70778	31.6807	0.459682	48.23	7.46851	8.05083	-4.775446e+01	-1.058379e+03	-1.106134e+03
1290	953.609	17.1564	4.01777	7.79838	4.01325	7.48787	0.00975816	86.8983	4.19387	6.4543	2.31087	0.370311	0.889112	0.605819	16.1771	3.50275	0.900874	0.158082	5.14561	2.58775	31.9349	0.410114	48.6601	5.73139	8.22917	-4.630163e+01	-1.058329e+03	-1.104631e+03
1300	953.609	13.3984	4.0435	14.2312	4.12743	7.36318	0.00914746	84.9803	2.99707	6.41395	1.50075	0.36534	0.787458	0.605819	15.698	4.43734	0.880202	0.164681	4.58747	1.99318	29.285	0.374898	54.1101	4.84438	8.12061	-4.523058e+01	-1.060847e+03	-1.106077e+03
1310	1005.21	16.3669	4.05746	10.8247	4.35688	7.43182	0.00931971	85.5299	4.0861	6.63195	2.96355	0.403969	0.804175	0.607792	16.3918	2.71291	0.918626	0.164681	6.89849	2.91601	33.2903	0.455368	35.7979	6.45774	8.01011	-4.582354e+01	-1.058248e+03	-1.104071e+03
1320	1100.38	15.5594	4.12585	13.5738	4.35688	7.59846	0.00912232	84.8818	3.52062	6.52219	1.26958	0.412986	0.785688	0.605282	15.6842	5.65031	0.922414	0.189509	8.43551	3.41791	32.0902	0.549596	43.1243	7.31032	8.68492	-4.683387e+01	-1.063112e+03	-1.109946e+03
1330	1030.1	8.48973	4.19842	16.3812	4.76573	7.63316	0.00965952	87.3207	5.20643	6.46384	1.66872	0.467947	0.738539	0.602103	17.246	3.6028	0.929264	0.175114	10.4344	3.56932	36.9765	0.487654	32.5251	4.51129	8.35536	-4.479621e+01	-1.063566e+03	-1.108362e+03
1340	1011.05	8.55718	4.22715	16.812	4.37343	7.97663	0.00881729	86.5882	3.19462	7.10125	1.69183	0.507693	0.682975	0.600752	18.0331	3.99824	0.969112	0.187974	2.86481	2.01091	35.2565	0.662666	45.8334	5.32316	9.32539	-4.636895e+01	-1.060722e+03	-1.107091e+03
1350	1011.05	11.3743	4.26994	16.0426	4.92203	7.77114	0.00882006	86.5418	3.71523	7.30472	1.4136	0.440493	0.737356	0.59276	17.5942	3.98246	0.912492	0.189938	2.99416	2.2911	33.8929	0.464342	39.2822	5.97912	8.90698	-4.468107e+01	-1.059407e+03	-1.104089e+03
1360	1085.35	16.0058	4.22885	13.7153	4.91708	7.86906	0.00864889	86.7846	4.32653	8.01817	1.05343	0.425916	0.789831	0.584809	17.5918	3.13588	0.866898	0.179283	6.3769	1.99555	38.9314	0.510708	37.907	6.12394	8.11661	-4.588913e+01	-1.057018e+03	-1.102908e+03
1370	1027.42	14.1715	4.26595	15.9998	4.88207	7.81824	0.00982386	84.3242	4.81586	8.27399	1.72954	0.478485	0.823467	0.582579	18.3764	3.85062	0.863017	0.187777	11.3743	3.88208	32.8565	0.416722	25.2518	5.90919	8.0275	-4.587082e+01	-1.059791e+03	-1.105662e+03
1380	1027.42	14.7651	4.26434	14.4149	4.68813	8.02918	0.00890926	84.5741	5.37804	8.48609	2.53846	0.376261	0.76691	0.574818	18.4844	3.72363	0.809922	0.212205	6.57191	4.02591	40.4255	0.509403	32.4919	5.81109	8.01195	-4.442972e+01	-1.059281e+03	-1.103711e+03
1390	1059.12	7.72381	4.2374	18.436	4.66453	8.06986	0.0091639	86.0835	3.9173	8.02852	1.30459	0.327736	0.796047	0.579667	18.1816	2.84884	0.837226	0.212205	3.59404	2.8087	38.0122	0.475646	44.8541	6.40149	8.12195	-4.543475e+01	-1.058034e+03	-1.103469e+03
1400	1059.12	14.0388	4.18698	12.8071	4.73833	8.12221	0.0082937	86.3257	4.37122	8.7609	2.18763	0.340023	0.767206	0.58001	18.6033	4.06153	0.803156	0.221893	1.85586	2.3129	37.5622	0.484741	55.0246	6.52368	8.29084	-4.517163e+01	-1.059159e+03	-1.104331e+03
1410	1054.1	15.2846	4.17193	18.2272	4.41309	8.28473	0.00832717	83.8916	3.13946	8.93078	2.46327	0.318713	0.763234	0.578736	19.0419	4.43522	0.804282	0.253019	6.14809	2.49703	38.14	0.677964	48.5045	5.9288	8.31771	-4.653067e+01	-1.057463e+03	-1.103993e+03
1420	1142.98	10.5396	4.11913	16.1697	4.37259	7.87442	0.00700141	82.468	3.5922	9.89017	2.28181	0.320743	0.721524	0.575624	19.3487	3.79163	0.820704	0.231088	13.1123	3.68114	36.621	0.551356	41.6329	4.59071	8.9484	-4.506177e+01	-1.062254e+03	-1.107316e+03
1430	1194.73	7.51065	4.06807	19.2301	4.35719	7.83362	0.00686634	80.9214	4.16911	9.30607	2.94529	0.35052	0.607963	0.574126	19.6742	4.57655	0.779171	0.232014	12.7191	4.15724	34.9149	0.415797	48.1931	4.88617	8.4502	-4.558746e+01	-1.059982e+03	-1.105569e+03
1440	1217.97	10.7768	4.1522	18.057	4.35719	7.9952	0.00679182	82.8163	4.75101	10.1291	2.4076	0.280884	0.669328	0.565797	18.7389	4.17008	0.799896	0.232014	9.98753	3.43029	39.8608	0.489833	46.7651	5.45955	8.18871	-4.515093e+01	-1.060182e+03	-1.105333e+03
1450	1277.53	7.7506	4.14177	12.2617	4.47598	7.7104	0.00635432	83.9411	3.79591	9.84129	1.51164	0.314545	0.669394	0.570188	18.0383	4.85784	0.821754	0.242764	9.00691	2.47622	40.048	0.558408	37.4494	6.9239	8.07987	-4.576459e+01	-1.057180e+03	-1.102944e+03
1460	1277.53	9.06685	4.15257	12.5485	4.47598	7.82299	0.00673724	83.3971	4.02856	11.7677	2.14533	0.354009	0.712926	0.577395	17.2608	5.0091	0.841376	0.265448	7.00727	1.95099	33.5057	0.577507	47.5555	5.78926	8.38405	-4.580207e+01	-1.062577e+03	-1.108379e+03
1470	1465.79	11.7375	4.14958	16.0225	4.70371	7.61991	0.00703121	84.2269	2.55533	9.76249	2.83344	0.357165	0.697239	0.572987	16.5545	4.23634	0.809757	0.223022	3.25363	1.32149	37.6847	0.565734	55.094	4.91798	8.00277	-4.727211e+01	-1.057323e+03	-1.104596e+03
1480	1359.43	7.93347	4.14958	8.00998	4.46885	7.43191	0.00734535	85.4814	4.68139	10.8578	2.75906	0.422508	0.674234	0.574351	16.7592	3.85365	0.84843	0.260333	4.93986	2.65739	31.8385	0.46996	47.174	6.04416	8.31358	-4.472201e+01	-1.058973e+03	-1.103695e+03
1490	1427.62	14.9057	4.11513	8.99226	4.59174	7.18102	0.00716608	84.159	2.97602	10.1361	2.15984	0.35901	0.621454	0.572731	16.4977	2.61321	0.843998	0.244569	6.3539	2.02177	34.1026	0.557424	51.0665	5.47852	8.30055	-4.692609e+01	-1.058945e+03	-1.105871e+03
1500	1384.14	14.0715	4.17094	8.35961	4.67097	7.09489	0.00716417	83.8538	3.38997	8.93901	1.41285	0.441994	0.612639	0.575151	15.6953	3.22098	0.811132	0.245623	9.78055	3.07332	34.4623	0.545947	55.6353	5.14565	8.63631	-4.686149e+01	-1.057910e+03	-1.104771e+03
1510	1484.25	8.06679	4.03892	12.0109	4.81754	7.07168	0.00867694	84.1123	4.34023	9.78492	1.81145	0.475941	0.684329	0.573111	16.6421	3.81392	0.78238	0.238714	13.488	4.24071	40.1603	0.57714	39.4616	5.27373	8.02119	-4.564236e+01	-1.057942e+03	-1.103584e+03
1520	1365.37	7.64963	4.05899	8.05869	4.80747	7.01372	0.00861867	84.195	6.85883	9.62156	1.803	0.554511	0.624963	0.568215	17.6896	3.67636	0.798629	0.236552	11.9114	6.10984	31.1131	0.588854	42.7521	5.02468	8.10139	-4.450869e+01	-1.062854e+03	-1.107363e+03
1530	1217.68	13.3832	4.05899	7.32269	5.19913	6.55481	0.00863729	84.3544	5.15384	11.8261	1.95569	0.677548	0.665465	0.569707	17.774	5.18155	0.81025	0.233825	9.18605	5.42768	31.6663	0.586009	47.0352	5.38258	8.26634	-4.646617e+01	-1.060742e+03	-1.107208e+03
1540	1152.07	11.5505	4.05077	10.7948	5.49564	6.45223	0.00807042	84.3261	5.48875	11.2907	2.24455	0.714552	0.605112	0.581469	18.7347	3.63005	0.800761	0.26466	10.2281	4.31452	29.9636	0.566204	44.5689	5.38258	8.39064	-4.594027e+01	-1.058010e+03	-1.103951e+03
1550	1022.72	13.5616	4.05077	11.4485	5.74646	6.47839	0.00828988	83.4598	4.80901	11.7229	1.70817	0.742126	0.679755	0.589579	19.2575	3.71076	0.831084	0.211848	10.6185	4.31452	31.0854	0.674751	55.514	6.25396	8.92674	-4.801230e+01	-1.057792e+03	-1.105805e+03
1560	1117.54	8.92526	4.04156	12.9737	5.59802	6.77053	0.00804318	83.4439	4.46361	11.2513	1.33956	0.677899	0.65435	0.590423	19.7713	4.07806	0.836938	0.232297	12.4754	3.99345	32.2495	0.592292	50.8171	4.44944	8.10262	-4.648195e+01	-1.056773e+03	-1.103255e+03
1570	1094.81	17.2563	3.99052	12.1874	5.34728	6.60294	0.00734646	84.1146	4.3199	11.5737	1.39061	0.585868	0.712394	0.579363	19.3203	2.54458	0.819757	0.246641	11.4875	2.73816	25.1056	0.625247	44.5361	5.95577	8.45045	-4.705807e+01	-1.059490e+03	-1.106548e+03
1580	1121.57	18.6398	3.99195	15.3081	5.27015	6.64248	0.00741051	83.807	3.67669	10.8902	1.19038	0.487183	0.721664	0.577606	19.7069	3.06961	0.794252	0.253047	9.67421	3.28185	26.9271	0.504308	50.6476	5.04099	9.14592	-4.576043e+01	-1.060642e+03	-1.106403e+03
1590	1081.56	9.99775	3.99689	11.8713	5.0982	6.49395	0.00801166	83.6927	6.94282	11.2932	1.82457	0.567963	0.6805	0.575605	19.2713	4.18646	0.805155	0.240685	10.688	5.76855	20.5064	0.333628	52.5795	5.19298	8.03889	-4.473916e+01	-1.065415e+03	-1.110155e+03
1600	777.693	18.6408	3.99689	12.1058	5.14064	6.05803	0.00814849	84.6762	5.04425	9.39167	1.72419	0.565848	0.684671	0.576247	19.2595	2.97178	0.80037	0.184266	6.83626	3.75166	30.0333	0.455516	47.9662	6.79348	8.03889	-4.351539e+01	-1.056852e+03	-1.100367e+03
1610	812.628	13.2076	3.99632	8.50157	5.14249	5.98614	0.00747944	84.0768	4.13233	8.49189	2.80387	0.578948	0.66895	0.57531	19.5885	3.47371	0.800558	0.197494	7.85694	3.84351	26.8781	0.542426	53.3833	7.18927	8.03889	-4.429600e+01	-1.055387e+03	-1.099683e+03
