iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_TStartTesting(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
110	3431.78	12.0285	3.53813	10.3053	4.06766	19.7332	0.0177953	83.0544	2.48381	5.93927	2.84913	0.373879	0.783722	0.718063	19.581	3.26501	0.106523	0.19293	13.3108	1.69824	32.5543	0.637745	41.8886	5.01421	8.15121	-5.129058e+01	-1.073154e+03	-1.124445e+03
120	3364.3	17.4606	3.70402	13.5569	4.57608	19.0196	0.0161084	81.9231	2.6625	5.85606	2.40079	0.466627	0.650869	0.725061	17.5339	4.13963	0.111692	0.189395	12.0442	1.02041	36.9182	0.410349	37.7926	4.02664	8.17659	-5.118324e+01	-1.074037e+03	-1.125220e+03
130	3945.19	14.9273	3.64415	12.7233	4.89959	19.2081	0.0144596	83.6834	3.13781	5.27491	1.42156	0.446989	0.624933	0.740206	16.6233	4.84527	0.189167	0.171049	11.6842	1.35437	34.3629	0.413278	40.448	5.26937	9.09148	-5.067848e+01	-1.078054e+03	-1.128732e+03
140	3792.24	13.0264	3.68096	9.59618	4.90117	18.4768	0.0144596	82.0642	3.11961	5.685	2.28037	0.433126	0.805041	0.71643	16.7798	2.98698	0.120724	0.168004	8.56206	1.79621	33.4515	0.498867	31.6404	4.28312	8.22946	-4.975878e+01	-1.082008e+03	-1.131766e+03
150	3442.07	15.7092	3.73298	16.695	5.02704	17.4675	0.0155247	84.1935	4.05731	5.849	1.07138	0.466656	0.769642	0.670142	16.3539	3.69305	0.0511423	0.172514	13.3648	1.28694	31.3741	0.58403	52.3913	4.68768	8.29045	-5.179698e+01	-1.070961e+03	-1.122757e+03
160	2947.95	11.671	3.68912	7.4869	4.75473	16.9211	0.0176414	82.3741	2.69035	5.92447	1.84149	0.467435	0.806531	0.673639	16.1622	2.72936	0.112068	0.168278	13.2447	1.3212	29.016	0.686457	41.3562	5.30396	8.05498	-5.239481e+01	-1.069989e+03	-1.122383e+03
170	2947.95	7.99762	3.62027	18.4876	3.96495	16.8836	0.0148481	82.6497	2.33327	6.22591	1.62845	0.462058	0.843568	0.699191	19.2833	2.47152	0.221008	0.140413	13.6901	1.78396	33.4323	0.613171	36.5302	6.53167	8.0641	-5.070484e+01	-1.068822e+03	-1.119527e+03
180	2835.95	9.22337	3.62027	8.41006	3.9188	16.2707	0.0137134	82.315	2.15501	6.3598	1.42423	0.457911	0.796159	0.696191	19.9276	2.49433	0.221008	0.189524	13.9856	1.29549	33.7449	0.499765	41.9384	4.79822	8.07617	-4.980833e+01	-1.067474e+03	-1.117282e+03
190	2773.87	9.71003	3.61948	15.3233	3.88833	16.2055	0.0135991	82.4894	3.44955	6.60241	1.40066	0.439778	0.702998	0.690117	19.222	2.99664	0.273656	0.191902	12.8715	1.43875	38.1732	0.506363	30.5323	5.29998	8.06561	-4.827839e+01	-1.067213e+03	-1.115491e+03
200	2938.48	8.22978	3.6071	14.2322	4.01859	16.1435	0.0143602	82.0588	3.20414	6.18499	2.09977	0.473223	0.676583	0.681324	17.9405	4.09393	0.295112	0.142031	13.189	2.39707	33.4899	0.632091	40.6974	6.37407	8.01514	-4.684195e+01	-1.067642e+03	-1.114484e+03
