iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_T50Testing(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_FAsymp(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
180	3287.88	19.6897	2.87172	17.3998	2.21374	8.67323	0.00845498	111.803	21.466	7.52125	2.32343	0.368777	0.66533	0.773277	0.513098	21.6457	5.91288	0.4275	0.0865339	7.88023	11.321	41.7323	0.797417	29.4741	6.58103	2.3743	-5.436029e+01	-1.041383e+03	-1.095743e+03
190	3418.38	9.30945	2.93723	13.0104	2.36128	8.38157	0.00635563	109.478	30.0642	6.47835	2.21581	0.482424	0.531232	0.919659	0.513098	21.8923	4.78766	0.435668	0.0592358	11.8729	10.9595	45.0049	0.605069	23.1572	7.51307	4.93432	-5.569749e+01	-1.039173e+03	-1.094871e+03
200	3098.54	17.8655	2.94323	17.3042	2.60111	8.48247	0.00740302	112.822	32.6789	6.01902	1.98037	0.459629	0.690158	0.82442	0.516463	22.3181	4.94592	0.408529	0.0764999	9.98877	12.1071	42.1509	0.745363	27.3148	5.53299	3.42905	-5.449632e+01	-1.039372e+03	-1.093868e+03
210	3487.94	15.0211	2.9508	14.7692	2.59101	8.51798	0.00719404	134.153	37.9674	7.48418	2.52879	0.259607	0.669837	0.853117	0.520634	22.9333	3.40778	0.440364	0.077062	8.70772	12.3186	42.129	0.55096	28.2631	6.07291	3.42905	-5.327047e+01	-1.041731e+03	-1.095002e+03
220	3347.42	7.14681	2.96835	8.14622	2.42445	8.58336	0.00682331	135.174	39.9741	10.4372	2.64606	0.301004	0.81696	0.86468	0.508942	21.6254	5.91538	0.418477	0.136137	8.6311	9.46088	41.769	0.555491	33.3513	5.23703	3.92909	-5.342272e+01	-1.043714e+03	-1.097137e+03
230	3248.39	11.9842	2.93104	14.0112	2.48367	8.58336	0.00657257	139.807	38.0204	7.29289	1.67534	0.103949	0.930658	0.690073	0.522874	22.1188	4.94596	0.407983	0.0923289	13.7139	9.30195	40.151	0.706807	39.9305	4.70317	3.92909	-5.298396e+01	-1.045058e+03	-1.098042e+03
240	2545.39	17.1768	2.899	16.0981	2.02918	8.45897	0.00872586	139.807	38.49	7.29289	2.09455	0.0914385	0.880199	0.733971	0.516019	21.7914	6.83973	0.438141	0.0793572	11.9456	12.2186	39.632	0.857362	33.2426	6.45513	3.3762	-5.885730e+01	-1.035917e+03	-1.094774e+03
250	2397.19	15.7081	2.9219	11.726	2.18386	8.32886	0.00807009	140.57	38.2275	7.42368	1.20464	0.0827074	0.874284	0.772964	0.519861	21.6843	5.75934	0.410584	0.0542992	9.29803	12.1538	39.632	0.737235	34.482	8.3857	3.67715	-5.546563e+01	-1.037736e+03	-1.093201e+03
260	2295.72	11.2194	2.9219	11.1155	2.08356	8.30927	0.0084528	138.922	34.5499	6.12261	1.95641	0.0321767	0.800208	0.738361	0.52327	21.6843	5.27249	0.408829	0.0789899	11.7438	11.7755	39.632	0.790395	32.0675	6.00332	3.59065	-5.419654e+01	-1.037216e+03	-1.091412e+03
270	2318.52	11.6194	2.90945	14.9443	2.22768	8.38442	0.0107176	139.366	34.6649	4.76834	2.15284	0.246378	0.83151	0.71699	0.523863	22.0222	4.56261	0.414555	0.0836442	9.76897	12.6921	37.3881	0.667802	36.8484	7.76129	4.08723	-5.185554e+01	-1.043448e+03	-1.095303e+03
