Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	1019.88	15.8025	3.23965	13.0785	2.46548	7.95054	0.0389382	90.3377	4.93132	6.62705	2.11048	0.490533	0.723142	0.678423	15.2827	4.02715	0.549605	0.433246	6.5509	5.74935	32.4708	0.560242	52.898	0.0632811	0.405601	0.125778	0.0535268	0.342643	0.131182	0.0311561	15.2827	32.4708	0.560242	52.898	0.928367	0.0296272	0.000101469	7.75666e-05	0.000261948	6.95957e-05	0.000334856	0.0270184	0.0131554	0.00127298	0.678423	0.807964	0.433246	0.0535268	0.342643	0.131182	0.0110417	11.229	0.025173	0.893469	0.829467	142.948	15.1699	0.0146643	0.00125017
11	775.997	7.35818	3.72036	12.1279	4.92809	6.26365	0.0387983	91.7422	6.43176	9.38936	1.47123	0.454743	0.735148	0.539701	18.485	4.54756	0.326992	0.569834	5.68726	5.75439	49.599	0.338682	38.7091	0.135903	0.202918	0.159651	0.0356045	0.499683	0.180021	0.0489747	18.485	49.599	0.338682	38.7091	0.951951	0.0060477	0.000115338	0.000152774	0.000143208	4.77893e-05	0.000206402	0.0279773	0.0123765	0.00119999	0.539701	0.817365	0.569832	0.0356044	0.499681	0.18002	0.0135082	8.43612	0.0400302	0.743987	0.708239	106.992	12.0685	0.0137511	0.0011823
12	291.283	7.6938	3.7201	11.2363	3.93287	7.65485	0.0413978	87.9346	5.4817	7.7969	1.15481	0.574703	0.622395	0.771874	18.2447	4.21938	0.21564	0.669019	5.24636	4.20683	47.431	0.602747	54.904	0.129975	0.254267	0.130636	0.0458762	0.538959	0.326985	0.0432508	18.2447	47.431	0.602747	54.904	0.957553	0.0086879	8.10603e-05	0.000163848	0.000141323	4.97842e-05	0.000301462	0.0192577	0.0126519	0.00119381	0.771874	0.945694	0.669019	0.0458762	0.538959	0.326984	0.0117306	9.97659	0.0409021	0.765165	0.732686	122.93	14.4519	0.0141102	0.00117787
13	311.367	13.2882	3.64363	7.90795	4.15345	6.08644	0.0410964	89.7288	6.10908	3.55442	1.35219	0.437757	0.635012	0.688576	17.7537	3.27451	0.355521	0.545621	3.94742	4.88036	38.9016	0.489441	45.5213	0.0752547	0.240764	0.1643	0.0782071	0.469617	0.269924	0.0757019	17.7537	38.9016	0.489441	45.5213	0.954029	0.0100554	0.000130145	0.000156277	0.000145529	5.28089e-05	0.000239081	0.0211917	0.0128234	0.00126384	0.688576	0.875767	0.54562	0.078207	0.469617	0.269923	0.0149412	6.65058	0.0662972	0.826134	0.788156	133.611	14.6213	0.0142788	0.00124515
14	361.138	7.80439	3.25127	17.9649	2.973	5.73897	0.0418434	88.3133	6.25167	10.3915	2.09589	0.657463	0.759364	0.709982	18.5606	4.31229	0.748655	0.471109	11.2851	7.26892	46.7533	0.310285	51.8601	0.128133	0.336361	0.174247	0.0480444	0.362311	0.114813	0.0315351	18.5606	46.7533	0.310285	51.8601	0.95492	0.00898223	7.96351e-05	7.09345e-05	0.000139731	5.33273e-05	0.000163348	0.0230642	0.0113948	0.00123308	0.709982	0.773812	0.471108	0.0480444	0.36231	0.114813	0.0169478	14.2101	0.0244022	0.825031	0.787839	103.339	12.5395	0.0127001	0.00121037
15	1067.3	13.5387	3.15382	7.52428	6.81138	5.28245	0.0486629	89.7548	4.62081	3.93787	2.30447	0.69091	0.704592	0.579305	18.0747	4.44484	0.0704265	0.4168	6.94085	5.72765	33.375	0.344031	46.5958	0.0738623	0.146813	0.189306	0.123623	0.30575	0.128189	0.0793481	18.0747	33.375	0.344031	46.5958	0.96468	0.00505398	0.000228763	0.00016346	0.000117369	5.89322e-05	0.000179049	0.0180942	0.0105308	0.00119322	0.579305	0.962282	0.4168	0.123623	0.30575	0.128189	0.0193776	5.44786	0.0763553	0.775241	0.747859	126.56	14.4564	0.0117924	0.00117172
16	2508.91	8.87215	2.5895	9.48123	5.34294	7.08314	0.0400791	89.9368	4.73161	6.8201	1.06809	0.590357	0.63508	0.768304	15.9413	3.71093	0.225812	0.546248	4.15414	4.46104	36.574	0.342118	50.3778	0.112712	0.187163	0.14118	0.0549734	0.594594	0.341657	0.038559	15.9413	36.574	0.342118	50.3778	0.953869	0.00740352	0.000116047	0.000139699	0.000137251	2.90987e-05	0.000214377	0.0255702	0.0120125	0.00121174	0.768304	0.942219	0.546248	0.0549734	0.594594	0.341657	0.0130378	8.03602	0.036331	0.675368	0.644213	93.1853	11.8316	0.0134047	0.00119813
17	1475.54	11.4856	2.6079	15.3543	3.83719	5.63305	0.0373463	92.3246	7.09944	11.6462	1.25204	0.375104	0.776599	0.764151	17.7145	2.78272	0.616953	0.554736	7.18978	5.59752	39.143	0.392608	43.7259	0.0870655	0.260607	0.177524	0.0250129	0.620267	0.17843	0.0301521	17.7145	39.143	0.392608	43.7259	0.935015	0.0184598	8.46373e-05	0.000105437	0.000134585	3.61332e-05	0.000168003	0.0322061	0.0129231	0.00128114	0.764151	0.847085	0.554729	0.0250126	0.620259	0.178427	0.0147841	13.1548	0.0255414	0.738668	0.690665	95.7898	11.0264	0.0143443	0.00126559
18	2284.53	8.76739	2.76569	11.2406	4.26295	5.0187	0.0302693	93.9716	6.90952	5.48287	2.58291	0.359906	0.643186	0.561461	17.9729	4.81417	0.32713	0.366358	7.50802	6.3318	39.3123	0.465831	53.2955	0.114059	0.234579	0.199255	0.04222	0.249016	0.138144	0.0490256	17.9729	39.3123	0.465831	53.2955	0.925975	0.00941501	0.000297189	0.000171818	0.000313938	0.000109319	0.000205595	0.0509971	0.0117459	0.00140993	0.561461	0.827932	0.366353	0.0422194	0.249013	0.138142	0.0190773	8.60765	0.0405899	0.916809	0.848942	152.548	16.2091	0.0132537	0.00138319
19	587.314	20.005	3.43923	10.4898	4.64171	5.91342	0.0410336	91.3133	5.94388	4.69252	1.55581	0.642362	0.605136	0.710109	15.2503	4.827	0.624167	0.459482	3.67477	4.60213	39.3715	0.317625	53.4245	0.0499875	0.215438	0.169107	0.0828374	0.388952	0.2538	0.0554441	15.2503	39.3715	0.317625	53.4245	0.937953	0.0245435	0.000165376	0.00014058	0.000160735	4.94109e-05	0.000210655	0.0237881	0.0118556	0.00129785	0.710109	0.807611	0.459481	0.0828373	0.388952	0.253799	0.0167314	8.41477	0.0447772	0.808361	0.758205	121.632	14.5587	0.0133124	0.00128038
