Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	75.8007	5.9088	3.99448	2.35718	0.0857998	0.178003	0.651506	0.454443	18.5437	4.3933	0.141873	0.51497	8.92788	5.47278	27.8836	0.689261	66.6447	0.34489	27.9808	16.6118
1	1015.15	12.7584	2.999	11.9071	3.53608	19.2549	0.00526137	97.2581	5.83049	6.70874	2.09648	0.119204	0.779437	0.624828	0.830312	15.2715	2.70605	0.235905	0.0522454	8.00106	6.23936	24.6316	0.726864	29.2057	37.8771	0.119667	1015.15
2	8681.55	11.3583	3.16858	10.9843	4.15183	7.45121	0.0153161	96.1876	9.9813	6.45169	2.06519	0.258866	0.604873	0.697023	0.643423	15.8714	3.77373	0.254668	0.533463	1.74133	1.12833	47.5168	0.604742	43.5184	16.1656	2.63698	8681.55
3	2718.39	13.7836	2.63743	12.5697	4.32845	12.9781	0.00416176	62.4366	7.72474	8.52766	1.99127	0.294381	0.33567	0.707872	0.223833	18.077	3.26361	0.383542	0.110642	3.60408	2.40367	26.9155	0.78297	69.1661	1.468	0.104744	2718.39
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	79.3577	12.2546	4.19639	1.82775	0.216999	0.450219	0.657889	0.687012	18.7376	3.70385	0.382236	0.095745	5.64847	3.76343	35.5419	0.281906	41.1846	0.381171	2.28416	939.812
5	2902.69	8.44398	2.475	16.2831	3.20711	11.6617	0.0224668	89.8327	9.69023	8.67495	2.39504	0.166591	0.496354	0.617152	0.335807	15.6155	4.72383	0.467446	0.2198	4.92997	3.52304	34.1621	0.728711	64.2274	0.543418	0.657234	2902.69
6	172.026	12.3157	3.90408	12.2938	5.05117	10.1394	0.0355334	80.5184	6.57761	9.64608	1.73457	0.412347	0.259303	0.601899	0.628463	18.4537	2.95621	0.611144	0.818217	5.2336	3.23598	69.0528	0.985594	74.5114	0.271143	0.159353	172.026
7	7.49882	8.16497	2.92571	17.0732	3.30597	5.7591	0.0067205	84.9341	6.08157	6.80275	1.71979	0.504305	0.866219	0.727251	0.537526	13.8676	6.88261	0.313194	0.109757	7.89793	12.9004	24.6328	0.47092	66.7991	0.565277	27.7432	7.49882
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	64.3219	10.9331	4.72553	1.03374	0.37637	0.621589	0.744092	0.407639	18.9841	5.10612	0.385891	0.419848	5.78107	13.1206	71.1558	0.699839	50.2829	7.97468	0.980993	150.961
9	2834.51	14.4643	2.71449	11.5834	4.62509	13.0039	0.0152153	63.7784	9.29702	8.24261	1.2545	0.522469	0.625066	0.81622	0.56796	16.8136	3.92889	0.334897	0.653998	9.69301	6.72173	57.6777	0.444289	68.2144	0.270266	37.9044	2834.51
10	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	96.5047	10.9594	8.79854	1.20551	0.472736	0.267178	0.688801	0.383222	16.9372	6.09217	0.1049	0.5626	8.27549	3.02371	37.5511	0.601639	35.1527	2.59313	0.139662	1353.87
11	616.043	13.4746	2.32519	14.1173	5.2303	16.4928	0.00497705	91.7463	8.80154	6.65575	1.55269	0.326485	0.684659	0.621769	0.454297	18.1525	3.94184	0.120241	0.473066	2.27943	7.81965	35.477	0.365096	57.6025	2.43428	7.58379	616.043
12	351.427	18.8937	4.07036	15.5635	3.41663	15.3535	0.00305024	67.7376	10.3952	6.12427	2.18582	0.502493	0.598247	0.808909	0.314307	18.2808	3.04872	0.532433	0.212838	8.75391	9.62013	33.4185	0.394685	33.43	1.44733	0.426424	351.427
13	58.3153	8.89351	1.68355	8.87706	3.74899	9.4944	0.0129062	98.3781	8.0323	3.71852	1.41512	0.565764	0.921078	0.695723	0.261822	17.1342	4.01323	0.466883	0.332156	11.0452	12.9896	50.0503	0.612747	28.8348	18.0752	9.40504	58.3153
14	475.174	8.33564	2.87602	16.7376	3.04451	7.52571	0.00482277	79.9305	2.48221	9.46224	1.87749	0.0447411	0.393609	0.726597	0.315129	16.4128	3.33294	0.238944	0.155589	6.55147	4.49632	61.5451	0.0685413	64.7955	3.02937	0.377008	475.174
15	7670.4	11.0022	3.39736	7.90318	3.64272	13.3876	0.00896607	85.9008	5.18067	4.43951	1.78814	0.102441	0.541876	0.703541	0.35545	18.5806	5.60097	0.577494	0.301615	2.80247	5.66828	22.5002	0.244752	53.0503	9.35427	34.5928	7670.4
16	2222.88	19.5088	3.14138	8.39942	3.46974	11.896	0.00455216	61.8998	4.8232	7.47477	2.23151	0.248162	0.6285	0.668316	0.152205	16.6444	5.68168	0.219443	0.566742	11.5105	6.79869	38.0939	0.335404	56.1078	0.781811	4.80405	2222.88
17	4180.36	15.0209	3.30467	9.77343	6.07291	16.2289	0.00493097	83.9125	9.27507	10.9462	2.09293	0.223068	0.574248	0.731887	0.127126	18.9484	4.48133	0.67796	0.080505	1.10231	5.40654	31.5238	0.60352	35.4643	5.06934	1.71161	4180.36
