Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	6799.34	11.6261	4.39128	10.0466	4.69957	18.8482	0.0804886	86.5795	4.00201	5.22236	1.55426	0.77643	0.821489	0.676685	18.0098	4.62742	0.568324	0.0797506	7.69928	4.2369	29.9139	0.575639	64.0642	0.0860134	0.212785	0.0530555	0.122134	0.52854	0.114853	0.0231901	18.0098	29.9139	0.575639	64.0642	0.971845	0.0017856	0.000135835	1.17717e-05	0.000183809	4.00485e-06	0.000607436	0.0100933	0.0142089	0.00188946	0.676685	0.800949	0.0797506	0.122134	0.52854	0.114853	0.00681533	8.66818	0.0185741	0.84573	0.821919	247.751	39.9524	0.0165203	0.00187115
11	6739.73	11.5305	3.95816	11.3709	2.94718	6.49831	0.0443691	102.949	12.1881	6.05688	2.2309	0.600123	0.610971	0.398902	17.2307	5.25791	0.659845	0.308644	10.9659	13.6583	42.4589	0.75702	7.95346	0.0867265	0.339307	0.153886	0.0605357	0.273867	0.174382	0.0535671	17.2307	42.4589	0.75702	7.95346	0.903158	0.00746493	0.000100817	4.49859e-05	0.000179573	3.59743e-05	0.000138034	0.0749862	0.0116252	0.00302529	0.398902	0.545298	0.308567	0.0605206	0.273799	0.174338	0.0201216	9.71013	0.02921	0.914678	0.826099	213.095	34.2289	0.0146522	0.00298037
12	8729.23	11.2827	4.44936	14.1115	3.57402	21.3683	0.0678212	82.6147	2.92052	9.02166	1.88177	0.744834	0.69982	0.702014	18.6842	4.28886	0.644873	0.400626	12.5697	4.28447	48.1162	0.498817	52.4308	0.0886313	0.279797	0.0467983	0.0577776	0.371895	0.15952	0.0147555	18.6842	48.1162	0.498817	52.4308	0.955272	0.0144641	6.90807e-05	4.6174e-05	0.000223963	2.51686e-05	0.000688236	0.0141769	0.014214	0.00180326	0.702014	0.795999	0.400626	0.0577776	0.371895	0.15952	0.00583767	12.004	0.0117454	0.80809	0.771946	227.968	38.9438	0.0165225	0.00178527
13	8402.25	8.34346	3.66594	17.8796	2.55833	17.8404	0.0632691	84.3836	3.37048	6.43116	1.17609	0.48031	0.694737	0.716736	18.8695	3.78291	0.388002	0.433447	11.8269	4.30778	39.0793	0.619455	89.9463	0.119854	0.39088	0.0560526	0.0518863	0.590718	0.259558	0.0114927	18.8695	39.0793	0.619455	89.9463	0.952524	0.012865	4.69371e-05	3.59097e-05	0.000204077	1.68302e-05	0.000491226	0.0181141	0.0147653	0.00188313	0.716736	0.878778	0.433447	0.0518863	0.590718	0.259558	0.00695092	15.8164	0.0100996	0.838442	0.798635	206.217	33.282	0.0169993	0.00186772
14	9506.54	18.4563	3.97536	7.71158	3.33408	20.267	0.0632547	82.6874	3.20203	6.52591	1.51262	0.668129	0.61322	0.679336	18.9796	5.47366	0.0136088	0.473309	13.3669	4.92563	38.4347	0.752881	59.5633	0.054182	0.299933	0.0493413	0.0627821	0.405403	0.255702	0.0254357	18.9796	38.4347	0.752881	59.5633	0.951359	0.0160037	5.89403e-05	5.29665e-05	0.000185502	2.46503e-05	0.000604868	0.0158629	0.015059	0.00185893	0.679336	0.994752	0.473309	0.0627821	0.405403	0.255702	0.00598018	7.1005	0.0253022	0.843931	0.802881	218.562	35.4256	0.0173481	0.0018402
15	4111.6	10.6956	4.44522	15.0466	3.01169	6.06738	0.0473996	100.97	11.6812	5.24624	2.6561	0.593769	0.625102	0.350722	16.9488	4.22973	0.593942	0.29907	11.9898	13.7065	29.7509	0.655037	24.8395	0.0934964	0.332039	0.164816	0.070749	0.235346	0.141146	0.0486916	16.9488	29.7509	0.655037	24.8395	0.909016	0.00668905	9.38748e-05	4.00424e-05	0.000148183	3.78486e-05	0.00011977	0.0691222	0.012102	0.00309394	0.350722	0.536703	0.299026	0.0707385	0.235311	0.141125	0.0223187	11.6765	0.0261329	0.908055	0.825436	205.258	33.6133	0.0151688	0.0030501
16	7297.3	8.05563	3.91793	18.074	2.91424	18.5516	0.072132	85.3531	4.17902	4.0052	1.67728	0.524692	0.677914	0.685212	16.0174	4.49311	0.22916	0.224665	7.21486	4.98933	59.2066	0.46946	52.5245	0.124137	0.343143	0.0539037	0.0888086	0.404175	0.192029	0.0116848	16.0174	59.2066	0.46946	52.5245	0.963536	0.00588559	7.25647e-05	2.10267e-05	0.000196868	1.24396e-05	0.000548296	0.0136253	0.0149436	0.00198015	0.685212	0.917018	0.224665	0.0888086	0.404175	0.192029	0.00691041	15.0555	0.0107152	0.87644	0.844481	219.279	37.2133	0.0173382	0.00196026
17	5872.43	11.934	4.15707	12.8351	3.45232	6.39487	0.0576468	103.101	12.3316	4.76708	1.51524	0.639661	0.646518	0.271626	16.69	3.85286	0.203358	0.495669	13.0142	13.9313	32.6973	0.764048	23.7271	0.0837942	0.28966	0.156375	0.0867517	0.426677	0.233284	0.0506473	16.69	32.6973	0.764048	23.7271	0.92442	0.00676111	5.9257e-05	5.81924e-05	8.01998e-05	2.67213e-05	0.000124259	0.0535768	0.0125048	0.00305027	0.271626	0.767173	0.49553	0.0867275	0.426558	0.233219	0.0203629	10.6292	0.0388553	0.857032	0.792257	191.609	33.6833	0.0155691	0.00300681
18	9316.52	8.37296	3.39302	11.7953	2.92945	7.7715	0.0491062	98.5862	10.7708	6.80348	2.5598	0.670376	0.790117	0.504798	17.1904	6.18893	0.846675	0.15678	10.2326	12.5196	35.1764	0.735549	13.7419	0.119432	0.341361	0.128675	0.0778536	0.308664	0.081992	0.0370146	17.1904	35.1764	0.735549	13.7419	0.932924	0.00305505	0.000103492	1.92404e-05	0.000195301	1.79933e-05	0.000174249	0.0490522	0.0129475	0.00256025	0.504798	0.560579	0.156771	0.0778492	0.308646	0.0819873	0.016094	10.2506	0.0207496	0.868428	0.810177	224.93	34.3457	0.0155041	0.00251883
19	8650.16	11.4026	4.41233	10.7987	3.74919	20.3998	0.0748027	84.6752	3.43245	5.98398	2.82975	0.717402	0.763989	0.542296	17.1279	4.06179	0.19054	0.0921747	11.6749	4.76201	53.5893	0.360236	57.9212	0.0876993	0.266724	0.0490201	0.0915924	0.269985	0.0834035	0.0200295	17.1279	53.5893	0.360236	57.9212	0.970838	0.00195664	0.000101139	1.0269e-05	0.00021306	8.06928e-06	0.000591936	0.0116705	0.0137751	0.00180877	0.542296	0.889941	0.0921747	0.0915924	0.269985	0.0834035	0.00624718	7.6366	0.0178251	0.878841	0.853212	223.573	35.9646	0.0159283	0.00179034
