"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
46800 1160.84 18.2551 3.25074 16.5192 5.23103 7.13283 0.0142582 117.819 11.0456 5.37769 2.35085 0.594526 0.716268 0.439826 18.8704 5.98614 0.264087 0.267656 4.18247 11.564 49.7467 0.674063 35.6518 6.71216 13.4577 -48.78474 -781.0302 -829.8149
196700 3292.14 8.2359 2.74902 12.2812 6.10917 5.00128 0.00739491 114.723 10.1693 9.42092 2.04913 0.616483 0.620647 0.514177 17.0691 2.8946 0.431818 0.256933 4.24635 8.01298 42.0252 0.43119 51.5071 6.78907 8.03654 -48.63343 -779.2503 -827.8837
198800 919.234 9.38222 3.56853 13.1286 4.92118 13.2756 0.0163054 106.546 10.4072 4.97787 2.97867 0.492863 0.644511 0.647243 20.6843 4.27503 0.858855 0.141945 5.65534 5.71078 45.3171 0.652173 39.9262 5.31983 8.55574 -46.72028 -784.7954 -831.5157
133600 238.056 8.58176 3.07966 9.74069 4.15089 8.72308 0.0210726 110.266 13.9182 4.79732 1.83346 0.55827 0.826221 0.678742 20.7349 5.81632 0.334815 0.366869 3.75997 6.59862 40.5638 0.917176 42.5047 5.36489 11.1108 -47.91351 -786.1641 -834.0776
88200 366.949 14.2283 3.28942 11.3735 3.78971 5.16132 0.00845568 112.382 11.1511 8.50638 1.74672 0.44021 0.66638 0.559965 18.5352 6.64074 0.69 0.318004 3.23151 8.11487 35.3594 0.23201 52.7382 4.96238 12.5409 -45.09895 -781.781 -826.8799
108100 1298.46 20.0814 2.44162 14.7718 4.89842 5.64265 0.0102998 116.96 11.415 6.29235 1.51456 0.761543 0.676728 0.67336 19.3425 5.03503 0.709038 0.202221 3.16116 10.5299 33.3672 0.3423 39.366 5.63901 13.694 -47.88522 -782.2914 -830.1766
139400 713.32 7.8286 2.56632 18.2259 3.18607 8.38159 0.0104621 102.312 9.43262 7.79018 2.042 0.363262 0.734026 0.693922 20.7296 8.45771 0.596187 0.221689 4.94796 4.30812 39.5428 0.490188 56.2346 5.33431 8.60685 -44.85187 -787.1522 -832.004
113900 1443.18 7.55726 2.82157 13.8287 5.32425 8.48701 0.0128923 109.289 12.5017 5.12266 2.94012 0.311321 0.660467 0.681116 19.974 3.87352 0.852832 0.36618 4.70702 8.22718 27.9589 0.410034 49.2716 5.95438 14.8516 -48.90808 -786.6401 -835.5482
133400 672.147 12.4099 2.90778 15.4698 5.01122 9.62172 0.0143036 103.378 11.0355 8.01633 1.21525 0.499598 0.717016 0.762847 16.341 6.30097 0.696482 0.385561 5.99992 3.8884 37.643 0.406588 46.9928 6.13549 8.27887 -45.10882 -782.1326 -827.2414
54200 1095.28 18.7944 2.87396 9.32459 5.80891 6.49152 0.0133616 117.501 10.2574 3.05022 1.43745 0.559427 0.751755 0.57673 16.5878 8.1076 0.449386 0.087193 2.00711 8.15632 40.1753 0.605347 55.6808 6.55333 8.29399 -49.15873 -777.8305 -826.9892
178100 680.939 14.1805 3.41118 14.9255 4.95716 5.71533 0.0115676 121.951 10.6252 6.73129 1.02113 0.760517 0.81076 0.448892 21.0837 6.39134 0.476041 0.30015 2.1197 9.42568 41.9745 0.652397 38.3881 7.28224 13.4091 -48.89443 -780.1411 -829.0356
108200 1143.1 16.5106 1.90436 8.74942 4.2514 6.32889 0.0117123 106.547 12.9274 5.06323 1.91765 0.501686 0.743594 0.8102 20.3124 3.61777 0.012936 0.291086 12.8889 7.87494 32.8446 0.858566 48.0333 7.0031 9.96655 -52.2632 -781.9211 -834.1843
156400 596.667 15.8037 3.94138 14.6686 4.73851 7.6931 0.0102199 117.278 11.8923 6.22424 1.26707 0.640166 0.653167 0.441942 17.6596 6.55417 0.381152 0.201509 2.44465 7.90258 49.2465 0.301007 44.7076 5.27111 8.11773 -46.90956 -779.6974 -826.607
46600 1030.06 18.7004 3.12304 17.1317 4.75804 7.23529 0.0104854 112.133 10.4703 6.42268 1.05848 0.529438 0.671794 0.437873 19.2727 8.06846 0.151405 0.2431 6.15832 8.86847 47.981 0.544337 39.943 5.12765 13.762 -47.52802 -780.5723 -828.1003
