"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
46800 694.207 10.5327 3.65906 12.5873 3.38142 5.2312 0.0222901 121.663 13.2208 4.05143 2.60371 0.632333 0.747643 0.3044 21.1983 4.82667 0.258785 0.106799 5.90022 10.4334 29.3377 0.528311 46.8218 17.1866 8.07493 -48.83446 -940.5663 -989.4007
196700 819.889 7.66291 4.29355 13.719 4.30074 5.16096 0.0202022 118.346 12.7199 6.06194 2.48336 0.593791 0.747981 0.294369 21.1267 4.18864 0.45488 0.242066 5.10228 10.6918 26.2375 0.552353 46.411 18.2736 8.21524 -48.21622 -940.9584 -989.1746
198800 445.173 16.0413 2.51579 12.5625 3.3666 5.57591 0.0278269 85.9808 5.33424 5.92734 1.22942 0.533916 0.916789 0.785067 19.5898 4.83251 0.55052 0.204333 9.15729 4.94468 45.2063 0.592778 49.6267 15.1305 8.1356 -48.7073 -951.5359 -1000.243
133600 623.078 9.11012 2.94796 14.3568 2.02188 5.2776 0.0174241 106.144 13.9741 10.7614 2.47446 0.572698 0.748205 0.503244 21.3512 3.91491 0.555171 0.221156 6.53323 9.29594 25.0183 0.473595 41.4059 18.9586 8.40161 -49.64077 -946.2356 -995.8764
88200 917.742 7.33196 3.7688 15.8752 3.28071 5.10414 0.0190933 116.563 13.9825 6.11408 1.45557 0.697446 0.691756 0.385102 18.2846 4.94656 0.482385 0.0789838 8.51918 11.7043 36.5889 0.516917 56.5326 16.1066 8.0495 -50.15764 -940.9271 -991.0848
108100 1481.01 17.0125 3.25753 16.7328 4.31382 5.63373 0.0135468 95.3214 7.48197 7.35184 1.84328 0.293349 0.615432 0.567917 20.675 4.22767 0.949211 0.180167 1.85567 4.79203 24.1005 0.443038 42.5122 15.5322 8.10634 -46.97703 -954.2135 -1001.191
139400 2238.46 9.79472 4.04797 14.8732 3.73339 6.36879 0.0144933 112.915 13.1847 10.73 1.22144 0.505654 0.728483 0.417523 19.1993 4.3512 0.821216 0.153889 9.19104 11.2328 39.7376 0.69952 47.8549 15.5582 8.15076 -48.92029 -948.8077 -997.728
113900 1763.67 20.4424 2.79853 9.75389 5.44522 8.74257 0.0255757 85.9646 3.54582 9.08754 2.54525 0.517464 0.632916 0.722551 20.3663 4.02266 0.406393 0.344283 4.98792 2.25564 43.1468 0.426376 53.5007 19.521 8.66328 -49.94766 -951.4926 -1001.44
133400 166.868 10.1265 3.33797 7.71473 2.59169 7.85132 0.0321627 84.6328 5.69336 5.27485 1.38265 0.600313 0.76459 0.804925 21.092 4.52547 0.498303 0.373766 13.7819 2.65528 43.8779 0.67428 43.9477 16.0039 8.17434 -48.7457 -953.1252 -1001.871
54200 560.833 14.0141 3.99371 18.0925 2.30789 5.40166 0.0113147 114.571 13.2299 8.50498 2.18862 0.315774 0.695401 0.376631 19.8584 4.55458 0.518409 0.192121 5.90249 9.12927 35.6914 0.48524 55.8013 17.145 8.5106 -48.63855 -943.6637 -992.3023
178100 2885.79 8.51304 3.53622 13.2518 3.63281 6.70125 0.0182462 115.007 13.5405 9.15401 2.66762 0.495495 0.845471 0.321336 19.3821 2.72551 0.270495 0.234929 4.07889 10.1048 31.992 0.403273 43.6365 13.5282 8.34375 -50.16449 -957.876 -1008.04
108200 727.917 20.878 4.18065 12.6773 2.57469 5.36607 0.0142766 120.419 13.5636 7.33573 1.84804 0.397028 0.700734 0.288477 19.282 4.11468 0.310057 0.258645 6.52741 11.1087 35.3534 0.377607 40.5459 19.956 8.15538 -50.60577 -939.2771 -989.8829
156400 892.492 12.8758 4.07881 18.3118 4.258 5.35026 0.0188548 110.896 11.7837 9.59873 1.91862 0.552953 0.620702 0.23861 20.9455 5.07111 0.117568 0.387981 4.30853 8.76968 28.8415 0.483981 54.3377 23.4066 8.03981 -50.55852 -945.6167 -996.1752
46600 776.013 9.99159 3.62101 14.0791 3.42958 5.23893 0.0227081 119.831 12.7603 3.82784 1.01871 0.679686 0.694147 0.316436 20.3228 4.04538 0.234932 0.0591266 5.67246 10.6786 29.7871 0.501159 55.5206 16.7004 8.103 -49.77071 -943.809 -993.5797
187700 505.834 12.0444 4.18694 11.3239 2.79134 6.21904 0.0229981 122.512 13.4228 5.21144 2.2614 0.685454 0.665576 0.267351 21.1339 4.94068 0.239495 0.319923 5.62951 10.8217 32.4942 0.541772 42.7344 21.4177 8.26586 -50.72139 -942.833 -993.5544
130000 1033.09 8.06327 4.33348 10.7092 5.72062 5.68927 0.0203195 110.395 12.5736 7.81895 1.58477 0.414996 0.893382 0.377822 21.1365 4.32716 0.651589 0.249905 5.23028 9.12812 31.4418 0.614146 55.085 16.287 8.03469 -51.00198 -945.5235 -996.5255
171900 2839.13 7.15066 2.22046 8.30479 4.82408 5.35483 0.0189895 89.1719 5.71781 8.09029 1.78653 0.588997 0.641198 0.767733 17.9079 4.46836 0.865563 0.203663 6.91706 6.2049 40.4085 0.370321 53.6255 12.7068 8.28036 -48.29613 -953.6844 -1001.981
173700 700.828 7.97802 4.3468 13.4945 2.35703 6.35147 0.012593 120.216 13.2152 9.15346 1.81422 0.421125 0.650361 0.379304 21.2663 4.98447 0.749072 0.174966 4.59699 9.79742 30.0293 0.456528 44.8641 13.7016 8.24037 -48.94432 -943.7364 -992.6807
52800 704.577 16.4214 3.69244 7.68667 2.71545 5.09575 0.0208685 117.165 12.4907 6.2464 1.91094 0.73126 0.65358 0.342887 19.6541 4.94825 0.419248 0.219626 7.8656 10.9206 25.6329 0.50405 41.0905 15.5109 8.13316 -49.69705 -943.2658 -992.9628
115300 1645.87 11.8843 2.33679 16.0272 4.21216 5.32056 0.0207881 88.669 6.13504 8.7947 2.1396 0.410531 0.716699 0.657078 18.8952 3.8504 0.145358 0.287915 8.78068 4.95549 46.5113 0.540716 51.9293 16.419 8.25067 -47.26753 -950.9553 -998.2228
86400 1074.41 9.93276 3.60788 17.7911 3.21337 6.29198 0.0204594 111.441 12.9961 7.23323 1.25551 0.454793 0.699175 0.396217 20.3604 4.35985 0.450249 0.300307 8.79117 10.41 31.606 0.606893 47.1857 23.3155 8.07855 -47.70328 -949.3896 -997.0929
136100 99.6572 12.7398 3.33274 14.5872 2.27263 6.4946 0.0314801 85.9264 6.93665 5.94499 2.27501 0.531149 0.775613 0.791267 17.8705 4.04313 0.780666 0.407815 2.84861 3.89849 31.4077 0.359992 48.7074 13.457 8.00705 -46.44089 -949.9158 -996.3567
102200 481.641 12.3102 3.05594 17.409 2.99854 7.33506 0.0238873 86.6741 5.83468 7.81231 2.41469 0.548925 0.621687 0.770171 19.1851 4.23142 0.790867 0.382862 6.55515 3.65952 37.5783 0.429991 49.88 13.3604 8.51249 -45.60253 -953.623 -999.2255
78100 195.833 19.1865 3.97072 11.0997 4.56309 5.77767 0.031395 86.5606 5.20064 5.93491 1.14413 0.596035 0.741385 0.665162 17.1008 4.54025 0.817644 0.315647 7.1955 5.2028 48.9963 0.480841 52.6167 14.0394 8.01893 -48.8649 -951.696 -1000.561
