"date","numDate","state","fips","variable","value"
2020-03-19,79,"AL",1,"positive",68
2020-03-19,79,"AR",5,"positive",46
2020-03-19,79,"AZ",4,"positive",44
2020-03-19,79,"CA",6,"positive",924
2020-03-19,79,"CO",8,"positive",216
2020-03-19,79,"CT",9,"positive",96
2020-03-19,79,"DC",11,"positive",39
2020-03-19,79,"DE",10,"positive",30
2020-03-19,79,"FL",12,"positive",390
2020-03-19,79,"GA",13,"positive",287
2020-03-19,79,"GU",66,"positive",12
2020-03-19,79,"HI",15,"positive",16
2020-03-19,79,"IA",19,"positive",38
2020-03-19,79,"ID",16,"positive",11
2020-03-19,79,"IL",17,"positive",422
2020-03-19,79,"IN",18,"positive",56
2020-03-19,79,"KS",20,"positive",34
2020-03-19,79,"KY",21,"positive",35
2020-03-19,79,"LA",22,"positive",347
2020-03-19,79,"MA",25,"positive",229
2020-03-19,79,"MD",24,"positive",107
2020-03-19,79,"ME",23,"positive",53
2020-03-19,79,"MI",26,"positive",5276
2020-03-19,79,"MN",27,"positive",287
2020-03-19,79,"MO",29,"positive",24
2020-03-19,79,"MS",28,"positive",50
2020-03-19,79,"MT",30,"positive",12
2020-03-19,79,"NC",37,"positive",97
2020-03-19,79,"ND",38,"positive",15
2020-03-19,79,"NE",31,"positive",27
2020-03-19,79,"NH",33,"positive",39
2020-03-19,79,"NJ",34,"positive",742
2020-03-19,79,"NM",35,"positive",35
2020-03-19,79,"NV",32,"positive",95
2020-03-19,79,"NY",36,"positive",4152
2020-03-19,79,"OH",39,"positive",119
2020-03-19,79,"OK",40,"positive",44
2020-03-19,79,"OR",41,"positive",88
2020-03-19,79,"PA",42,"positive",185
2020-03-19,79,"RI",44,"positive",61
2020-03-19,79,"SC",45,"positive",60
2020-03-19,79,"SD",46,"positive",11
2020-03-19,79,"TN",47,"positive",154
2020-03-19,79,"TX",48,"positive",143
2020-03-19,79,"UT",49,"positive",78
2020-03-19,79,"VA",51,"positive",94
2020-03-19,79,"VT",50,"positive",28
2020-03-19,79,"WA",53,"positive",4146
2020-03-19,79,"WI",55,"positive",174
2020-03-19,79,"WY",56,"positive",18
