"date","numDate","state","fips","variable","value"
2020-03-19,79,"SD",46,"positiveIncrease",0
2020-03-19,79,"TN",47,"positiveIncrease",56
2020-03-19,79,"TX",48,"positiveIncrease",60
2020-03-19,79,"UT",49,"positiveIncrease",15
2020-03-19,79,"VA",51,"positiveIncrease",17
2020-03-19,79,"VT",50,"positiveIncrease",7
2020-03-19,79,"WA",53,"positiveIncrease",336
2020-03-19,79,"WI",55,"positiveIncrease",53
2020-03-19,79,"WY",56,"positiveIncrease",3
2020-03-20,80,"AK",2,"positiveIncrease",6
2020-03-20,80,"AL",1,"positiveIncrease",13
2020-03-20,80,"AR",5,"positiveIncrease",50
2020-03-20,80,"AZ",4,"positiveIncrease",21
2020-03-20,80,"CA",6,"positiveIncrease",139
2020-03-20,80,"CO",8,"positiveIncrease",61
2020-03-20,80,"CT",9,"positiveIncrease",98
2020-03-20,80,"DC",11,"positiveIncrease",32
2020-03-20,80,"DE",10,"positiveIncrease",8
2020-03-20,80,"FL",12,"positiveIncrease",130
2020-03-20,80,"GA",13,"positiveIncrease",133
2020-03-20,80,"GU",66,"positiveIncrease",2
2020-03-20,80,"HI",15,"positiveIncrease",10
2020-03-20,80,"IA",19,"positiveIncrease",7
2020-03-20,80,"ID",16,"positiveIncrease",12
2020-03-20,80,"IL",17,"positiveIncrease",163
2020-03-20,80,"IN",18,"positiveIncrease",23
2020-03-20,80,"KS",20,"positiveIncrease",10
2020-03-20,80,"KY",21,"positiveIncrease",12
2020-03-20,80,"LA",22,"positiveIncrease",126
2020-03-20,80,"MA",25,"positiveIncrease",85
2020-03-20,80,"MD",24,"positiveIncrease",42
2020-03-20,80,"ME",23,"positiveIncrease",4
2020-03-20,80,"MI",26,"positiveIncrease",943
2020-03-20,80,"MN",27,"positiveIncrease",16
2020-03-20,80,"MO",29,"positiveIncrease",23
2020-03-20,80,"MS",28,"positiveIncrease",30
2020-03-20,80,"MT",30,"positiveIncrease",4
2020-03-20,80,"NC",37,"positiveIncrease",40
2020-03-20,80,"ND",38,"positiveIncrease",5
2020-03-20,80,"NE",31,"positiveIncrease",5
2020-03-20,80,"NH",33,"positiveIncrease",5
2020-03-20,80,"NJ",34,"positiveIncrease",148
2020-03-20,80,"NM",35,"positiveIncrease",8
2020-03-20,80,"NV",32,"positiveIncrease",14
2020-03-20,80,"NY",36,"positiveIncrease",2950
2020-03-20,80,"OH",39,"positiveIncrease",50
2020-03-20,80,"OK",40,"positiveIncrease",5
2020-03-20,80,"OR",41,"positiveIncrease",26
2020-03-20,80,"PA",42,"positiveIncrease",83
2020-03-20,80,"PR",72,"positiveIncrease",9
2020-03-20,80,"RI",44,"positiveIncrease",13
2020-03-20,80,"SC",45,"positiveIncrease",21
2020-03-20,80,"SD",46,"positiveIncrease",3
2020-03-20,80,"TN",47,"positiveIncrease",74
2020-03-20,80,"TX",48,"positiveIncrease",51
2020-03-20,80,"UT",49,"positiveIncrease",34
2020-03-20,80,"VA",51,"positiveIncrease",20
2020-03-20,80,"VT",50,"positiveIncrease",16
2020-03-20,80,"WA",53,"positiveIncrease",405
2020-03-20,80,"WI",55,"positiveIncrease",61
2020-03-20,80,"WY",56,"positiveIncrease",1
2020-03-21,81,"AK",2,"positiveIncrease",2
2020-03-21,81,"AL",1,"positiveIncrease",43
2020-03-21,81,"AR",5,"positiveIncrease",22
2020-03-21,81,"AZ",4,"positiveIncrease",39
2020-03-21,81,"CA",6,"positiveIncrease",216
2020-03-21,81,"CO",8,"positiveIncrease",86
2020-03-21,81,"CT",9,"positiveIncrease",0
