"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
46800 1631.98 7.89267 4.47147 15.032 3.44708 5.4466 0.00850312 128.398 13.8472 11.1956 1.05722 0.374941 0.814829 0.247788 19.3311 3.72596 0.111897 0.222759 7.2039 10.6002 71.8845 0.594755 51.9075 14.9728 22.3941 -56.45179 -1234.715 -1291.167
196700 661.825 7.29665 4.26955 13.8601 2.6878 5.107 0.00829582 123.21 13.921 7.53046 1.08763 0.370528 0.73947 0.349825 19.2393 3.24248 0.363441 0.163028 6.75398 9.68069 71.4245 0.634135 46.296 11.766 12.9724 -52.74541 -1233.099 -1285.844
198800 2357.88 14.2345 3.80575 8.56835 2.72611 5.66286 0.0069883 124.583 13.8211 10.4876 1.13689 0.296587 0.733888 0.279779 19.3287 4.94515 0.0659473 0.175155 11.3807 10.2736 71.2926 0.597397 53.2221 12.8079 18.2272 -56.70659 -1237.545 -1294.251
133600 3199.97 14.2762 3.93216 8.60556 4.41189 5.00336 0.00820839 124.345 13.963 11.0733 1.15124 0.528788 0.685329 0.290189 19.0633 4.05517 0.142919 0.191607 8.13773 10.5415 70.921 0.596582 44.1225 12.291 12.6511 -54.76559 -1235.611 -1290.377
88200 1269.91 7.66741 3.98958 9.94023 2.86981 5.38707 0.00948305 121.92 13.4555 6.796 1.60393 0.223529 0.873277 0.266321 18.9742 3.74155 0.05506 0.188424 7.72882 9.45825 69.7414 0.551976 61.0918 11.205 10.1788 -54.10066 -1242.206 -1296.307
108100 1579.24 16.0518 4.44417 14.4266 3.7388 5.22321 0.0077248 127.083 13.7748 11.6799 1.03637 0.64107 0.825459 0.277522 19.1365 3.9063 0.201975 0.0873763 7.09325 10.1616 71.0368 0.542776 44.873 13.4312 11.3278 -55.61172 -1239.47 -1295.082
139400 516.841 9.67213 4.47375 16.3136 2.64685 5.23906 0.0107032 128.156 13.9272 4.3258 1.79017 0.240408 0.93682 0.319254 18.8999 3.56928 0.307502 0.229889 4.30437 9.24566 64.9145 0.693108 59.5252 8.68172 16.8873 -55.46075 -1243.763 -1299.224
113900 1255.82 14.2804 3.76095 14.5681 2.68334 5.00545 0.00744693 122.986 13.7376 10.0017 1.30268 0.47913 0.66102 0.307201 18.9462 4.38685 0.0903595 0.183899 7.2884 10.7355 69.3763 0.691395 64.9318 9.34658 29.5869 -53.88161 -1244.716 -1298.597
133400 1194.8 10.5056 4.11842 16.6676 2.40321 5.2394 0.00614514 126.791 13.9709 11.8896 1.24248 0.33873 0.758361 0.353846 19.3459 3.66674 0.332825 0.150072 7.9668 10.1138 70.1858 0.655271 52.7096 9.44051 25.5651 -55.10882 -1237.145 -1292.254
54200 563.13 16.1943 4.28943 11.5498 2.64731 5.20409 0.00875523 124.809 13.6424 8.74038 1.10366 0.38889 0.809458 0.3116 19.3021 4.07366 0.224869 0.197026 5.87717 8.91735 70.6415 0.64399 55.5898 15.5498 19.7994 -53.48584 -1236.586 -1290.072
178100 670.949 20.9954 4.37802 18.3557 2.58158 5.31731 0.00748156 124.365 13.9486 10.575 1.26741 0.304002 0.892961 0.264353 19.3165 3.04778 0.093022 0.165576 4.21391 9.09198 71.0975 0.413615 51.1419 13.6753 21.4726 -58.07895 -1231.617 -1289.696
108200 2140.6 10.8738 4.16493 8.54365 3.60756 5.0507 0.00926971 127.199 13.8595 10.0953 1.00887 0.200108 0.834758 0.283617 18.7092 4.86504 0.169729 0.349533 9.79126 9.6077 60.8915 0.568125 57.0491 13.7938 26.1621 -56.23707 -1238.445 -1294.682
156400 1212.5 7.40984 4.47564 18.5318 2.45714 5.71362 0.00555773 124.405 13.8317 9.66286 1.67361 0.212556 0.775879 0.299394 19.0856 3.27383 0.228182 0.137192 5.4799 9.77806 70.112 0.596137 62.6554 14.7896 16.6271 -55.26634 -1237.091 -1292.357
46600 1688.87 8.86057 4.35835 15.7624 4.14287 5.37541 0.00848002 123.366 13.9448 7.7507 1.20805 0.376605 0.682725 0.2437 19.0927 4.02602 0.0534868 0.224344 7.85633 10.401 71.2894 0.443924 44.883 13.4251 11.0321 -54.03591 -1237.379 -1291.415
187700 896.036 10.4654 4.46942 7.47691 2.72533 5.22586 0.0061747 124.408 13.8564 8.3299 1.45068 0.29543 0.619276 0.260553 19.2782 3.85501 0.104664 0.194912 6.75131 10.1804 70.2838 0.492594 47.763 10.7513 15.9138 -54.41911 -1235.911 -1290.33
130000 3091.88 16.0307 4.19056 17.5244 3.33508 5.11141 0.00444478 124.372 13.802 7.97638 1.84797 0.271064 0.625936 0.35163 18.6512 3.13476 0.347747 0.0736201 6.524 10.246 67.387 0.540329 44.936 11.1207 22.0767 -54.73192 -1244.488 -1299.22
