"","Date","Output_Var","state","Data","Training","Prediction.2.5.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.97.5.","in.IQR","in.CI"
"1",2020-03-19,"positive","AL",68,"Training",1.86955612460663,30.2946227136,61.66662226725,93.38606151,158.589780146438,TRUE,TRUE
"2",2020-03-20,"positive","AL",81,"Training",3.89109774561375,42.37710022245,79.8410129475,117.756852234,190.37120790555,TRUE,TRUE
"3",2020-03-21,"positive","AL",124,"Training",7.76414441565,58.55359011075,102.78326072175,145.41351238575,228.84238192515,TRUE,TRUE
"4",2020-03-22,"positive","AL",138,"Training",14.9080101870787,83.646497405625,134.04253605225,179.07927091425,272.409656758575,TRUE,TRUE
"5",2020-03-23,"positive","AL",167,"Training",25.19703623472,112.050402951375,168.21528390975,220.2339090525,325.62870416895,TRUE,TRUE
"6",2020-03-24,"positive","AL",215,"Training",41.718117061635,150.52557306675,213.62809306125,270.9220549455,386.236557183225,TRUE,TRUE
"7",2020-03-25,"positive","AL",283,"Training",62.1456144099,196.71602735925,267.17283453525,328.06107618375,450.958219186388,TRUE,TRUE
"8",2020-03-26,"death","AL",1,"Training",0.1,7.8573171886125,11.474409021075,17.1592475158125,54.39990596985,FALSE,TRUE
"9",2020-03-26,"positive","AL",506,"Training",93.749461066275,249.575426149875,331.39475166525,397.203216881625,526.943453255625,FALSE,TRUE
"10",2020-03-27,"death","AL",3,"Training",0.1,9.506417657625,13.457649289875,19.7238461721,60.924843924525,FALSE,TRUE
"11",2020-03-27,"positive","AL",587,"Training",130.11920354265,311.193261726375,405.466922301,473.94848139975,615.548173912875,FALSE,TRUE
"12",2020-03-28,"death","AL",3,"Training",7.00498550789625,11.8178893882875,16.32373253385,23.8468486328625,68.3702690572125,FALSE,FALSE
"13",2020-03-28,"positive","AL",696,"Training",177.668857491037,387.721437728625,489.98042539425,567.8206937025,723.451585570875,FALSE,TRUE
"14",2020-03-29,"death","AL",4,"Training",8.66021740975125,14.142575202525,19.042009266,27.7405659050625,78.125707223025,FALSE,FALSE
"15",2020-03-29,"positive","AL",806,"Training",234.522341750813,472.958283189,584.9475189075,666.15039148875,835.736238185625,FALSE,TRUE
"16",2020-03-30,"death","AL",6,"Training",10.6975618734337,16.9883960344875,22.344279847575,31.8428891830875,88.2350572821375,FALSE,FALSE
"17",2020-03-30,"positive","AL",859,"Training",296.791467390862,560.29307893125,687.86782365,776.57011768875,959.14413371175,FALSE,TRUE
"18",2020-03-31,"death","AL",13,"Training",12.92664906393,20.2454469924,26.009435151,36.65302398975,99.0376686684,FALSE,TRUE
"19",2020-03-31,"positive","AL",981,"Training",379.292862713625,671.25460707375,804.56362665,904.1105401125,1098.494857845,FALSE,TRUE
"20",2020-04-01,"death","AL",26,"Training",15.4989150757612,23.8880231289,30.016048257825,41.80185855825,110.09596889445,TRUE,TRUE
"21",2020-04-01,"positive","AL",1077,"Training",475.781377758488,792.683209395,930.7985760675,1034.56835761125,1251.98906427,FALSE,TRUE
"22",2020-04-02,"death","AL",32,"Training",18.8263058998875,28.09902550245,34.6065816663,47.52544447245,122.668090715362,TRUE,TRUE
"23",2020-04-02,"positive","AL",1233,"Training",584.3797300845,916.0399892175,1069.53174405,1182.319708605,1417.83463886925,FALSE,TRUE
"24",2020-04-03,"death","AL",35,"Training",22.02696042393,32.7630699120375,39.660515089125,55.042174173,138.140875492462,TRUE,TRUE
"25",2020-04-03,"positive","AL",1432,"Training",711.652193448,1050.39951618,1219.1597891025,1337.7482215125,1592.84953715738,FALSE,TRUE
"26",2020-04-04,"death","AL",43,"Training",26.1161738110613,38.0469872272875,45.588710913375,62.679252549375,151.4950798368,TRUE,TRUE
"27",2020-04-04,"positive","AL",1580,"Training",850.64743666875,1195.725016395,1371.317877615,1505.51437367625,1774.82548719,FALSE,TRUE
"28",2020-04-05,"death","AL",45,"Training",30.6324901597837,43.39254983595,52.19366884725,70.91500981425,169.616491603125,TRUE,TRUE
"29",2020-04-05,"positive","AL",1796,"Training",975.395127496125,1340.6214879225,1542.63025833,1676.15011486125,1962.02909049,FALSE,TRUE
"30",2020-04-06,"death","AL",50,"Training",35.6887121442075,49.4334208515,59.55727208025,80.78512121925,187.585402057987,TRUE,TRUE
"31",2020-04-06,"positive","AL",1968,"Training",1104.77424429487,1499.70164785875,1711.0767274125,1856.4659690325,2168.78586009225,FALSE,TRUE
"32",2020-04-07,"death","AL",56,"Training",41.4800318817938,55.9752502785,67.28125941075,89.840936175375,201.768943371188,TRUE,TRUE
"33",2020-04-07,"positive","AL",2119,"Training",1237.46987542762,1662.4175194725,1889.5771773375,2049.25675164,2391.34927233825,FALSE,TRUE
"34",2020-04-08,"death","AL",66,"Training",47.4323464730588,62.954076068625,75.77357583075,100.115560342875,216.4695378006,TRUE,TRUE
"35",2020-04-08,"positive","AL",2369,"Training",1382.31645704775,1837.71986698125,2077.062713775,2239.7626500375,2611.693257894,FALSE,TRUE
"36",2020-04-09,"death","AL",74,"Training",54.227534501175,70.715817923625,84.74738501775,110.860032213,237.884038934587,TRUE,TRUE
"37",2020-04-09,"positive","AL",2769,"Training",1533.48594088462,2012.82608709,2264.256510705,2439.192345135,2832.999493506,FALSE,TRUE
"38",2020-04-10,"death","AL",80,"Training",61.5923757883875,78.681287115375,94.0171014195,122.250008388375,257.110309892887,TRUE,TRUE
"39",2020-04-10,"positive","AL",2968,"Training",1699.29768350738,2192.19440076,2458.8712781325,2641.99297992,3061.49784345563,FALSE,TRUE
"40",2020-04-11,"death","AL",91,"Training",69.310712198175,86.810522686125,104.2216100415,133.947291683625,280.203073188675,TRUE,TRUE
"41",2020-04-11,"positive","AL",3191,"Training",1855.04049057338,2378.853750525,2651.176645425,2843.63033406375,3278.83813788037,FALSE,TRUE
"42",2020-04-12,"death","AL",93,"Training",77.1759235146375,95.43338640675,113.94290978175,145.7653159095,301.655598522337,FALSE,TRUE
"43",2020-04-12,"positive","AL",3525,"Training",2023.4910047835,2555.250734085,2844.823033815,3058.7808660675,3498.28704701437,FALSE,FALSE
"44",2020-04-13,"death","AL",99,"Training",85.0421154681,104.132494654125,123.74731850775,157.734113074125,321.21260156685,FALSE,TRUE
"45",2020-04-13,"positive","AL",3734,"Training",2212.021900263,2743.94367982875,3048.3101145,3274.48790956875,3726.73207482712,FALSE,FALSE
"46",2020-04-14,"death","AL",110,"Training",91.9916815017375,113.719692284625,134.25631491825,171.103872772875,340.027826268637,FALSE,TRUE
"47",2020-04-14,"positive","AL",3876,"Training",2384.18964160125,2935.50131140875,3244.72189923,3488.719094385,3958.63899640913,FALSE,TRUE
"48",2020-04-15,"death","AL",121,"Training",100.04443964445,122.9056868025,145.161733836,185.998277847375,362.195272749187,FALSE,TRUE
"49",2020-04-15,"positive","AL",4113,"Training",2565.48184248563,3129.570599505,3446.92924863,3703.684531155,4202.32091676863,FALSE,TRUE
"50",2020-04-16,"death","AL",133,"Training",107.8522224066,133.121840488875,156.47215583475,199.438153091625,382.99459577715,FALSE,TRUE
