"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
46800 2740.46 9.41605 3.97458 19.5843 3.32723 5.12455 0.0216724 121.139 13.4817 5.94456 2.89163 0.669417 0.81843 0.407335 16.9465 4.77226 0.571912 0.366549 6.69911 12.3058 28.8564 0.357867 32.1334 13.7274 8.11067 -53.21109 -1121.827 -1175.038
196700 6740.3 7.17774 3.75139 13.1364 4.59833 6.2065 0.017296 117.029 13.712 5.26191 2.83763 0.469139 0.79675 0.501652 17.7968 4.33512 0.866659 0.10457 5.12027 12.1442 70.2465 0.473681 49.6618 14.8448 8.09185 -53.61575 -1120.923 -1174.539
198800 2975.3 12.454 3.79165 14.594 2.97345 5.94725 0.0204925 114.128 13.4652 9.08163 1.88361 0.333789 0.670637 0.404006 18.3616 6.35046 0.483197 0.53643 4.52235 10.1628 26.3364 0.451553 22.6247 21.9804 8.20709 -53.58753 -1122.694 -1176.282
133600 6179.72 16.182 3.06363 12.7175 2.58645 5.99113 0.0123327 113.488 13.0574 9.95935 1.39631 0.512306 0.672976 0.540732 18.6475 5.11437 0.715994 0.154088 5.8926 10.6074 47.9794 0.272655 50.503 14.2399 8.00159 -49.93196 -1126.29 -1176.222
88200 3196.45 17.0854 4.10013 9.62687 3.68925 6.49055 0.0210493 120.038 13.9793 8.24337 1.85126 0.736169 0.866025 0.456203 18.5988 5.16918 0.839394 0.265817 5.50792 11.5181 26.2415 0.358417 38.7912 20.0266 8.05266 -53.78188 -1118.111 -1171.893
108100 6684.94 12.2332 3.81591 8.47639 3.87749 7.38004 0.0163369 120.734 13.8024 7.3662 2.93093 0.649751 0.703073 0.414824 19.0329 4.84688 0.51021 0.145452 5.73029 11.4871 67.7637 0.334064 37.1021 11.9216 8.05288 -52.74086 -1123.797 -1176.538
139400 4561.4 14.3585 4.02182 15.1746 4.02266 5.83884 0.0229742 118.411 13.8734 11.9473 2.00909 0.311281 0.881493 0.396623 18.5968 5.54648 0.623466 0.613999 3.10622 10.0119 25.9689 0.504585 35.1387 14.6183 8.40361 -56.41278 -1119.343 -1175.756
113900 968.706 11.4701 4.15538 15.2003 2.67365 5.00756 0.0208125 114.21 12.4089 7.72485 1.0501 0.619166 0.769392 0.393689 17.2101 5.79857 0.55343 0.381585 5.49948 10.9812 26.001 0.421618 23.9746 16.4338 8.13254 -51.76877 -1117.473 -1169.242
133400 4290.36 12.9492 3.75395 18.5902 4.48757 5.72025 0.0214141 117.705 11.9803 4.23511 1.36791 0.52234 0.701356 0.311715 18.9552 3.03016 0.185773 0.470863 2.05339 10.127 27.9517 0.447673 36.7731 13.1784 8.26662 -53.46714 -1124.918 -1178.385
54200 6443.17 8.38136 3.94902 10.1454 3.71208 6.03921 0.0110583 116.731 13.8814 7.05343 2.26276 0.39855 0.683031 0.460813 17.5078 6.2672 0.773248 0.10118 6.83057 12.3166 67.9998 0.375252 56.0477 16.4743 8.40376 -52.37035 -1120.335 -1172.705
178100 8511.19 15.138 3.8775 12.2835 4.76248 6.76565 0.0192112 116.432 13.4987 11.4449 1.7691 0.345797 0.746142 0.392419 19.0072 4.10069 0.451282 0.487683 2.61282 9.04251 27.361 0.259139 57.2625 11.7325 8.42775 -53.56293 -1130.546 -1184.109
108200 1642.35 7.97039 4.41512 19.511 2.57841 6.09659 0.0174271 116.273 13.3644 10.7217 1.67359 0.346221 0.710453 0.305156 18.5138 4.52102 0.32091 0.500423 2.93322 10.0672 26.198 0.285049 20.4234 18.3445 8.15277 -55.45018 -1117.146 -1172.596
156400 3436.51 8.39782 3.92239 11.371 3.62816 5.97539 0.0179655 122.87 13.9981 2.47249 1.78931 0.27666 0.74698 0.427976 18.0568 4.07644 0.559499 0.251094 1.98717 10.9236 45.5365 0.424314 49.1083 12.8823 8.11872 -51.57944 -1125.185 -1176.765
46600 3617.14 19.5438 4.1631 18.2345 4.8793 5.48705 0.0182602 120.636 13.2334 5.98317 1.96089 0.612825 0.84712 0.393443 18.9168 5.31045 0.597462 0.209635 5.67817 11.39 30.779 0.267584 33.5153 13.6401 8.0417 -53.1176 -1123.457 -1176.575
187700 3175.51 17.3614 4.15683 9.0112 3.84858 5.72296 0.0219717 121.69 13.1623 4.89454 2.19183 0.555877 0.717575 0.323224 18.4987 4.30736 0.375741 0.49495 4.41155 11.0361 27.227 0.463931 37.6774 16.0079 8.00409 -52.33998 -1118.46 -1170.8
130000 2211.17 18.3735 4.28838 13.6976 2.54927 5.99539 0.0165378 120.783 13.3183 7.51505 1.72492 0.406293 0.75762 0.385998 18.4915 5.32852 0.624741 0.432375 3.79387 11.0137 30.2254 0.362743 20.0128 17.042 8.63667 -53.60814 -1121.195 -1174.803
171900 8905.05 9.99445 3.80826 17.4494 4.58374 6.536 0.0124831 111.335 11.9628 11.8449 1.41885 0.468235 0.773168 0.51551 18.8037 3.12594 0.933791 0.181495 2.91246 9.92867 66.8109 0.387681 47.486 12.5495 8.09949 -54.17122 -1130.455 -1184.626
173700 1191.12 13.4064 4.32704 7.33709 2.3687 5.70614 0.0140372 125.643 13.9228 4.6961 1.08828 0.458817 0.72435 0.454006 18.7202 6.29757 0.887519 0.180429 4.41008 11.3921 32.2594 0.361863 60.677 17.6911 8.06439 -52.91195 -1119.159 -1172.07
52800 4449.48 12.243 3.58187 9.87923 2.93997 5.73771 0.0170397 121.396 13.7542 6.9529 2.49871 0.57159 0.664777 0.436636 18.7641 4.65069 0.589398 0.321235 5.44915 11.9726 29.1746 0.297622 28.2828 19.3282 8.11278 -51.9694 -1123.248 -1175.218
115300 1480.61 10.6933 4.31224 9.93964 2.84815 6.03535 0.0203056 116.4 12.5825 6.34792 1.09169 0.506452 0.795554 0.433803 18.2948 6.18967 0.80277 0.302908 6.52613 10.4138 28.7394 0.376796 24.0021 12.8618 8.76588 -52.22616 -1123.861 -1176.087
86400 4982.91 10.7946 4.02637 10.6782 3.86877 6.90009 0.017356 122.684 13.915 3.40978 2.63342 0.383583 0.713261 0.466806 18.5028 6.29838 0.82286 0.12608 4.3376 11.9917 49.7984 0.329759 53.3842 15.5974 8.0415 -51.9515 -1119.459 -1171.411
136100 6242.17 8.47951 3.68453 14.4009 3.74606 6.45638 0.0181529 122.79 13.2603 8.60747 1.00923 0.703616 0.680457 0.282782 18.7815 4.21915 0.0795613 0.512715 3.08895 10.6795 29.3185 0.333257 55.3886 14.1063 8.196 -53.02149 -1120.519 -1173.541
102200 2115.79 19.4225 4.07735 12.258 2.47583 5.57065 0.0208889 117.404 12.627 11.2147 1.79931 0.574376 0.788661 0.294535 17.3836 3.35561 0.220772 0.518416 2.06254 10.4929 26.1503 0.377347 33.7578 14.4937 8.1497 -54.89501 -1119.845 -1174.74
78100 5324.74 20.84 3.82093 15.7386 3.21021 6.75802 0.0186901 118.874 13.5163 11.2949 1.17178 0.777104 0.68185 0.49708 18.0161 4.79752 0.932399 0.383066 6.63708 10.885 27.7332 0.479772 28.2893 17.8292 8.0905 -55.77612 -1117.245 -1173.021
