Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	1477.2	20.7169	3.96057	10.8606	3.17865	5.18023	0.0191853	95.6099	8.93198	9.16334	1.71341	0.204713	0.870784	0.470259	18.2546	4.04707	0.648991	0.199431	6.32706	7.6671	75.0999	0.463677	58.06	0.0482698	0.314599	0.193042	0.0194537	0.508217	0.0754145	0.0703971	18.2546	75.0999	0.463677	58.06	0.878134	0.015576	0.000358546	8.9317e-05	0.000515945	4.74519e-05	0.000160191	0.0900667	0.0137333	0.00153264	0.470259	0.612844	0.19943	0.0194536	0.508214	0.0754141	0.0162604	7.4343	0.0431424	1.20836	1.0611	233.892	17.8673	0.0153635	0.0015128
11	1105.2	12.0288	4.03807	10.7314	3.70428	5.55286	0.0254889	97.4315	9.14121	5.60067	1.27083	0.668793	0.653443	0.456385	17.7133	4.577	0.497544	0.115011	5.29083	8.71412	75.1613	0.514961	54.2494	0.0831338	0.269958	0.180087	0.0780296	0.514186	0.272701	0.0677643	17.7133	75.1613	0.514961	54.2494	0.931712	0.00334303	0.000399106	5.1866e-05	0.000394266	1.74047e-05	0.000193564	0.0490508	0.0135732	0.00142467	0.456385	0.676865	0.11501	0.0780289	0.514182	0.272699	0.0144712	7.72881	0.0458673	1.21545	1.13245	260.234	18.3273	0.0150344	0.00140105
12	2724.22	20.9377	3.35407	10.1408	5.27548	5.83363	0.0343731	91.8477	6.38174	9.56956	1.43642	0.653815	0.735494	0.464047	17.4673	4.69419	0.102866	0.338106	8.74886	6.50184	78.8775	0.707503	58.5003	0.0477607	0.189556	0.17142	0.0502507	0.512033	0.184143	0.0566971	17.4673	78.8775	0.707503	58.5003	0.933984	0.0137936	0.000344448	0.00017595	0.000279156	4.69021e-05	0.000193504	0.0371047	0.013054	0.00141914	0.464047	0.924061	0.338106	0.0502507	0.512033	0.184143	0.016172	7.83822	0.0523916	1.2262	1.14525	255.612	20.7743	0.0145488	0.00139924
13	223.959	14.8747	3.79402	13.6981	2.11769	5.7904	0.0395442	85.4405	7.95772	7.09968	2.65404	0.570401	0.852111	0.685671	16.6494	4.28909	0.714637	0.403807	12.5571	7.17828	73.3312	0.516869	50.0853	0.0672282	0.472213	0.1727	0.0684601	0.321062	0.0557222	0.0478333	16.6494	73.3312	0.516869	50.0853	0.952789	0.01101	7.89219e-05	5.34545e-05	0.000154613	6.69447e-05	0.000173086	0.020251	0.0141771	0.00127812	0.685671	0.763629	0.403807	0.0684601	0.321062	0.0557222	0.0144141	11.6179	0.0365269	1.04911	0.999583	223.553	17.6568	0.0154941	0.00126002
14	1470.56	10.1316	3.93218	8.16784	3.00323	5.2377	0.0225815	98.5577	13.1024	7.44412	1.92466	0.616045	0.626616	0.521489	17.25	3.63938	0.876281	0.174639	10.5794	11.4947	63.9967	0.588752	60.8921	0.0987011	0.332975	0.190923	0.0518562	0.325572	0.194	0.0919148	17.25	63.9967	0.588752	60.8921	0.912813	0.00384331	0.000300498	6.3551e-05	0.000399667	4.00572e-05	0.000159096	0.0681603	0.0128326	0.00160096	0.521489	0.565233	0.174583	0.0518396	0.325468	0.193938	0.0163883	6.56056	0.0519533	1.1589	1.05786	227.093	17.9588	0.0143795	0.00157127
15	1215.94	15.1555	4.43689	9.27068	2.37272	7.83321	0.0276677	92.3922	7.37566	8.47223	1.27649	0.54692	0.697322	0.316199	17.4637	3.25503	0.102043	0.181552	11.0844	7.51937	75.6941	0.293428	52.624	0.0659826	0.421457	0.127662	0.0450152	0.546281	0.237117	0.061098	17.4637	75.6941	0.293428	52.624	0.930747	0.00512962	0.000216433	4.80103e-05	0.000487775	2.52364e-05	0.00024192	0.048012	0.0138054	0.00146295	0.316199	0.889149	0.181552	0.0450152	0.546281	0.237117	0.0113102	4.72858	0.0543253	1.21756	1.13324	232.294	18.198	0.0152808	0.00144284
16	2794.27	11.359	4.24848	15.4154	3.32933	5.29483	0.0149892	97.4666	9.8893	9.67378	2.21328	0.356317	0.716905	0.315197	17.0239	3.60998	0.240962	0.0928276	11.8138	10.6679	78.6228	0.49659	58.3814	0.0880359	0.300361	0.188863	0.026406	0.323911	0.127907	0.0520507	17.0239	78.6228	0.49659	58.3814	0.848741	0.00643503	0.000889505	9.10168e-05	0.00107801	5.6119e-05	0.000199472	0.128868	0.0123366	0.00171087	0.315197	0.757142	0.0928257	0.0264054	0.323904	0.127905	0.0173852	9.20069	0.0394098	1.52804	1.29691	272.453	19.3664	0.0139595	0.00167799
17	5602.65	10.7718	2.59882	14.9457	2.8367	6.64699	0.0303002	91.0486	8.59771	4.94954	2.6324	0.521495	0.635854	0.543889	18.1982	3.98933	0.215772	0.0943975	12.1322	11.1793	72.0765	0.738254	50.4399	0.092835	0.352522	0.150444	0.0669951	0.241549	0.138332	0.0261598	18.1982	72.0765	0.738254	50.4399	0.936034	0.00518657	0.000347506	3.62229e-05	0.000510124	3.16437e-05	0.000227705	0.0443288	0.0125676	0.00154304	0.543889	0.876861	0.0943973	0.0669949	0.241549	0.138332	0.0147645	13.1614	0.0229385	1.25738	1.17695	242.3	20.2029	0.0139704	0.00150834
18	2856.17	11.6799	3.57756	11.5104	4.58641	5.47117	0.0263651	94.3293	7.63035	8.16705	1.49436	0.3639	0.761883	0.47042	17.3372	3.35229	0.358583	0.354374	3.39049	6.64227	37.1056	0.258983	67.2412	0.0856172	0.218035	0.182776	0.0339473	0.509839	0.159344	0.0568089	17.3372	37.1056	0.258983	67.2412	0.922217	0.00760024	0.000207979	0.000114156	0.000229369	3.82808e-05	0.000153672	0.0536653	0.0147991	0.00138939	0.47042	0.76306	0.354374	0.0339473	0.509839	0.159344	0.0139777	6.9934	0.0433486	0.903106	0.832859	191.771	16.8134	0.0163148	0.00137417
19	1052.85	13.194	4.0911	15.6967	2.57604	7.33597	0.0352603	92.7359	11.4025	7.53461	1.5874	0.634883	0.793343	0.474463	16.7196	3.74929	0.370482	0.237542	10.2872	10.6864	62.039	0.402718	74.1105	0.075792	0.388193	0.136315	0.0668488	0.499775	0.130186	0.0355283	16.7196	62.039	0.402718	74.1105	0.94598	0.00794823	0.00012573	3.91671e-05	0.000242606	2.41368e-05	0.000197953	0.0309263	0.0132603	0.00140854	0.474463	0.758645	0.237528	0.066845	0.499746	0.130178	0.0118956	10.372	0.0269534	1.04921	0.992534	200.823	17.799	0.0146964	0.00138232
