".id","date","travelDistanceMetric","visitationMetric","encountersMetric"
"01","2020-06-15",0.00828487976773353,0.0675140771230592,0.564612650500618
"01","2020-06-14",0.0475334747293192,0.0332660988179953,0.54123079203981
"01","2020-06-13",0.0399526204026771,-0.0347986958159095,1.13730793320902
"01","2020-06-12",-0.019671718363311,-0.104519548343605,1.10152759028961
"01","2020-06-11",0.00671408126580002,-0.0964140186332557,0.681657216671976
"01","2020-06-10",0.000756135837169655,-0.0410420940342378,0.339765882386606
"01","2020-06-09",-0.0504118865769658,-0.0165235865344583,0.422731694285043
"01","2020-06-08",-0.0630708433195598,-0.0125638261379986,0.361353269545514
"01","2020-06-07",-0.155791790955309,-0.123137238928938,0.0655409126058297
"01","2020-06-06",-0.0615803267756157,-0.116781456548991,0.778972318800341
"01","2020-06-05",-0.0890774259953218,-0.169684648450695,0.83833675596225
"01","2020-06-04",-0.0264569475061999,-0.138000382026528,0.539258385650949
"01","2020-06-03",0.0104735029821817,0.101048308247737,0.799963798922944
"01","2020-06-02",-0.0705687609991606,-0.143025664164468,0.138051485600849
"01","2020-06-01",-0.0150565076060522,0.0849439268449593,0.648586671222601
"01","2020-05-31",-0.120869712265252,-0.177355340942185,0.0152549449870649
"01","2020-05-30",-0.0462703471600614,-0.162629151372081,0.567778761016124
"01","2020-05-29",-0.128008824441889,-0.186018228239872,1.03106724472976
"01","2020-05-28",-0.0135334356199641,-0.0799031051050073,0.973863947346832
"01","2020-05-27",-0.0229742684686051,-0.0437348880251349,0.611575508904009
"01","2020-05-26",-0.00952084362426815,-0.0775111641464703,0.497882571092237
"01","2020-05-25",0.0291132422820545,-0.0515758299182828,0.471879752799448
"01","2020-05-24",-0.0632392439672003,-0.0391025550180896,0.722386756345582
"01","2020-05-23",-0.0211400821089591,-0.129467779582795,1.30856731187228
"01","2020-05-22",-0.0151189437612427,-0.151710351124588,1.49130517330045
"01","2020-05-21",0.0453556273599812,-0.137328937039567,0.803158958897745
"01","2020-05-20",0.0142348067440143,-0.0205899016691883,0.630347348154854
"01","2020-05-19",-0.039341626742962,-0.0425986764593434,0.612284340312391
"01","2020-05-18",-0.0783963512168962,-0.079641143755412,0.389691422552308
"01","2020-05-17",-0.091654285874977,-0.169316783483193,0.198510358155114
"01","2020-05-16",-0.0678540834218883,-0.164200031503927,1.00753150811943
"01","2020-05-15",-0.0866724537387034,-0.178909665168121,1.23900756209281
"01","2020-05-14",-0.0213479600473266,-0.155980823744934,0.720905236215348
"01","2020-05-13",-0.0563342557706678,-0.114186163192543,0.312897724157781
"01","2020-05-12",-0.0846281209546979,-0.143770110150646,0.236775764575669
