Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.410994	19.2755	3.70856	0.50281	0.231006	9.06954	8.8852	29.4919	0.593607	48.8037	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.379063	20.3842	5.25184	0.136359	0.37813	7.15465	2.77081	26.4289	0.419601	31.4075	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.19377	18.1678	3.70655	0.524034	0.277744	6.85205	8.12573	37.1955	0.693326	26.9228	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.320826	19.868	5.19757	0.198644	0.13848	10.2742	9.96297	37.0115	0.395768	44.2317	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.0236502	16.1861	3.44406	0.441853	0.170077	3.66117	2.28453	69.3516	0.534066	58.171	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.0867958	18.5779	3.53118	0.599002	0.3503	13.033	10.3079	49.5858	0.608665	13.5596	19.1056	23.0427	5105.93
6	17.6369	11.9345	2.01041	14.7635	3.32069	8.42992	0.00614356	84.4278	5.48268	4.0284	1.98755	0.441663	0.602922	0.11366	16.7642	5.56601	0.422443	0.460089	6.33437	1.76629	32.713	0.423613	55.1073	4.24766	17.4799	17.6369
7	4158.63	10.2399	2.18171	18.7907	5.68764	16.3335	0.00936468	70.0471	5.56267	5.55809	2.93879	0.602093	0.697141	0.422569	20.3885	5.44604	0.696876	0.104048	7.47599	2.20684	37.7027	0.437581	45.9213	5.28072	17.2144	4158.63
8	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	77.4644	6.87515	8.56281	1.93967	0.554502	0.789281	0.10813	20.6938	3.51232	0.409986	0.148441	5.56897	7.35128	41.1246	0.534998	34.7108	27.8467	17.7602	111.803
9	151.844	8.19434	3.9226	13.6294	3.91558	8.8007	0.015237	93.6971	7.76001	5.34291	2.29432	0.546913	0.689348	0.321456	17.507	4.94398	0.577863	0.443958	3.91958	2.52839	40.2527	0.640254	31.6216	25.2433	8.8358	151.844
