Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
10	235.527	7.66203	3.38392	14.3188	5.38569	12.5796	0.0380606	94.7542	12.8487	5.47714	1.04132	0.508076	0.649068	0.763031	18.4715	4.106	0.747231	0.501047	13.9707	12.4023	33.0407	0.810292	58.3839	0.130514	0.185677	0.0794938	0.0602095	0.623313	0.337007	0.0187865	18.4715	33.0407	0.810292	58.3839	0.985034	0.00477296	4.91305e-05	4.92984e-05	7.77713e-05	9.76045e-06	0.000169893	0.00565086	0.00402328	0.000336585	0.763031	0.817018	0.500945	0.0601973	0.623186	0.336938	0.00602531	13.6751	0.0153489	0.749874	0.738651	16.9796	1.83042	0.00445293	0.00032197
11	1145.09	16.2382	2.57438	10.0341	4.33749	7.58334	0.021795	107.956	12.7648	9.07303	1.54129	0.227913	0.726481	0.537279	17.0146	3.79201	0.524874	0.28995	8.36118	13.3751	31.0304	0.317564	51.8265	0.0615832	0.230548	0.131868	0.0182491	0.471346	0.177461	0.0338325	17.0146	31.0304	0.317564	51.8265	0.962438	0.00936406	0.000111474	4.54651e-05	0.000202073	1.67529e-05	9.68151e-05	0.0245936	0.00353917	0.000434523	0.537279	0.721754	0.289794	0.0182392	0.471092	0.177365	0.01045	6.86556	0.0244187	0.793198	0.763404	16.805	1.86265	0.00403651	0.00041869
12	1366.71	11.5325	2.89297	12.5516	4.96648	13.6532	0.0294763	114.966	12.4904	9.46841	1.47446	0.773036	0.714009	0.471497	17.3026	4.58931	0.380716	0.187971	4.79166	10.0974	46.9366	0.599493	46.3359	0.0867115	0.20135	0.0732429	0.0582943	0.484251	0.193963	0.0168815	17.3026	46.9366	0.599493	46.3359	0.97942	0.00412817	8.49674e-05	1.96338e-05	0.000154061	6.01385e-06	0.000206278	0.012792	0.00382309	0.000370804	0.471497	0.751083	0.18782	0.0582476	0.483863	0.193808	0.00464878	9.89481	0.0126794	0.774933	0.758985	17.4166	1.60014	0.00435492	0.000360052
13	1602.32	7.4764	2.92066	14.7203	6.79475	10.0725	0.0245049	109.694	12.5185	11.3432	1.31795	0.568749	0.690538	0.518968	16.8693	5.31268	0.704301	0.17581	4.13631	13.5362	46.861	0.329525	52.133	0.133754	0.147172	0.0992802	0.0346236	0.523949	0.234806	0.0196982	16.8693	46.861	0.329525	52.133	0.97364	0.00343566	0.000181518	3.86543e-05	0.000233446	7.69776e-06	0.000137927	0.0196011	0.00347314	0.000429142	0.518968	0.630047	0.175716	0.0346051	0.523668	0.23468	0.00785082	9.97271	0.0124108	0.762004	0.741918	17.3863	1.91292	0.0040054	0.00041238
14	986.076	19.1876	3.44895	14.91	2.91848	9.67527	0.0213878	118.52	12.9552	6.23669	2.43476	0.325964	0.623957	0.427021	17.4325	3.95657	0.615333	0.261397	2.66217	13.8115	36.1361	0.489936	54.8319	0.052117	0.342644	0.103356	0.0326115	0.25627	0.154448	0.0239082	17.4325	36.1361	0.489936	54.8319	0.948675	0.0169569	6.97295e-05	2.46179e-05	0.000212544	2.18013e-05	0.00014332	0.0302479	0.00387502	0.000498321	0.427021	0.592384	0.261041	0.0325671	0.255922	0.154237	0.00693958	10.5525	0.0141628	0.812511	0.770809	17.6007	1.85435	0.00449783	0.000482139
15	887.009	10.0078	2.43714	10.3398	3.94234	10.3221	0.027545	110.722	12.4448	7.09598	1.48894	0.65298	0.626557	0.633805	18.6539	5.62026	0.701528	0.203972	2.95931	12.0976	32.1401	0.737945	59.6959	0.0999221	0.253656	0.0968795	0.0576565	0.420807	0.250811	0.022835	18.6539	32.1401	0.737945	59.6959	0.979232	0.00328119	7.29738e-05	1.86786e-05	0.000139829	7.29818e-06	0.000136337	0.0135457	0.00383054	0.000387811	0.633805	0.726217	0.203859	0.0576245	0.420574	0.250672	0.00671981	9.34756	0.0165831	0.798758	0.78217	15.8727	1.62473	0.00432999	0.000375106
16	1755.39	8.2226	2.00548	14.0927	3.63686	10.0207	0.0213328	104.521	11.1092	7.45127	1.68674	0.338597	0.651975	0.627777	19.4486	4.3566	0.445467	0.189045	8.51953	11.4431	33.4549	0.71402	70.5551	0.121616	0.274962	0.0997934	0.0296267	0.38653	0.20633	0.0142012	19.4486	33.4549	0.71402	70.5551	0.969678	0.00694089	0.000146118	3.4054e-05	0.000338051	1.60819e-05	0.000168609	0.0199266	0.00365781	0.000384498	0.627777	0.812698	0.189021	0.0296229	0.38648	0.206303	0.0074039	12.5926	0.0115413	0.91073	0.883115	23.3512	1.93119	0.00412164	0.00036926
17	811.258	9.43046	2.55116	18.9891	4.0899	12.3881	0.0382313	102.116	12.0914	7.0261	2.6211	0.57426	0.680763	0.681235	17.088	3.61269	0.827906	0.138404	9.98827	12.7509	35.897	0.645143	67.5564	0.106039	0.244505	0.0807226	0.0556404	0.259724	0.121795	0.010845	17.088	35.897	0.645143	67.5564	0.982707	0.00430603	8.4152e-05	1.35125e-05	0.00017091	9.0388e-06	0.000164988	0.00925361	0.0034708	0.000417047	0.681235	0.727756	0.138374	0.0556282	0.259667	0.121768	0.00757345	16.8411	0.00789249	0.839937	0.825411	18.3561	2.1041	0.00394987	0.000399294
18	649.93	18.3467	3.79533	11.3979	5.63933	12.2125	0.0291584	104.802	11.0633	9.96569	1.11549	0.605542	0.824501	0.50165	17.7658	5.30296	0.862973	0.0623722	7.98327	13.9978	43.7776	0.349595	52.5854	0.0545057	0.177326	0.0818833	0.0500989	0.739138	0.157329	0.0272659	17.7658	43.7776	0.349595	52.5854	0.981866	0.00254173	0.00014386	9.56684e-06	0.000218633	1.92541e-06	0.000170636	0.0116594	0.0035014	0.000364396	0.50165	0.551384	0.0623642	0.0500925	0.739044	0.157309	0.00631389	7.70351	0.015034	0.822815	0.807895	18.7616	1.83183	0.0039434	0.000347509
19	1761.1	19.0372	2.81304	17.2118	4.15512	10.0982	0.0206943	111.173	11.859	8.57627	2.60688	0.339123	0.757109	0.43484	19.1024	6.40338	0.511163	0.1671	9.33989	13.3246	32.5387	0.461034	45.8026	0.0525287	0.240667	0.0990275	0.0299376	0.290427	0.0931731	0.0161847	19.1024	32.5387	0.461034	45.8026	0.955067	0.0144485	0.000122439	2.45453e-05	0.000269173	1.62233e-05	0.000147541	0.0270693	0.0036888	0.000441858	0.43484	0.653322	0.167033	0.0299257	0.290312	0.0931359	0.00685222	11.9691	0.0105738	0.817501	0.780768	19.5549	1.77803	0.00419556	0.00042648
20	762.014	19.5424	2.8863	16.6335	5.69975	9.58521	0.0240471	106.506	10.7456	6.87103	2.97821	0.655255	0.613016	0.547948	17.327	5.98009	0.549076	0.161497	1.82907	10.8991	27.8032	0.374523	54.0219	0.0511708	0.175446	0.104327	0.0584602	0.205834	0.129938	0.0181032	17.327	27.8032	0.374523	54.0219	0.97205	0.0098693	0.000143567	2.76418e-05	0.000176451	1.53576e-05	0.000148172	0.013702	0.00407794	0.000350391	0.547948	0.718701	0.161478	0.0584535	0.20581	0.129924	0.00667139	11.9304	0.0130108	0.799596	0.777247	18.8318	1.67307	0.00455778	0.000338338
21	899.283	10.0185	3.42776	19.3649	4.71055	11.0387	0.0202435	109.522	13.549	6.88547	1.49261	0.278629	0.736222	0.414695	18.865	3.28552	0.390327	0.243107	8.10078	9.25877	42.3454	0.256013	61.8296	0.0998153	0.212289	0.0905904	0.0297921	0.493245	0.176723	0.0160353	18.865	42.3454	0.256013	61.8296	0.968522	0.00759411	0.000113802	3.64791e-05	0.000240335	1.19201e-05	0.000171248	0.0194764	0.00413778	0.000357214	0.414695	0.709233	0.242879	0.0297642	0.492783	0.176557	0.00530312	10.9323	0.0113728	0.78213	0.757511	19.4115	1.48451	0.00460339	0.000347979
22	965.644	14.9248	2.70103	18.6305	3.71792	10.2014	0.0191046	105.567	12.8013	11.805	2.03795	0.689317	0.670084	0.575287	17.7045	5.12741	0.688566	0.0878525	6.22834	11.7629	38.105	0.251012	54.1034	0.0670026	0.268968	0.0980258	0.0391275	0.328803	0.161886	0.0142117	17.7045	38.105	0.251012	54.1034	0.972192	0.00587471	0.000116326	1.11956e-05	0.000265501	6.39e-06	0.000146803	0.0179445	0.00380886	0.000343758	0.575287	0.683384	0.0878123	0.0391096	0.328653	0.161812	0.0062449	12.704	0.00971203	0.820704	0.797882	18.7792	1.56288	0.00423068	0.000331654
23	2739.78	18.0323	1.68891	18.4782	4.53513	8.34365	0.0169491	103.835	11.9585	8.97775	2.82811	0.326769	0.764664	0.764707	16.8295	5.5828	0.614526	0.191643	3.77132	12.4919	30.7813	0.415666	57.762	0.055456	0.220501	0.119852	0.027832	0.27038	0.0832132	0.0109545	16.8295	30.7813	0.415666	57.762	0.950712	0.0202967	0.000141831	3.36084e-05	0.000248168	2.23179e-05	0.000122905	0.0256098	0.00444601	0.000381406	0.764707	0.848017	0.191599	0.0278256	0.270318	0.083194	0.00720654	15.9376	0.00928957	0.810462	0.770517	18.3948	1.58422	0.00492315	0.00036867
24	2396.71	8.07745	2.22275	19.1202	4.73194	10.8823	0.0207608	106.509	11.9361	6.06084	1.17787	0.225003	0.658065	0.514446	16.6943	3.79264	0.239008	0.329921	7.73466	11.7066	25.2558	0.452198	61.2574	0.123801	0.21133	0.0918923	0.02443	0.558691	0.290299	0.0106826	16.6943	25.2558	0.452198	61.2574	0.967942	0.00876721	8.77744e-05	4.31838e-05	0.000199174	1.10522e-05	0.000147865	0.0203521	0.003861	0.000351302	0.514446	0.853116	0.329827	0.0244231	0.558532	0.290217	0.00566092	14.0345	0.0091135	0.736937	0.713313	16.3103	1.48639	0.00431893	0.000340064
25	764.002	8.32854	2.23199	10.671	2.64126	8.65854	0.0241761	112.419	12.6598	8.21771	2.09177	0.539667	0.820877	0.541371	18.0528	5.96697	0.170421	0.127061	2.3828	12.3557	42.141	0.41828	60.2878	0.120069	0.378607	0.115493	0.053908	0.392432	0.0856323	0.024157	18.0528	42.141	0.41828	60.2878	0.97774	0.00162338	7.08313e-05	1.0299e-05	0.000176185	8.46555e-06	0.000120758	0.0167055	0.00370842	0.000397614	0.541371	0.900704	0.126969	0.0538691	0.392149	0.0855705	0.00780511	7.82404	0.0217583	0.877545	0.858011	17.9576	1.58889	0.00420369	0.000384623
26	1189.79	13.4435	2.40474	11.6906	5.11041	9.05975	0.0218989	107.526	12.0525	10.124	1.66566	0.664702	0.812856	0.608794	17.6143	5.34385	0.63391	0.0889597	3.59635	12.3846	36.7983	0.363746	65.4714	0.0743854	0.195679	0.110378	0.0533689	0.488008	0.112354	0.0227047	17.6143	36.7983	0.363746	65.4714	0.976899	0.00253811	0.00013724	1.33917e-05	0.000186453	4.51404e-06	0.000124562	0.0166194	0.00398162	0.000370987	0.608794	0.730085	0.08893	0.0533511	0.487845	0.112317	0.00696068	8.78074	0.0165763	0.809925	0.791214	17.5142	1.50924	0.00444005	0.000358808
27	1770.53	14.2584	2.69573	11.3352	5.96774	8.32313	0.0208824	113.303	13.8005	7.68319	2.63014	0.327595	0.734309	0.465202	17.7404	4.45643	0.39839	0.248623	4.82246	13.7616	51.4255	0.503119	68.7472	0.0701341	0.167568	0.120147	0.0313094	0.27919	0.101018	0.0285733	17.7404	51.4255	0.503119	68.7472	0.96341	0.00692393	0.000164387	5.4203e-05	0.000199944	2.47486e-05	0.000116102	0.0261819	0.00379169	0.000435235	0.465202	0.737211	0.248276	0.0312656	0.2788	0.100877	0.00792334	8.32309	0.0210646	0.870428	0.838579	18.4721	1.57657	0.00431186	0.000421044
28	1092.65	8.67312	1.71495	9.06303	5.92234	6.65622	0.0296395	103.498	11.1774	7.72981	2.09448	0.69366	0.845133	0.782	17.6163	5.84853	0.36459	0.155909	8.26751	13.0617	34.0941	0.665917	62.3777	0.115299	0.168852	0.150235	0.0758408	0.403505	0.0739405	0.0284283	17.6163	34.0941	0.665917	62.3777	0.98259	0.00137506	0.000127171	2.34807e-05	0.000104331	8.67242e-06	8.05973e-05	0.0123169	0.00377425	0.000402752	0.782	0.914248	0.15589	0.0758314	0.403455	0.0739313	0.0115583	8.40297	0.0259905	0.815474	0.801276	17.4772	1.64972	0.00418633	0.000388822
29	329.922	12.1097	2.48185	13.4791	3.67594	12.3529	0.0394994	100.261	13.8887	5.20212	2.34305	0.35926	0.880629	0.738289	17.4569	4.8639	0.18376	0.32826	3.64371	11.8261	45.0511	0.640741	57.3339	0.0825784	0.272039	0.0809527	0.0608165	0.375847	0.0509468	0.0149055	17.4569	45.0511	0.640741	57.3339	0.984362	0.00619913	4.57414e-05	2.2326e-05	0.000101581	1.49074e-05	0.000174105	0.00537999	0.00363094	0.000312237	0.738289	0.945769	0.328073	0.0607818	0.375633	0.0509178	0.0059483	12.2118	0.0140971	0.816124	0.803361	16.6198	1.77024	0.00409395	0.000298475
30	1744.47	13.4655	2.22021	18.6943	5.46025	11.3151	0.0260767	103.999	12.5696	8.30057	2.7606	0.327209	0.695221	0.627657	19.9797	6.2793	0.484715	0.282859	4.28778	13.996	35.2142	0.409987	67.1978	0.0742639	0.183142	0.0883775	0.0274057	0.251837	0.110403	0.0104961	19.9797	35.2142	0.409987	67.1978	0.963484	0.0157425	0.00011225	4.42321e-05	0.000216248	2.37114e-05	0.000159973	0.0171447	0.00394571	0.000409702	0.627657	0.797908	0.28276	0.0273961	0.251749	0.110364	0.00677367	14.5874	0.0083749	0.756855	0.729218	16.9218	1.97583	0.00448881	0.000392078
